courses,link,origin_site,profession,subscription,scope
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",https://www.edx.org/course/understanding-agribusiness-value-chains-and-consum,edx.org,Agribusiness,free,Agriculture
Challenges of Agribusiness Management,https://www.coursera.org/learn/agribusiness-management-challenges,Coursera.org,Agribusiness,free,Agriculture
The Economics of Agro-Food Value Chains,https://www.coursera.org/learn/valuechains,Coursera.org,Agribusiness,free,Agriculture
e-Learning on Digital Agriculture,https://www.edx.org/course/e-learning-on-digital-agriculture,edx.org,Agribusiness,free,Agriculture
,,,Agribusiness,,Agriculture
Explore How Farmers Produce Food Sustainably,https://www.futurelearn.com/courses/explore-how-farmers-produce-food-sustainably,Futurelearn.com,Agricultural Manager/Farmer,free,Agriculture
The Future of Farming: Exploring Climate Smart Agriculture,https://www.futurelearn.com/courses/climate-smart-agriculture,Futurelearn.com,Agricultural Manager/Farmer,free,Agriculture
Discover Best Practice Farming for a Sustainable 2050,https://www.coursera.org/learn/best-practice-farming-sustainable-2050,Coursera.org,Agricultural Manager/Farmer,free,Agriculture
Chiken Behavior and Welfare,https://www.coursera.org/learn/chickens,Coursera.org,Agricultural Manager/Farmer,free,Agriculture
,,,Agricultural Manager/Farmer,,Agriculture
Sustainable food production through livestock Health Management,https://www.coursera.org/learn/livestock-farming,Coursera.org,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Sustainable Food Security: The value of systems thinking,https://www.edx.org/course/sustainable-food-security-the-value-of-systems-thi,edx.org,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Sustainable Food Systems: A Mediterranean Perspective,https://www.edx.org/course/sustainable-food-systems-a-mediterranean-perspecti,edx.org,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Sustainable Food Security: Crop Production,https://www.edx.org/course/sustainable-food-security-crop-production,edx.org,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Farm to Fork: Sustainable Food Production in a Changing Environment,https://www.futurelearn.com/courses/sustainable-agriculture-in-a-changing-environment,Futurelearn.com,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Future Food: Sustainable Food Systems for the 21st Century,https://www.futurelearn.com/courses/future-food,Futurelearn.com,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Agricultural Fence Design (NRCS Standard 382),https://www.udemy.com/course/ag-fencing/,udemy.com,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Sustainable Agricultural Land Management,https://www.coursera.org/learn/sustainable-agriculture,Coursera.org,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Improving Food Production with Agricultural Technology and Plant Biotechnology,https://www.futurelearn.com/courses/food-production-agricultural-technology-plant-biotechnology,Futurelearn.com,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Grand Challenges: Food for Thought,https://www.futurelearn.com/courses/grand-challenges-food-for-thought,Futurelearn.com,Agricultural Engineer/Agricultural Specialist,free,Agriculture
"Agriculture, Economics and Nature",https://www.coursera.org/learn/agriculture-economics-nature,Coursera.org,Agricultural Engineer/Agricultural Specialist,free,Agriculture
"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",https://www.edx.org/course/feeding-a-hungry-planet-agriculture-nutrition-and,edx.org,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Feeding the World,https://www.coursera.org/learn/feedingtheworld,Coursera.org,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Introduction to the U.S. food system ,https://www.coursera.org/learn/food-system,Coursera.org,Agricultural Engineer/Agricultural Specialist,free,Agriculture
Irrigation Efficiency: more food with less water,https://www.edx.org/course/irrigation-efficiency-more-food-with-less-water,edx.org,Soil/water manager,free,Agriculture
Drainage in Agriculture: controlling water and salt levels in the soil,https://www.edx.org/course/drainage-in-agriculture-controlling-water-and-sa-2,edx.org,Soil/water manager,free,Agriculture
