courses,link,origin_site,profession,subscription,scope
The Architectural Imagination,https://www.edx.org/course/the-architectural-imagination-2,edx.org,Preparation,free,Architecture _ Construction
Sustainability in Architecture: An Interdisciplinary Introduction,https://www.edx.org/course/sustainability-in-architecture-an-interdisciplinar,edx.org,Asia,free,Architecture _ Construction
"Groundscape Architecture Design Lab, re-thinking cities underground",https://www.edx.org/course/groundscape-architecture-design-lab-re-thinking-ci,edx.org,Asia,free,Architecture _ Construction
Learn Revit Architecture from basic to advance Level,https://www.udemy.com/course/learn-revit-architecture-from-basic-to-advance-level/,www.udemy.com,Autodesk,free,Architecture _ Construction
Unreal Engine 4 for Architecture - Fundamentals Course,https://www.udemy.com/course/unreal-engine-4-for-architecture-fundamentals-course/,www.udemy.com,Autodesk,free,Architecture _ Construction
,,,Lumion,,Architecture _ Construction
Studying Cities: Social Science Methods for Urban Research,https://www.coursera.org/learn/studying-cities-social-science-methods-for-urban-research,Coursera.org,African cities,free,Architecture _ Construction
Innovative Governance of Large Urban Systems,https://www.coursera.org/learn/iglus,Coursera.org,African cities,free,Architecture _ Construction
Smart Cities – Management of Smart Urban Infrastructures,https://www.coursera.org/learn/smart-cities,Coursera.org,African cities,free,Architecture _ Construction
Greening the Economy: Sustainable Cities,https://www.coursera.org/learn/gte-sustainable-cities,Coursera.org,African cities,free,Architecture _ Construction
Cities are back in town : urban sociology for a globalizing urban world,https://www.coursera.org/learn/urban-development#syllabus,Coursera.org,African cities,free,Architecture _ Construction
,,,African cities,,Architecture _ Construction
Sustainable Construction and Development,https://www.futurelearn.com/courses/sustainable-construction-development,futurelearn.com,Project manager/Construction manager,free,Architecture _ Construction
An Introduction to Financial Management in Construction,https://www.futurelearn.com/courses/introduction-to-financial-management-in-construction-and-basic-accounting-conventions,futurelearn.com,Project management,free,Architecture _ Construction
Specialization: Construction Management,https://www.coursera.org/specializations/construction-management,Coursera.org,Modeling,free,Architecture _ Construction
Construction Quality Management,https://www.futurelearn.com/courses/construction-quality,futurelearn.com,Finance,free,Architecture _ Construction
Sustainable Construction and Development,https://www.futurelearn.com/courses/sustainable-construction-development,futurelearn.com,Finance,free,Architecture _ Construction
,,,Finance,,Architecture _ Construction
Sports and Building Aerodynamics,https://www.coursera.org/learn/sports-building-aerodynamics,Coursera.org,Urban sanitation,free,Architecture _ Construction
Sustainable Building Design,https://www.edx.org/course/environmental-technologies-in-buildings,edx.org,Urban sanitation,free,Architecture _ Construction
Managing Building Adaptation: A Sustainable Approach,https://www.edx.org/course/managing-building-adaptation-a-sustainable-appro-2,edx.org,Urban sanitation,free,Architecture _ Construction
,,,infrastructure,,Architecture _ Construction
Civil Engineering Practical Knowledge,https://www.udemy.com/course/civil-engineering-interview-questions/,www.udemy.com,Civil Engineer,free,Architecture _ Construction
The Engineering of Structures Around Us,https://www.edx.org/course/the-engineering-of-structures-around-us-2,edx.org,Vaults,free,Architecture _ Construction
,,,Vaults,,Architecture _ Construction
Age of Cathedrals,https://www.coursera.org/learn/age-of-cathedrals,Coursera.org,architect/Project manager/Construction manager,free,Architecture _ Construction
Solar Energy Basics,https://www.coursera.org/learn/solar-energy-basics,Coursera.org,architect/Project manager/Construction manager,free,Architecture _ Construction
Structural Materials: Selection and Economics,https://www.edx.org/course/structural-materials-selection-and-economics,edx.org,architect/Project manager/Construction manager,free,Architecture _ Construction
,,,Cities,,Architecture _ Construction
