courses,link,origin_site,profession,subscription,scope
,,,Media Studies ,,Cinematography _ Film Production_
Cinematography 101: Absolute beginners course.,https://www.udemy.com/course/cinematography-101/,www.udemy.com,Media Studies ,free,Cinematography _ Film Production_
From Story to Screen: Producing a Professional Short Film,https://www.udemy.com/course/from-story-to-screen-producing-a-professional-short-film/,www.udemy.com,Media Studies ,free,Cinematography _ Film Production_
Iphone Videomaking Masterclass,https://www.udemy.com/course/iphone-videomaking-masterclass/,www.udemy.com,Media Studies ,free,Cinematography _ Film Production_
IPHONE FILMMAKING MINI COURSE,https://www.udemy.com/course/iphone-filmmaking-mini-course/,www.udemy.com,Media Studies ,free,Cinematography _ Film Production_
AWESOME VIDEOS 101 - Learn the basics of great filmmaking,https://www.udemy.com/course/awesome-videos-101-learn-the-basics-of-great-filmmaking/,www.udemy.com,Media Studies ,free,Cinematography _ Film Production_
Exploring Movie Construction and Production,https://alison.com/course/exploring-movie-construction-and-production,alison.com,Media Studies ,free,Cinematography _ Film Production_
Introduction to Green Screens and Virtual Sets,https://www.udemy.com/course/virtual-sets/,www.udemy.com,Media Studies ,free,Cinematography _ Film Production_
ACTION™ Masterclass: How To Become Hollywood's #1 Must-Hire,https://www.udemy.com/course/actionmasterclass/,www.udemy.com,Media Studies ,free,Cinematography _ Film Production_
How to Make an Animated Movie,https://www.udemy.com/course/how-to-make-an-animated-movie/,www.udemy.com,Animation,free,Cinematography _ Film Production_
Animation and CGI Motion,https://www.edx.org/course/animation-and-cgi-motion-2,edx.org,Animation,free,Cinematography _ Film Production_
Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),https://www.coursera.org/learn/script-writing,coursera.org,Screenwriting,free,Cinematography _ Film Production_
Write A Feature Length Screenplay For Film Or Television,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,coursera.org,Screenwriting,free,Cinematography _ Film Production_
Transmedia Writing,https://www.coursera.org/learn/transmedia-writing,coursera.org,Screenwriting,free,Cinematography _ Film Production_
