courses,link,origin_site,profession,subscription,scope
Getting Started with AWS Machine Learning,https://www.coursera.org/learn/aws-machine-learning?edocomorp=cloud-technology-free-courses&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-txjblgyBI21Eq46WM4Azww&siteID=SAyYsTvLiGQ-txjblgyBI21Eq46WM4Azww&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,Coursera.org,Programming," free+certificate till 31.07",Computer Science _ IT
Computer Vision Basics,https://www.coursera.org/learn/computer-vision-basics?edocomorp=free-courses-college-students&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-iT5_1M_7oZvQYlUFl9LJJQ&siteID=SAyYsTvLiGQ-iT5_1M_7oZvQYlUFl9LJJQ&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,Coursera.org,Programming," free+certificate till 31.07",Computer Science _ IT
complete fron end web development start your journey," https://www.udemy.com/course/the-complete-front-end-web-development-start-your-journey/",www.udemy.com,Front End Web developer,free,Computer Science _ IT
web developer course on creating a business website,https://www.udemy.com/course/web-developer-course-on-creating-a-business-website/,www.udemy.com,Front End Web developer,free,Computer Science _ IT
web design,https://ru.coursera.org/specializations/web-design,Coursera.org,Front End Web developer,free,Computer Science _ IT
web development,https://ru.coursera.org/learn/web-development,Coursera.org,Front End Web developer,free,Computer Science _ IT
website development ,https://ru.coursera.org/specializations/website-development,Coursera.org,Front End Web developer,free,Computer Science _ IT
css javascript for web developers,https://ru.coursera.org/learn/html-css-javascript-for-web-developers,Coursera.org,Front End Web developer,free,Computer Science _ IT
Microsoft Professional Orientation : Front End Web Development,https://www.edx.org/course/microsoft-professional-orientation-front-end-web-d,edx.org,Front End Web developer,free,Computer Science _ IT
Developing Dynamic Web Applications Using Angular,https://www.edx.org/course/developing-dynamic-web-applications-using-angular,edx.org,Front End Web developer,free,Computer Science _ IT
Using Open Source Web Tooling to Improve Development Proficiency,https://www.edx.org/course/using-open-source-web-tooling-to-improve-developme,edx.org,Front End Web developer,free,Computer Science _ IT
Software Development Capstone Project,https://www.edx.org/course/software-development-capstone-project,edx.org,Front End Web developer,free,Computer Science _ IT
AngularJS: Framework Fundamentals,https://www.edx.org/course/angularjs-framework-fundamentals,edx.org,Front End Web developer,free,Computer Science _ IT
AngularJS: Advanced Framework Techniques,https://www.edx.org/course/angularjs-advanced-framework-techniques,edx.org,Front End Web developer,free,Computer Science _ IT
Introduction to Web Development,https://www.futurelearn.com/courses/introduction-to-web-development,futurelearn.com,Front End Web developer,free,Computer Science _ IT
"fundamentals of programing, understanding c#"," https://www.udemy.com/course/understandingc/",www.udemy.com,C# Developer (.NET developer),free,Computer Science _ IT
basics of object oriented programming with csharp,https://www.udemy.com/course/basics-of-object-oriented-programming-with-csharp/,www.udemy.com,C# Developer (.NET developer),free,Computer Science _ IT
more programming unity,https://ru.coursera.org/learn/more-programming-unity,Coursera.org,C# Developer (.NET developer),free,Computer Science _ IT
Data Structures and Design Patterns for Game Developers,https://ru.coursera.org/learn/data-structures-design-patterns,Coursera.org,C# Developer (.NET developer),free,Computer Science _ IT
Data Access in C# and .NET Core,https://www.edx.org/course/data-access-in-c-and-net-core,edx.org,C# Developer (.NET developer),free,Computer Science _ IT
MVC Application Design using .NET Core 2.0,https://www.edx.org/course/mvc-application-design-using-net-core-20,edx.org,C# Developer (.NET developer),free,Computer Science _ IT
Asynchronous Programming in C# and .NET Core,https://www.edx.org/course/asynchronous-programming-in-c-and-net-core,edx.org,C# Developer (.NET developer),free,Computer Science _ IT
Introduction to C#,https://www.edx.org/course/introduction-to-c-sharp-7,edx.org,C# Developer (.NET developer),free,Computer Science _ IT
Programming with C#,https://www.edx.org/course/programming-with-c,edx.org,C# Developer (.NET developer),free,Computer Science _ IT
Defensive Programming and Debugging,https://www.futurelearn.com/courses/defensive-programming-and-debugging,futurelearn.com,C# Developer (.NET developer),free,Computer Science _ IT
Python Core and Advanced," https://www.udemy.com/course/python-core-and-advanced/",www.udemy.com,Python Developer,free,Computer Science _ IT
Introduction To Python Programming,https://www.udemy.com/course/pythonforbeginnersintro,www.udemy.com,Python Developer,free,Computer Science _ IT
Python for Everybody Specialization,https://ru.coursera.org/specializations/python,Coursera.org,Python Developer,free,Computer Science _ IT
Python Programming Essentials,https://ru.coursera.org/learn/python-programming,Coursera.org,Python Developer,free,Computer Science _ IT
Using Python to Interact with the Operating System,https://ru.coursera.org/learn/python-operating-system,Coursera.org,Python Developer,free,Computer Science _ IT
Developing AI Applications on Azure,https://www.coursera.org/learn/developing-ai-applications-azure?edocomorp=cloud-technology-free-courses&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-qw2jr0s_dQqcvM1QbRjqyw&siteID=SAyYsTvLiGQ-qw2jr0s_dQqcvM1QbRjqyw&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,Coursera.org,Python Developer,free+certificate till 31.07,Computer Science _ IT
"Data Science for Construction, Architecture and Engineering",https://www.edx.org/course/Data-Science-for-Construction-Architecture-and-Engineering,edx.org,Python Developer,free,Computer Science _ IT
Analytics in Python,https://www.edx.org/course/analytics-in-python,edx.org,Python Developer,free,Computer Science _ IT
Data Science Research Methods: Python Edition,https://www.edx.org/course/data-science-research-methods-python-edition-2,edx.org,Python Developer,free,Computer Science _ IT
Computing in Python IV: Objects & Algorithms,https://www.edx.org/course/computing-in-python-iv-objects-algorithms,edx.org,Python Developer,free,Computer Science _ IT
Deep Learning with Python and PyTorch,https://www.edx.org/course/deep-learning-with-python-and-pytorch,edx.org,Python Developer,free,Computer Science _ IT
Advanced Algorithmics and Graph Theory with Python,https://www.edx.org/course/advanced-algorithmics-and-graph-theory-with-python,edx.org,Python Developer,free,Computer Science _ IT
Object-oriented Programming in Python: Create Your Own Adventure Game,https://www.futurelearn.com/courses/object-oriented-principles,futurelearn.com,Python Developer,free,Computer Science _ IT
Python in High Performance Computing,https://www.futurelearn.com/courses/python-in-hpc,futurelearn.com,Python Developer,free,Computer Science _ IT
Scratch to Python: Moving from Block- to Text-based Programming,https://www.futurelearn.com/courses/block-to-text-based-programming,futurelearn.com,Python Developer,free,Computer Science _ IT
Web Application Development: Basic Concepts,https://www.coursera.org/learn/web-app,Coursera.org,PHP Developer,free,Computer Science _ IT
Beginner PHP and MySQL Tutorial,https://www.udemy.com/course/php-mysql-tutorial/,www.udemy.com,PHP Developer,free,Computer Science _ IT
Practical PHP: Master the Basics and Code Dynamic Websites,https://www.udemy.com/course/code-dynamic-websites,www.udemy.com,PHP Developer,free,Computer Science _ IT
Building Web Applications in PHP,https://ru.coursera.org/learn/web-applications-php,Coursera.org,PHP Developer,free,Computer Science _ IT
Web Applications for Everybody Specialization,https://ru.coursera.org/specializations/web-applications,Coursera.org,PHP Developer,free,Computer Science _ IT
CS50's AP® Computer Science Principles,https://www.edx.org/course/cs50s-apr-computer-science-principles-harvardx-cs50-ap,edx.org,PHP Developer,free,Computer Science _ IT
Master Data Management,https://www.udemy.com/course/master-data-management-s/,www.udemy.com,Data Warehouse Developer,free,Computer Science _ IT
"Business Intelligence Concepts, Tools, and Applications",https://ru.coursera.org/learn/business-intelligence-tools,Coursera.org,Data Warehouse Developer,free,Computer Science _ IT
"Data Warehouse Concepts, Design, and Data Integration",https://ru.coursera.org/learn/dwdesign,Coursera.org,Data Warehouse Developer,free,Computer Science _ IT
"Data Engineering, Big Data, and Machine Learning on GCP Specialization",https://ru.coursera.org/specializations/gcp-data-machine-learning,Coursera.org,Data Warehouse Developer,free,Computer Science _ IT
SQL Operations in Everyday Life - The SQL Starter Pack,https://www.udemy.com/course/sql-operations-in-everyday-life/,www.udemy.com,Data Warehouse Developer,free,Computer Science _ IT
Microsoft SQL Server 2014 Database Administration,https://www.udemy.com/course/microsoft-sql-server-2014-database-administration/,www.udemy.com,Database Developer,free,Computer Science _ IT
MySQL Developer - Querying For Data,https://www.udemy.com/course/mysql-developer-querying-for-data/,www.udemy.com,Database Developer,free,Computer Science _ IT
Databases and SQL for Data Science,https://ru.coursera.org/learn/sql-data-science,Coursera.org,Database Developer,free,Computer Science _ IT
Database Management Essentials,https://ru.coursera.org/learn/database-management,Coursera.org,Database Developer,free,Computer Science _ IT
"Data Warehouse Concepts, Design, and Data Integration",https://ru.coursera.org/learn/dwdesign,Coursera.org,Database Developer,free,Computer Science _ IT
Developing SQL Databases,https://www.edx.org/course/developing-sql-databases,edx.org,Database Developer,free,Computer Science _ IT
DevOps for Databases,https://www.edx.org/course/devops-for-databases,edx.org,Database Developer,free,Computer Science _ IT
Creating Programmatic SQL Database Objects,https://www.edx.org/course/creating-programmatic-sql-database-objects,edx.org,Database Developer,free,Computer Science _ IT
Developing Data Client Applications and Services,https://www.edx.org/course/developing-data-client-applications-and-services,edx.org,Database Developer,free,Computer Science _ IT
Developing a Multidimensional Data Model,https://www.edx.org/course/developing-a-multidimensional-data-model,edx.org,Database Developer,free,Computer Science _ IT
Web App Development with the Power of Node.js,https://www.edx.org/course/web-app-development-with-the-power-of-nodejs,edx.org,Database Developer,free,Computer Science _ IT
Introduction to Data Modeling,https://www.edx.org/course/introduction-to-data-modeling,edx.org,Database Developer,free,Computer Science _ IT
Ruby on Rails a Beginners Guide,https://www.udemy.com/course/ruby-on-rails-a-beginners-guide-free/,www.udemy.com,Ruby on Rails Developer ,free,Computer Science _ IT
"Learn Rails: Quickly Code, Style and Launch 4 Web Apps",https://www.udemy.com/course/learn-rails/,www.udemy.com,Ruby on Rails Developer ,free,Computer Science _ IT
Ruby on Rails Web Development Specialization,https://ru.coursera.org/specializations/ruby-on-rails,Coursera.org,Ruby on Rails Developer ,free,Computer Science _ IT
Ruby on Rails: An Introduction,https://ru.coursera.org/learn/ruby-on-rails-intro,Coursera.org,Ruby on Rails Developer ,free,Computer Science _ IT
Ruby on Rails Web Services and Integration with MongoDB,https://ru.coursera.org/learn/ruby-on-rails-web-services-mongodb,Coursera.org,Ruby on Rails Developer ,free,Computer Science _ IT
Agile Development Using Ruby on Rails - The Basics,https://www.edx.org/course/agile-development-using-ruby-on-rails-the-basics,edx.org,Ruby on Rails Developer ,free,Computer Science _ IT
Agile Development Using Ruby on Rails - Advanced,https://www.edx.org/course/agile-development-using-ruby-on-rails-advanced,edx.org,Ruby on Rails Developer ,free,Computer Science _ IT
Oracle SQL - A Complete Introduction,https://www.udemy.com/course/introduction-to-oracle-sql,www.udemy.com,SQL Developer,free,Computer Science _ IT
Learn SQL Basics for Data Science Specialization,https://ru.coursera.org/specializations/learn-sql-basics-data-science,Coursera.org,SQL Developer,free,Computer Science _ IT
Introduction to Structured Query Language (SQL)," https://ru.coursera.org/learn/intro-sql",Coursera.org,SQL Developer,free,Computer Science _ IT
Databases and SQL for Data Science,https://ru.coursera.org/learn/sql-data-science,Coursera.org,SQL Developer,free,Computer Science _ IT
Developing SQL Databases,https://www.edx.org/course/developing-sql-databases,edx.org,SQL Developer,free,Computer Science _ IT
Querying Data with Transact-SQL,https://www.edx.org/course/querying-data-with-transact-sql-2,edx.org,SQL Developer,free,Computer Science _ IT
Optimizing Performance for SQL Based Applications,https://www.edx.org/course/optimizing-performance-for-sql-based-applications,edx.org,SQL Developer,free,Computer Science _ IT
Creating Programmatic SQL Database Objects,https://www.edx.org/course/creating-programmatic-sql-database-objects,edx.org,SQL Developer,free,Computer Science _ IT
Using Non-Relational Data in SQL Server,https://www.edx.org/course/using-non-relational-data-in-sql-server,edx.org,SQL Developer,free,Computer Science _ IT
Creating BI Reports with SQL Server Reporting Services,https://www.edx.org/course/creating-bi-reports-with-sql-server-reporting-serv,edx.org,SQL Developer,free,Computer Science _ IT
Creating a Master Data Solution with SQL Server Master Data Services (MDS),https://www.edx.org/course/creating-a-master-data-solution-with-sql-server-ma,edx.org,SQL Developer,free,Computer Science _ IT
Your last Intro to Programming Course,https://www.udemy.com/course/your-last-intro-to-programming-course,www.udemy.com,Software Developer ,free,Computer Science _ IT
Software Design Methods and Tools,https://ru.coursera.org/learn/software-design-methods-tools,Coursera.org,Software Developer ,free,Computer Science _ IT
Software Product Management Specialization,https://ru.coursera.org/specializations/product-management,Coursera.org,Software Developer ,free,Computer Science _ IT
Software Development Lifecycle Specialization,https://ru.coursera.org/specializations/software-development-lifecycle,Coursera.org,Software Developer ,free,Computer Science _ IT
Software Development Fundamentals,https://www.edx.org/course/software-development-fundamentals,edx.org,Software Developer ,free,Computer Science _ IT
Developing International Software,https://www.edx.org/course/developing-international-software-3,edx.org,Software Developer ,free,Computer Science _ IT
Agile Software Development,https://www.edx.org/course/agile-software-development,edx.org,Software Developer ,free,Computer Science _ IT
Global Software Development,https://www.edx.org/course/global-software-development,edx.org,Software Developer ,free,Computer Science _ IT
Software Construction: Data Abstraction,https://www.edx.org/course/software-construction-data-abstraction,edx.org,Software Developer ,free,Computer Science _ IT
Software Construction: Object-Oriented Design,https://www.edx.org/course/software-construction-object-oriented-design,edx.org,Software Developer ,free,Computer Science _ IT
Software Development Capstone Project,https://www.edx.org/course/software-development-capstone-project,edx.org,Software Developer ,free,Computer Science _ IT
Cyber Security in the Software Development Life Cycle,https://www.futurelearn.com/courses/cyber-security-in-the-software-development-life-cycle,futurelearn.com,Software Developer ,free,Computer Science _ IT
Become a Developer,https://www.futurelearn.com/career-advice/become-a-developer,futurelearn.com,Software Developer ,free,Computer Science _ IT
Data Structures and Software Design,https://www.edx.org/course/data-structures-and-software-design,Edx.org,Software Designer,free,Computer Science _ IT
Software Construction: Object-Oriented Design,https://www.edx.org/course/software-construction-object-oriented-design,Edx.org,Software Designer,free,Computer Science _ IT
This Is How You Make iPhone Apps - iOS Development Course,https://www.udemy.com/course/iosdevelopment/,www.udemy.com,Mobile App Developer,free,Computer Science _ IT
Android Fundamentals: Ultimate Tutorial for App Development,https://www.udemy.com/course/ultimate-android-lollipop-app-development-course/,www.udemy.com,Mobile App Developer,free,Computer Science _ IT
Full Stack Web and Multiplatform Mobile App Development Specialization,https://ru.coursera.org/specializations/full-stack-mobile-app-development,Coursera.org,Mobile App Developer,free,Computer Science _ IT
Creative Programming for Digital Media & Mobile Apps," https://ru.coursera.org/learn/digitalmedia",Coursera.org,Mobile App Developer,free,Computer Science _ IT
Introduction to Programming in Swift 5,https://ru.coursera.org/learn/swift-5-programming-introduction,Coursera.org,Mobile App Developer,free,Computer Science _ IT
Mobile Computing with App Inventor – CS Principles,https://www.edx.org/course/mobile-computing-with-app-inventor-cs-principles-2,edx.org,Mobile App Developer,free,Computer Science _ IT
Build your very first iOS app,https://www.edx.org/course/build-your-very-first-ios-app,edx.org,Mobile App Developer,free,Computer Science _ IT
CS50's Mobile App Development with React Native,https://www.edx.org/course/cs50s-mobile-app-development-with-react-native,edx.org,Mobile App Developer,free,Computer Science _ IT
DevOps for Mobile Apps,https://www.edx.org/course/devops-for-mobile-apps,edx.org,Mobile App Developer,free,Computer Science _ IT
Project: Create an iOS app from start to finish,https://www.edx.org/course/project-create-an-ios-app-from-start-to-finish,edx.org,Mobile App Developer,free,Computer Science _ IT
