courses,link,origin_site,profession,subscription,scope
Design: Creation of Artifacts in Society,https://www.coursera.org/learn/design?edocomorp=free-courses-college-students&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-gvOmFbaABwFY5Ih28cLk4A&siteID=SAyYsTvLiGQ-gvOmFbaABwFY5Ih28cLk4A&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ#syllabus,Coursera.org,,free+certificate till 31.07,Design
Adobe InDesign Made Easy. A Beginners Guide To InDesign,https://www.udemy.com/course/adobe-indesign-made-easy/,udemy.com,,free,Design
,,,,,Design
The Language of Design: Form and Meaning,https://www.coursera.org/learn/design-language?edocomorp=free-courses-college-students&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-M__qOawDgDzrm5xIB4PKIQ&siteID=SAyYsTvLiGQ-M__qOawDgDzrm5xIB4PKIQ&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,Coursera.org,Graphic Designer,free+certificate till 31.07,Design
Introduction To Graphic Design (Projects) - FREE,https://www.udemy.com/course/graphic-design-intro/,udemy.com,Graphic Designer,free,Design
Design - Applying Design Principles,https://alison.com/course/design-applying-design-principles,alison.com,Graphic Designer,free,Design
Graphic Design - Visual and Graphic Design,https://alison.com/course/graphic-design-visual-and-graphic-design,alison.com,Graphic Designer,free,Design
Desktop Publishing for You,https://www.udemy.com/course/desktop-publishing-for-you/,udemy.com,Graphic Designer,free,Design
How to Make a Personal/Portfolio WordPress Website | 2019,https://www.udemy.com/course/make-an-incredible-personal-website-using-wordpress-2018/,udemy.com,Graphic Designer,free,Design
The Essential ArtRage Guide | An Artist's Tutorial,https://www.udemy.com/course/the-essential-artrage-guide-an-artists-tutorial-q/,udemy.com,Graphic Designer,free,Design
Learn to Design a Letterhead - A Beginners Course,https://www.udemy.com/course/learn-to-design-a-letterhead/,udemy.com,Illustrator ,free,Design
Art Fundamentals - Building Blocks of Digital Painting,https://www.udemy.com/course/art-fundamentals-in-one-hour/,udemy.com,Illustrator ,free,Design
Adobe Photoshop CS6 Essential Tools,https://alison.com/course/adobe-photoshop-cs6-essential-tools,alison.com,Photo Editor/Photoshop Artist,free,Design
Digital 1: We've Just Begun!,https://www.udemy.com/course/digital-1-weve-just-begun/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Photoshop Beginner Class | Digital Painting,https://www.udemy.com/course/photoshop-beginner-class/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Comprehensive Photoshop CC 2020: Learn from the expert,https://www.udemy.com/course/photoshop-cc-for-beginners/,udemy.com,Photo Editor/Photoshop Artist,free,Design
How to Design a Flyer in Photoshop,https://www.udemy.com/course/how-to-design-a-flyer-in-photoshop/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Photoshop Fundamentals,https://www.udemy.com/course/photoshop-fundamentals-in-one-hour/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Ultimate Photoshop CS6 Editing Basics Essentials Made Easy,https://www.udemy.com/course/ultimate-photoshop-cs6/,udemy.com,Photo Editor/Photoshop Artist,free,Design
10 Things you must know in Photoshop,https://www.udemy.com/course/10-things-you-must-know-in-photoshop/,udemy.com,Photo Editor/Photoshop Artist,free,Design
How to Start a Successful Freelance Career With Photoshop,https://www.udemy.com/course/start-freelancing-as-a-photo-editor/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Photoshop for beginners,https://www.udemy.com/course/photoshop-for-beginners-adobe-photoshop-cc/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Learn Photoshop Tools From Scratch,https://www.udemy.com/course/master-in-photoshop-from-zero-to-pro/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Learn Photoshop for Design: 100% Practical Projects,https://www.udemy.com/course/photoshop-for-design-learn-banner-design-in-photoshop/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Learn Adobe Photoshop for Designers,https://www.udemy.com/course/learn-adobe-photoshop-for-designers/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Introduction to Photoshop CC: Tutorials for Beginners,https://www.udemy.com/course/introduction-to-photoshop-cc-tutorials-for-beginners/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Learn Adobe Photoshop by Creating an Amazing Book Cover,https://www.udemy.com/course/learn-adobe-photoshop-by-creating-an-amazing-book-cover/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Complete Photoshop Course: Beginner To Expert!,https://www.udemy.com/course/complete-photoshop-course-beginner-to-expert-f/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Photoshop CC: The Essentials of Photoshop In Just 2 hrs,https://www.udemy.com/course/photoshop-cc-introduction-tutorial-quick-start/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Adobe Photoshop CS6 - For Beginners,https://www.udemy.com/course/learn-adobe-photoshop-cs6-for-beginners/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Design Tickets and Vouchers in Photoshop and Illustrator,https://www.udemy.com/course/design-tickets-and-vouchers-in-photoshop-and-illustrator/,udemy.com,Photo Editor/Photoshop Artist,free,Design
Graphic design: Designing 4 Advertisements in a series!,https://www.udemy.com/course/fundamentals-of-an-advertisement/,udemy.com,Photo Editor/Photoshop Artist,free,Design
From Doodle to Logo,https://www.udemy.com/course/from-doodle-to-logo/,udemy.com,Logo Designer,free,Design
The Logo Design Process From Start To Finish,https://www.udemy.com/course/the-logo-design-process-from-start-to-finish/,udemy.com,Logo Designer,free,Design
Professional Logo Design in Adobe Illustrator,https://www.udemy.com/course/professional-logo-design-crash-course/,udemy.com,Logo Designer,free,Design
Build an Awesome Logo Portfolio Website in 1 Hour,https://www.udemy.com/course/logoportfolio/,udemy.com,Logo Designer,free,Design
Learn Inkscape : Design Logos and Game Arts,https://www.udemy.com/course/design-logos-and-game-arts-inkscape/,udemy.com,Logo Designer,free,Design
How To Create a Website in a Weekend! (Project-Centered Course),https://www.coursera.org/learn/how-to-create-a-website,Coursera.org,Web designer,free,Design
Photoshop CC for Web Design Beginners,https://www.udemy.com/course/photoshop-for-web-design-beginners-version2/,udemy.com,Web designer,free,Design
Web Design Bootcamp : Design like a PRO,https://www.udemy.com/course/web-design-bootcamp-design-like-a-pro/,udemy.com,Web designer,free,Design
Front End Web Design using WYSIWYG Web Builder like a pro,https://www.udemy.com/course/wysiwyg-web-builder-essential-training/,udemy.com,Web designer,free,Design
Work Online As A Web Designer,https://www.udemy.com/course/starting-a-web-design-business/,udemy.com,Web designer,free,Design
Learn To Design My Award Winning Sites In SketchApp,https://www.udemy.com/course/learn-to-design-my-award-winning-sites-in-sketch/,udemy.com,HTML and CSS,free,Design
Wordpress and Beaver Builder Quick Website Design Series,https://www.udemy.com/course/wordpress-and-beaver-builder-quick-website-design/,udemy.com,HTML and CSS,free,Design
Web Design for Web Developers: Build Beautiful Websites!,https://www.udemy.com/course/web-design-secrets/,udemy.com,HTML and CSS,free,Design
Thrive Architect Web Builder - Create A Complete Website,https://www.udemy.com/course/how-to-make-website/,udemy.com,HTML and CSS,free,Design
Starting A Successful Web Design Business,https://www.udemy.com/course/run-your-own-web-design-business/,udemy.com,HTML and CSS,free,Design
Work Online As A Web Designer,https://www.udemy.com/course/starting-a-web-design-business/,udemy.com,HTML and CSS,free,Design
Web Design for Beginners: Using WYSIWYG Web Builder,https://www.udemy.com/course/designing-a-portfolio-website-with-wysiwyg-web-builder/,udemy.com,HTML and CSS,free,Design
Create & Build Custom Website Without Coding WordPress 2019,https://www.udemy.com/course/custom-website-without-coding/,udemy.com,HTML and CSS,free,Design
Visual Web Design Mastery,https://www.udemy.com/course/visual-web-design-mastery/,udemy.com,HTML and CSS,free,Design
Create Websites with Google's Material Design (MDL Lite),https://www.udemy.com/course/learn-google-material-design-mdl-lite-framework/,udemy.com,HTML and CSS,free,Design
How to Design & Prototype in Adobe XD,https://www.udemy.com/course/adobe-xd-experience-design/,udemy.com,HTML and CSS,free,Design
Wireframing with Balsamiq Mockups,https://www.udemy.com/course/wireframing-with-balsamiq-mockups/,udemy.com,HTML and CSS,free,Design
Introduction to User Experience Design,https://www.coursera.org/learn/user-experience-design,Coursera.org,Ui/Ux designer,free,Design
The no BS 2 Hour UI Design Course,https://www.udemy.com/course/learn-ui-design-all-you-need-to-start-a-6-figure-career/,udemy.com,Ui/Ux designer,free,Design
Adobe illustrator For UI / UX Design,https://www.udemy.com/course/illustrator-for-ui-ux-design/,udemy.com,Ui/Ux designer,free,Design
Digital Skills: User Experience,https://www.futurelearn.com/courses/digital-skills-user-experience,Futurelearn.com,Ui/Ux designer,free,Design
UX Design Tutorial for Beginners (#1),https://www.udemy.com/course/the-essential-uxui-designer-course/,udemy.com,Ui/Ux designer,free,Design
User Experience (UX) Fundamentals,https://www.udemy.com/course/introtoux/,udemy.com,Ui/Ux designer,free,Design
User Experience (UX) Strategy Fundamentals,https://www.udemy.com/course/user-experience-ux-strategy-fundamentals/,udemy.com,Ui/Ux designer,free,Design
Introduction to Web and eCommerce User eXperience Design,https://www.udemy.com/course/introduction-to-web-and-ecommerce-user-experience-design/,udemy.com,Ui/Ux designer,free,Design
UX: The Evidence-Based Redesign,https://www.udemy.com/course/the-evidence-based-redesign/,udemy.com,Ui/Ux designer,free,Design
Adobe Xd Basics Course,https://www.udemy.com/course/adobe-xd-basics-course/,udemy.com,Ui/Ux designer,free,Design
Rapid Usability Research For UX Designers,https://www.udemy.com/course/rapid-usability-research-for-ux-designers/,udemy.com,Ui/Ux designer,free,Design
User Experience Certification,https://www.udemy.com/course/certificate-in-ux/,udemy.com,Ui/Ux designer,free,Design
Digital Skills: Mobile,https://www.futurelearn.com/courses/digital-skills-mobile,Futurelearn.com,Mobile app designer,free,Design
