courses,link,origin_site,profession,subscription,scope
,https://www.futurelearn.com/subjects/teaching-courses/language-teaching,futurelearn.com,Language Teacher,free,Education
Teaching English Online in China and beyond,https://www.futurelearn.com/courses/online-tutoring-china,futurelearn.com,Language Teacher,free,Education
,,,Teaching English / TEFL Courses,,Education
,https://www.futurelearn.com/subjects/teaching-courses/how-to-teach-online,futurelearn.com,Online Teacher,free,Education
Teaching English Online in China and beyond,https://www.futurelearn.com/courses/online-tutoring-china,futurelearn.com,Online Teacher,free,Education
Learning to Teach Online,https://www.coursera.org/learn/teach-online,coursera.org,Online Teacher,free,Education
Teach English Now! Teaching Language Online,https://www.coursera.org/learn/teachlanguageonline,coursera.org,Online Teacher,free,Education
,https://www.futurelearn.com/subjects/teaching-courses/diversity-and-inclusion,futurelearn.com,Online Teacher,free,Education
,,,Autismsm,,Education
,https://www.futurelearn.com/subjects/teaching-courses/primary-education,futurelearn.com,Primary School Teacher,free,Education
ICT in Primary Education: Transforming children's learning across the curriculum,https://www.coursera.org/learn/ict-primary-education,coursera.org,Primary School Teacher,free,Education
,,,Primary School Teacher,,Education
,https://www.futurelearn.com/subjects/teaching-courses/secondary-education,futurelearn.com,Secondary Teacher,free,Education
,,,Secondary Teacher,,Education
,https://www.futurelearn.com/subjects/teaching-courses/professional-development-for-teachers,futurelearn.com,Secondary Teacher,free,Education
Powerful Tools for Teaching and Learning: Web 2.0 Tools,https://www.coursera.org/learn/teaching-learning-tools,coursera.org,Secondary Teacher,free,Education
Assessment in Higher Education: Professional Development for Teachers,https://www.coursera.org/learn/assessment-higher-education,coursera.org,Secondary Teacher,free,Education
Get Organized: How to be a Together Teacher,https://www.coursera.org/learn/together-teacher,coursera.org,Secondary Teacher,free,Education
,,,Secondary Teacher,,Education
,https://www.futurelearn.com/subjects/teaching-courses/teaching-science-technology-engineering-and-maths,futurelearn.com,STEM Teacher,free,Education
,,," Computing ",,Education
An Introduction to Teaching Vocabulary,https://www.futurelearn.com/courses/developing-vocabulary,futurelearn.com," Computing ",free,Education
University Teaching,https://www.coursera.org/learn/university-teaching,coursera.org," Computing ",free,Education
Negotiating Learner Differences: Towards Productive Diversity in Learning,https://www.coursera.org/learn/learnerdifferences,coursera.org," Computing ",free,Education
Foundations of Teaching for Learning: Being a Teacher,https://www.coursera.org/learn/being-a-teacher,coursera.org," Computing ",free,Education
Teaching Character and Creating Positive Classrooms,https://www.coursera.org/learn/teaching-character,coursera.org," Computing ",free,Education
Learning How to Learn: Powerful mental tools to help you master tough subjects,https://www.coursera.org/learn/learning-how-to-learn,coursera.org," Computing ",free,Education
"Literacy Teaching and Learning: Aims, Approaches and Pedagogies",https://www.coursera.org/learn/literacy-teaching-learning,coursera.org," Computing ",free,Education
Foundations of Teaching for Learning: Introduction,https://www.coursera.org/learn/teaching,coursera.org," Computing ",free,Education
Foundations of Teaching for Learning: Curriculum,https://www.coursera.org/learn/teacher-curriculum,coursera.org," Computing ",free,Education
Foundations of Teaching for Learning: Learners and Learning,https://www.coursera.org/learn/teaching-learning,coursera.org," Computing ",free,Education
