courses,link,origin_site,profession,subscription,scope
"Electrical, Optical & Magnetic Materials and Devices",https://www.edx.org/course/electrical-optical-magnetic-materials-and-devices,edx.org,Electric Engineer/Technician,free,Engineering _ Technology
Circuits and Electronics 1: Basic Circuit Analysis,https://www.edx.org/course/circuits-and-electronics-1-basic-circuit-analysis,edx.org,Electric Engineer/Technician,free,Engineering _ Technology
"Circuits and Electronics 2: Amplification, Speed, and Dela",https://www.edx.org/course/circuits-and-electronics-2-amplification-speed-a-2,edx.org,Electric Engineer/Technician,free,Engineering _ Technology
Circuits and Electronics 3: Applications,https://www.edx.org/course/circuits-and-electronics-3-applications,edx.org,Electric Engineer/Technician,free,Engineering _ Technology
Introduction to Electrical and Electronic Engineering ,https://www.edx.org/course/introduction-to-electrical-and-electronic-engineer,edx.org,Electric Engineer/Technician,free,Engineering _ Technology
"Electricity and Magnetism, Part 1",https://www.edx.org/course/electricity-and-magnetism-part-1,edx.org,Electric Engineer/Technician,free,Engineering _ Technology
"Electronic, Optical, and Magnetic Properties of Materials",https://www.edx.org/course/electronic-optical-and-magnetic-properties-of-mate,edx.org,Electric Engineer/Technician,free,Engineering _ Technology
Introduction to Electronics,https://www.coursera.org/learn/electronics,coursera.org,Electric Engineer/Technician,free,Engineering _ Technology
Power Electronics Specialization,https://www.coursera.org/specializations/power-electronics,coursera.org,Electric Engineer/Technician,free,Engineering _ Technology
Algorithms for Battery Management Systems Specialization,https://www.coursera.org/specializations/algorithms-for-battery-management-systems,coursera.org,Electric Engineer/Technician,free,Engineering _ Technology
Building Arduino robots and devices,https://www.coursera.org/learn/arduino,coursera.org,Electric Engineer/Technician,free,Engineering _ Technology
Electric Vehicles and Mobility,https://www.coursera.org/learn/electric-vehicles-mobility,coursera.org,Electric Engineer/Technician,free,Engineering _ Technology
Introduction to Power Electronics,https://www.coursera.org/learn/power-electronics,coursera.org,Electric Engineer/Technician,free,Engineering _ Technology
Electric Utilities Fundamentals and Future,https://www.coursera.org/learn/electric-utilities,coursera.org,Electric Engineer/Technician,free,Engineering _ Technology
Energy: The Enterprise,https://www.coursera.org/learn/energy-industry-overview,coursera.org,Electric Engineer/Technician,free,Engineering _ Technology
Electrical Design in Industrial Automation - The Insight,https://www.udemy.com/course/electrical-design-the-insight/,www.udemy.com,Electric Engineer/Technician,free,Engineering _ Technology
Introduction to Power Electronics: From Theory to Practice,https://www.udemy.com/course/introduction-to-power-electronics-from-theory-to-practice/,www.udemy.com,Electric Engineer/Technician,free,Engineering _ Technology
Introduction to Electric Vehicles,https://www.udemy.com/course/electric-vehicles/,www.udemy.com,Electric Engineer/Technician,free,Engineering _ Technology
"Understand, select & maintain your proper EX rated equipment",https://www.udemy.com/course/understand-select-maintain-your-proper-ex-rated-equipment/,www.udemy.com,Electric Engineer/Technician,free,Engineering _ Technology
Design Over & Under Voltage Protection Circuit,https://www.udemy.com/course/design-over-under-voltage-protection-circuit/,www.udemy.com,Electric Engineer/Technician,free,Engineering _ Technology
AC DC Analysis of Diode - Electronics Engineering,https://www.udemy.com/course/analysis-of-diode/,www.udemy.com,Electric Engineer/Technician,free,Engineering _ Technology
Electronics: AC & DC Analysis of DiodeS,https://www.udemy.com/course/electronics-ac-dc-analysis-of-diodes/,www.udemy.com,Electric Engineer/Technician,free,Engineering _ Technology
Intro to Arduino Interfacing,https://www.udemy.com/course/intro-to-embedded-systems-with-arduino/,www.udemy.com,Electric Engineer/Technician,free,Engineering _ Technology
Makey Makey : Beyond the Banana,https://www.udemy.com/course/makey-makey/,www.udemy.com,Electric Engineer/Technician,free,Engineering _ Technology
PNW Adapted Toy Library Tutorials,https://www.udemy.com/course/pnw-adapted-toy-library-tutorials/,www.udemy.com,Electric Engineer/Technician,free,Engineering _ Technology
,,,Electric Engineer/Technician,,Engineering _ Technology
Energy Within Environmental Constraints,https://www.edx.org/course/energy-within-environmental-constraints,edx.org,Environmental Engineer,free,Engineering _ Technology
Environmental Engineering: Drinking Water Treatment,https://www.edx.org/course/environmental-engineering-drinking-water-treatment,edx.org,Environmental Engineer,free,Engineering _ Technology
Beyond Engineering: Building with Nature,https://www.edx.org/course/beyond-engineering-building-with-nature,edx.org,Environmental Engineer,free,Engineering _ Technology
Sustainable Development: Solutions and Trends,https://www.edx.org/course/sustainable-development-solutions-and-trends,edx.org,Environmental Engineer,free,Engineering _ Technology
Exploring Sustainable Development,https://www.edx.org/course/exploring-sustainable-development,edx.org,Environmental Engineer,free,Engineering _ Technology
Circular Economy for a Sustainable Built Environment,https://www.edx.org/course/circular-economy-for-a-sustainable-built-environ-2,edx.org,Environmental Engineer,free,Engineering _ Technology
Managing Building Adaptation: A Sustainable Approach,https://www.edx.org/course/managing-building-adaptation-a-sustainable-appro-2,edx.org,Environmental Engineer,free,Engineering _ Technology
Sustainable Urban Development,https://www.edx.org/course/sustainable-urban-development,edx.org,Environmental Engineer,free,Engineering _ Technology
Co-Creating Sustainable Cities,https://www.edx.org/course/co-creating-sustainable-cities,edx.org,Environmental Engineer,free,Engineering _ Technology
Exploring Renewable Energy Schemes,https://www.coursera.org/learn/exploring-renewable-energy,coursera.org,Environmental Engineer,free,Engineering _ Technology
"Engineering Life: Synbio, Bioethics & Public Policy",https://www.coursera.org/learn/synbioethics,coursera.org,Environmental Engineer,free,Engineering _ Technology
Sustainable Construction and Development,https://www.futurelearn.com/courses/sustainable-construction-development,futurelearn.com,Environmental Engineer,free,Engineering _ Technology
"New Energy Technologies: Energy Transition and Sustainable Development
",https://www.futurelearn.com/courses/new-energy-technologies,futurelearn.com,Environmental Engineer,free,Engineering _ Technology
,,,Environmental Engineer,,Engineering _ Technology
Mechatronics,https://www.edx.org/course/mechatronics,edx.org,Mechanical Engineer ,free,Engineering _ Technology
Modeling and simulation of multibody systems,https://www.edx.org/course/modeling-and-simulation-of-multibody-systems,edx.org,Mechanical Engineer ,free,Engineering _ Technology
Transfer Functions and the Laplace Transform,https://www.edx.org/course/transfer-functions-and-the-laplace-transform,edx.org,Mechanical Engineer ,free,Engineering _ Technology
Hybrid Vehicles,https://www.edx.org/course/hybrid-vehicles,edx.org,Mechanical Engineer ,free,Engineering _ Technology
Manufacturing Process Control I,https://www.edx.org/course/manufacturing-process-control-i,edx.org,Mechanical Engineer ,free,Engineering _ Technology
Real-Time Bluetooth Networks - Shape the World,https://www.edx.org/course/real-time-bluetooth-networks-shape-the-world,edx.org,Mechanical Engineer ,free,Engineering _ Technology
"Mechanical Behavior of Materials, Part 1: Linear Elastic Behavior",https://www.edx.org/course/mechanical-behavior-of-materials-part-1-linear-ela,edx.org,Mechanical Engineer ,free,Engineering _ Technology
"Mechanical Behavior of Materials, Part 2: Stress Transformations, Beams, Columns, and Cellular Solids",https://www.edx.org/course/mechanical-behavior-of-materials-part-2-stress-tra,edx.org,Mechanical Engineer ,free,Engineering _ Technology
"Mechanical Behavior of Materials, Part 3: Time Dependent Behavior and Failure",https://www.edx.org/course/mechanical-behavior-of-materials-part-3-time-depen,edx.org,Mechanical Engineer ,free,Engineering _ Technology
Engineering Mechanics,https://www.edx.org/course/engineering-mechanics-2,edx.org,Mechanical Engineer ,free,Engineering _ Technology
A Hands-on Introduction to Engineering Simulations,https://www.edx.org/course/a-hands-on-introduction-to-engineering-simulations,edx.org,Mechanical Engineer ,free,Engineering _ Technology
Quantum Mechanics for Scientists and Engineers 2,https://www.edx.org/course/wip-quantum-mechanics-for-scientists-and-engineers-2,edx.org,Mechanical Engineer ,free,Engineering _ Technology
Introduction to Engineering Mechanics,https://www.coursera.org/learn/engineering-mechanics-statics,coursera.org,Mechanical Engineer ,free,Engineering _ Technology
Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,https://www.coursera.org/learn/mechanics-1,coursera.org,Mechanical Engineer ,free,Engineering _ Technology
Introduction to Thermodynamics: Transferring Energy from Here to There,https://www.coursera.org/learn/thermodynamics-intro,coursera.org,Mechanical Engineer ,free,Engineering _ Technology
"Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories",https://www.coursera.org/learn/materials-structures,coursera.org,Mechanical Engineer ,free,Engineering _ Technology
Applications in Engineering Mechanics,https://www.coursera.org/learn/engineering-mechanics-statics-2,coursera.org,Mechanical Engineer ,free,Engineering _ Technology
MECHANISMS AND MOTION - ROBOTICS FOCUS,https://www.udemy.com/course/mechanisms/,www.udemy.com,Mechanical Engineer ,free,Engineering _ Technology
Engineering Mechanics - An Introduction,https://www.udemy.com/course/engineering-mechanics-an-introduction/,www.udemy.com,Mechanical Engineer ,free,Engineering _ Technology
dynamics for mechanical engineers,https://www.udemy.com/course/dynamics/,www.udemy.com,Mechanical Engineer ,free,Engineering _ Technology
Fluid mechanics basics,https://www.udemy.com/course/fluid-mechanics-basics/,www.udemy.com,Mechanical Engineer ,free,Engineering _ Technology
,,,Mechanical Engineer ,,Engineering _ Technology
Fun with Beginner LEGO MindStorms EV3 Robotics.,https://www.udemy.com/course/fun-with-beginner-lego-mindstorms-ev3-robotics/,www.udemy.com,Robotics engineer,free,Engineering _ Technology
MECHANISMS AND MOTION - ROBOTICS FOCUS,https://www.udemy.com/course/mechanisms/,www.udemy.com,Robotics engineer,free,Engineering _ Technology
Introduction to Robotics & Autonomous Car Design,https://www.udemy.com/course/introduction-to-robotics-autonomous-car-design/,www.udemy.com,Robotics engineer,free,Engineering _ Technology
EV3 Basic: Getting Started,https://www.udemy.com/course/ev3-basic-getting-started/,www.udemy.com,Robotics engineer,free,Engineering _ Technology
Intro to Arduino Interfacing,https://www.udemy.com/course/intro-to-embedded-systems-with-arduino/,www.udemy.com,Robotics engineer,free,Engineering _ Technology
Robotics Computer Programming - PTZ Camera Control Course,https://www.udemy.com/course/robotics-programming/,www.udemy.com,Robotics engineer,free,Engineering _ Technology
Exploring RPA Automation Technology & Tool,https://www.udemy.com/course/exploring-rpa/,www.udemy.com,Robotics engineer,free,Engineering _ Technology
Robot Framework | Step-by-Step for Beginners,https://www.udemy.com/course/robot-framework-step-by-step-for-beginners/,www.udemy.com,Robotics engineer,free,Engineering _ Technology
Robotics: Locomotion Engineering,https://www.edx.org/course/robotics-locomotion-engineering,edx.org,Robotics engineer,free,Engineering _ Technology
Robotics: Dynamics and Control,https://www.edx.org/course/robotics-dynamics-and-control,edx.org,Robotics engineer,free,Engineering _ Technology
Robot Development,https://www.edx.org/course/developmental-robotics,edx.org,Robotics engineer,free,Engineering _ Technology
" Robotics Specialization",https://www.coursera.org/specializations/robotics,coursera.org,Robotics engineer,free,Engineering _ Technology
"Modern Robotics, Course 1: Foundations of Robot Motion",https://www.coursera.org/learn/modernrobotics-course1,coursera.org,Robotics engineer,free,Engineering _ Technology
self-driving cars,https://www.coursera.org/specializations/self-driving-cars,coursera.org,Robotics engineer,free,Engineering _ Technology
Building Arduino robots and devices,https://www.coursera.org/learn/arduino,coursera.org,Robotics engineer,free,Engineering _ Technology
,,,Robotics engineer,,Engineering _ Technology
How to Build/Make a Simple Remote-Controlled (RC) Plane,https://www.udemy.com/course/how-to-build-a-simple-remote-controlled-rc-plane/,www.udemy.com,Aerospace engineer,free,Engineering _ Technology
ABC of Flight Mechanics: How Do Planes Fly?,https://www.futurelearn.com/courses/flight-mechanics,futurelearn.com,Aerospace engineer,free,Engineering _ Technology
Understanding and Applying Structural Dynamics: Dynamics & Aerospace Structures,https://www.futurelearn.com/courses/understanding-applying-dynamics,futurelearn.com,Aerospace engineer,free,Engineering _ Technology
,,,Aerospace engineer,,Engineering _ Technology
Basic Hydrology,https://www.udemy.com/course/basic-hydrology/,www.udemy.com,Civil Engineer,free,Engineering _ Technology
Perform better geotechnical numerical analysis,https://www.udemy.com/course/coganproject/,www.udemy.com,Civil Engineer,free,Engineering _ Technology
Culvert Design using HY-8,https://www.udemy.com/course/culvert-design-using-hy-8/,www.udemy.com,Civil Engineer,free,Engineering _ Technology
CSi SAP2000: Structural Analysis Program for Engineers,https://www.udemy.com/course/sap2000-basics-for-beginners-structural-analysis-program/,www.udemy.com,Civil Engineer,free,Engineering _ Technology
Stream Crossing Design (NY NRCS Standard 578),https://www.udemy.com/course/stream-crossings/,www.udemy.com,Civil Engineer,free,Engineering _ Technology
Introduction to Seismic Rehabilitation of Buildings,https://www.udemy.com/course/introduction-to-seismic-rehabilitation-of-buildings/,www.udemy.com,Roof ,free,Engineering _ Technology
Reinforced Concrete IV: Design of Columns,https://www.udemy.com/course/reinforced-concrete-iv-design-of-columns/,udemy.com,Engineering Geology,free,Engineering _ Technology
Civil Engineering Practical Knowledge,https://www.udemy.com/course/civil-engineering-interview-questions/,udemy.com,Engineering Geology,free,Engineering _ Technology
Construction Quality Management,https://www.futurelearn.com/courses/construction-quality,futurelearn.com,Engineering Geology,free,Engineering _ Technology
An Introduction to Building Information Modelling,https://www.futurelearn.com/courses/building-information-modelling,futurelearn.com,Engineering Geology,free,Engineering _ Technology
The Importance of Project Management in the Global Construction Industry,https://www.futurelearn.com/courses/importance-of-project-management-in-global-construction,futurelearn.com,Engineering Geology,free,Engineering _ Technology
Modern Building Design,https://www.futurelearn.com/courses/modern-building-design,futurelearn.com,Engineering Geology,free,Engineering _ Technology
The Art of Structural Engineering: Bridges,https://www.edx.org/course/the-art-of-structural-engineering-bridges,edx.org,Engineering Geology,free,Engineering _ Technology
Future Cities,https://www.edx.org/course/future-cities,edx.org,Engineering Geology,free,Engineering _ Technology
