courses,link,origin_site,profession,subscription,scope
,https://www.futurelearn.com/courses/start-writing-fiction,https://www.futurelearn.com,Writer/Author,,English literature
,https://www.futurelearn.com/courses/walter-scott,https://www.futurelearn.com,Writer/Author,,English literature
,https://www.edx.org/course/poetry-in-america-whitman-2,https://www.edx.org,Writer/Author,,English literature
,https://www.youtube.com/watch?v=--qXJuDtHPw,https://www.youtube.com,Writer/Author,,English literature
,https://www.youtube.com/watch?v=bP_SmnCQA_Y,https://www.youtube.com,Editor,,English literature
,https://www.youtube.com/watch?v=vOY_CTmv9m0,https://www.youtube.com,Editor,,English literature
,https://www.youtube.com/watch?v=sWeMjVkhhQE,https://www.youtube.com,Editor,,English literature
,https://www.youtube.com/watch?v=3CfhwWFxRGw,https://www.youtube.com,Editor,,English literature
,https://www.youtube.com/watch?v=SrriVbFPifs,https://www.youtube.com,Editor,,English literature
,https://www.futurelearn.com/courses/research-writing,https://www.futurelearn.com,Literary critic,,English literature
,https://www.youtube.com/watch?v=f31V4XiPBdI,https://www.youtube.com,Literary critic,,English literature
,https://www.youtube.com/watch?v=aFdpN4X43O8,https://www.youtube.com,Literary critic,,English literature
,https://www.youtube.com/watch?v=Xr17iHXFn-8,https://www.youtube.com,Literary critic,,English literature
,,,Literary critic,,English literature
,https://www.youtube.com/watch?v=r1V28jooZY4,https://www.youtube.com,Librarian,,English literature
,https://www.youtube.com/watch?v=pBHD-pLGMzA,https://www.youtube.com,Librarian,,English literature
,https://www.youtube.com/watch?v=EgrXihCCwIM,https://www.youtube.com,Librarian,,English literature
,https://www.youtube.com/watch?v=NkJ03umQx9g,https://www.youtube.com,Librarian,,English literature
,,,Librarian,,English literature
,,,Librarian,,English literature
,https://www.youtube.com/watch?v=37FuseokN3o,https://www.youtube.com,Journalist,,English literature
,https://www.coursera.org/learn/what-is-news?specialization=become-a-journalist,https://www.coursera.org,Journalist,,English literature
,https://www.coursera.org/learn/deliver-the-news?specialization=become-a-journalist,https://www.coursera.org,Journalist,,English literature
,https://www.coursera.org/learn/international-journalism?specialization=become-a-journalist,https://www.coursera.org,Journalist,,English literature
,https://www.edx.org/course/activism-and-citizen-journalism-through-media,https://www.edx.org,Journalist,,English literature
,https://www.youtube.com/watch?v=8jPhymIkmd8,https://www.youtube.com,Journalist,,English literature
,https://www.futurelearn.com/courses/exploring-copyright,https://www.futurelearn.com,Copywriter,,English literature
,https://www.coursera.org/learn/copyright-for-education,https://www.coursera.org,Copywriter,,English literature
,https://www.youtube.com/watch?v=6Y80NKJNBH8,https://www.youtube.com,Copywriter,,English literature
,https://www.youtube.com/watch?v=UfCgUv8-HlI,https://www.youtube.com,Copywriter,,English literature
,https://www.youtube.com/watch?v=69QEzGKPGN8,https://www.youtube.com,Copywriter,,English literature
,,,Copywriter,,English literature
,,,Copywriter,,English literature
,https://www.youtube.com/watch?v=ygdjzYU8BLo,https://www.youtube.com,Literary translator,,English literature
,https://www.youtube.com/watch?v=P0mySDFojZY,https://www.youtube.com,Literary translator,,English literature
,https://www.youtube.com/watch?v=BCvQw3gKJOU,https://www.youtube.com,Literary translator,,English literature
,https://www.youtube.com/watch?v=MTzO0whZ4Mg,https://www.youtube.com,Literary translator,,English literature
,https://www.youtube.com/watch?v=-OdcyZ7-LUI,https://www.youtube.com,Literary translator,,English literature
,https://www.youtube.com/watch?v=F1fwD6jJy3s,https://www.youtube.com,Language and literature teacher,,English literature
,https://www.youtube.com/watch?v=54_fKG5GPFw,https://www.youtube.com,Language and literature teacher,,English literature
,https://www.youtube.com/watch?v=rPVSEM9IM34,https://www.youtube.com,Language and literature teacher,,English literature
,https://www.youtube.com/watch?v=g6ORkolwYME,https://www.youtube.com,Language and literature teacher,,English literature
,https://www.youtube.com/watch?v=vkzdxPCVQCg,https://www.youtube.com,Language and literature teacher,,English literature
,https://www.youtube.com/watch?v=StwHtD-8T0Q,https://www.youtube.com,Language and literature teacher,,English literature
Writing The West: Literature & Place,https://www.udemy.com/course/writing-the-west/,www.udemy.com,Russia,,English literature
Understanding Diaspora...,https://www.udemy.com/course/understanding-diaspora/,www.udemy.com,Russia,,English literature
Ignite Your Passion for Reading: Fall in Love with Books,https://www.udemy.com/course/books/,www.udemy.com,Russia,,English literature
Modern Masterpieces of World Literature,https://www.edx.org/course/modern-masterpieces-of-world-literature,edx.org,Russia,,English literature
Masterpieces of World Literature,https://www.edx.org/course/masterpieces-of-world-literature,edx.org,Russia,,English literature
The Divine Comedy: Dante's Journey to Freedom,https://www.edx.org/course/the-divine-comedy-dantes-journey-to-freedom,edx.org,Russia,,English literature
The History of the Book in the Early Modern Period: 1450 to 1800,https://www.futurelearn.com/courses/history-of-the-book,futurelearn.com,Shakespeare,,English literature
Literature of the English Country House,https://www.futurelearn.com/courses/country-house-literature,futurelearn.com,Jane Austen,,English literature
How to Read a Novel,https://www.futurelearn.com/courses/how-to-read-a-novel,futurelearn.com,Jane Austen,,English literature
Understanding English Dictionaries,https://www.futurelearn.com/courses/understanding-dictionaries,futurelearn.com,Jane Austen,,English literature
"Robert Burns: Poems, Songs and Legacy",https://www.futurelearn.com/courses/robert-burns,futurelearn.com,Jane Austen,,English literature
