courses,link,origin_site,profession,subscription,scope
Ecology: from cells to Gaia,https://www.coursera.org/learn/ecology,coursera.org,,free,Environmental Studies
,,,,,Environmental Studies
Global Water Use and Climate Change,https://www.edx.org/course/global-water-use-and-climate-change,edx.org,Conservation Scientist ,free,Environmental Studies
Climate Change Science and Negotiations,https://www.edx.org/course/climate-change-science-and-negotiations,edx.org,Conservation Scientist ,free,Environmental Studies
Making Sense of Climate Science Denial,https://www.edx.org/course/making-sense-of-climate-science-denial,edx.org,Conservation Scientist ,free,Environmental Studies
Climate Action: Solutions for a Changing Planet,https://www.edx.org/course/climate-action-solutions-for-a-changing-planet,edx.org,Conservation Scientist ,free,Environmental Studies
Climate Change: Financial Risks and Opportunities,https://www.edx.org/course/climate-change-financial-risks-and-opportunities,edx.org,Conservation Scientist ,free,Environmental Studies
Climate Change Education,https://www.edx.org/course/climate-change-education,edx.org,Conservation Scientist ,free,Environmental Studies
Climate Change: Carbon Capture and Storage,https://www.edx.org/course/climate-change-carbon-capture-and-storage,edx.org,Conservation Scientist ,free,Environmental Studies
Climate Change: The Science,https://www.edx.org/course/climate-change-the-science-2,edx.org,Conservation Scientist ,free,Environmental Studies
The Health Effects of Climate Change,https://www.edx.org/course/the-health-effects-of-climate-change,edx.org,Conservation Scientist ,free,Environmental Studies
Global Warming Science,https://www.edx.org/course/global-warming-science,edx.org,Conservation Scientist ,free,Environmental Studies
Climate Change: The Science and Global Impact,https://www.edx.org/course/climate-change-the-science-and-global-impact,edx.org,Conservation Scientist ,free,Environmental Studies
Essential Tools For The Low Carbon Economy,https://www.edx.org/course/essential-tools-for-the-low-carbon-economy,edx.org,Conservation Scientist ,free,Environmental Studies
Climate Action in Biodiverse Landscapes,https://www.edx.org/course/climate-action-in-biodiverse-landscapes,edx.org,Conservation Scientist ,free,Environmental Studies
The Climate-Energy Challenge,https://www.edx.org/course/the-climate-energy-challenge,edx.org,Conservation Scientist ,free,Environmental Studies
Modeling Climate Change,https://www.edx.org/course/modeling-climate-change,edx.org,Conservation Scientist ,free,Environmental Studies
Go Green Fundamentals,https://www.udemy.com/course/gogreenfundamentals/,www.udemy.com,Conservation Scientist ,,Environmental Studies
Climate Change and Green Infrastructure,https://www.udemy.com/course/climate-change-and-green-infrastructure/,www.udemy.com,Conservation Scientist ,,Environmental Studies
Causes of Climate Change,https://www.futurelearn.com/courses/causes-of-climate-change,futurelearn.com,Conservation Scientist ,,Environmental Studies
Tipping Points: Climate Change and Society,https://www.futurelearn.com/courses/tipping-points-climate-change-and-society,futurelearn.com,Conservation Scientist ,,Environmental Studies
Climate Change: Solutions,https://www.futurelearn.com/courses/climate-change-the-solutions,futurelearn.com,Conservation Scientist ,,Environmental Studies
Climate Change: The Science,https://www.futurelearn.com/courses/climate-change-the-science,futurelearn.com,Conservation Scientist ,,Environmental Studies
Invisible Worlds: Understanding the Natural Environment,https://www.futurelearn.com/courses/invisible-worlds,futurelearn.com,Conservation Scientist ,,Environmental Studies
Climate Change and Health: From Science to Action,https://www.coursera.org/specializations/climate-change-and-health,coursera.org,Conservation Scientist ,,Environmental Studies
"Act on Climate: Steps to Individual, Community, and Political Action",https://www.coursera.org/learn/act-on-climate,coursera.org,Conservation Scientist ,,Environmental Studies
Climate Change and Water in Mountains: A Global Concern,https://www.coursera.org/learn/climate-changes-mountains-water,coursera.org,Conservation Scientist ,,Environmental Studies
Planning for Climate Change in African Cities,https://www.coursera.org/learn/climate-change-africa,coursera.org,Conservation Scientist ,,Environmental Studies
Introduction to the Arctic: Climate,https://www.coursera.org/learn/arctic-introduction-climate,coursera.org,Conservation Scientist ,,Environmental Studies
Climate Adaptation in Africa,https://www.coursera.org/learn/climate-adaptation,coursera.org,Conservation Scientist ,,Environmental Studies
Climate Change Mitigation in Developing Countries,https://www.coursera.org/learn/climate-change-mitigation,coursera.org,Conservation Scientist ,,Environmental Studies
Global Warming I: The Science and Modeling of Climate Change,https://www.coursera.org/learn/global-warming,coursera.org,Conservation Scientist ,,Environmental Studies
,,,Conservation Scientist ,,Environmental Studies
Introduction to Environmental Science,https://www.edx.org/course/introduction-to-environmental-science-2,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
Environmental Studies: A Global Perspective,https://www.edx.org/course/environmental-studies-a-global-perspective,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
Environmental Protection and Sustainability,https://www.edx.org/course/environmental-protection-and-sustainability,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
Landscape Ecology,https://www.edx.org/course/landscape-ecology,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
Nitrogen: A Global Challenge,https://www.edx.org/course/nitrogen-a-global-challenge,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
Environmental Security and Sustaining Peace,https://www.edx.org/course/environmental-security-and-sustaining-peace,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",https://www.edx.org/course/feeding-a-hungry-planet-agriculture-nutrition-and,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
AP® Environmental Science - Part 1: The Living World,https://www.edx.org/course/ap-environmental-science-part-1-the-living-world,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
AP® Environmental Science - Part 2: Populations,https://www.edx.org/course/ap-environmental-science-part-2-populations,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
AP® Environmental Science - Part 3: Pollution and Resources,https://www.edx.org/course/ap-environmental-science-part-3-pollution-and-reso,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
AP® Environmental Science - Part 4: Exam Review,https://www.edx.org/course/ap-environmental-science-part-4-exam-review,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
Conservation & Protected Areas Management in Africa,https://www.edx.org/course/conservation-protected-areas-management-in-africa,edx.org,"Environmental Scientist/Environmental
Analyst/Environmental
Consultant/Environmental
 Planner/Environmental Biologist",free,Environmental Studies
