courses,link,origin_site,profession,subscription,scope
Fashion as Design,https://www.coursera.org/learn/fashion-design#syllabus,coursera.org,Fashion Designers,,Fashion
Sustainable Fashion,https://www.coursera.org/learn/sustainable-fashion#syllabus,coursera.org,Fashion Designers,,Fashion
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",https://www.edx.org/course/circular-fashion-in-a-sustainable-clothingindustry,edx.org,Fashion Designers,,Fashion
Management of Fashion and Luxury Companies,https://www.coursera.org/learn/mafash,coursera.org,Fashion Designers,,Fashion
The First Steps of Fashion Design: From Concept to Illustration ,https://www.skillshare.com/classes/The-First-Steps-of-Fashion-Design-From-Concept-to-Illustration/1101394042?via=browse-rating-fashion-design-layout-grid,skillshare.com,Fashion Designers,,Fashion
Designing Repeat Patterns: From Icons to Apparel and Beyond ,https://www.skillshare.com/classes/Designing-Repeat-Patterns-From-Icons-to-Apparel-and-Beyond/357137191?via=search-layout-grid,skillshare.com,Fashion Designers,,Fashion
How to Become a Fashion Designer,https://www.youtube.com/watch?v=EN6jtHIqeTg,youtube.com,Fashion Designers,,Fashion
"How to Become a Fashion Designer with Alexa Chung | S1, E2 | Future of Fashion | British Vogue",https://www.youtube.com/watch?v=feOScd2HdiU,youtube.com,Fashion Designers,,Fashion
1950s and Pierre Cardin,https://www.kadenze.com/courses/cardin-to-castelbajac-style-in-french-fashion/sessions/1950s-and-pierre-cardin,kadenze.com,Stylist,,Fashion
1970s and Kenzo (Takada),https://www.kadenze.com/courses/cardin-to-castelbajac-style-in-french-fashion/sessions/1970s-and-kenzo-takada,kadenze.com,Stylist,,Fashion
1960s and Yves Saint Laurent,https://www.kadenze.com/courses/cardin-to-castelbajac-style-in-french-fashion/sessions/1960s-and-yves-saint-laurent,kadenze.com,Stylist,,Fashion
FASHION AND SUSTAINABILITY LONDON COLLEGE OF FASHION,https://www.futurelearn.com/courses/fashion-and-sustainability/6/todo/64595,futurelearn.com,Stylist,,Fashion
"How to Become A Wardrobe Stylist, Interning & My Story",https://www.youtube.com/watch?v=uQaCv38e89w,youtube.com,Stylist,,Fashion
HOW TO BECOME A FASHION STYLIST: 5 STEPS TO START YOUR CAREER TODAY!,https://www.youtube.com/watch?v=1jyEiD0dGi8,youtube.com,Stylist,,Fashion
Stylist Anita Patrickson Reveals the Secret Sauce Behind Dressing Celebrities,https://www.youtube.com/watch?v=1lyd3oN4HL8,youtube.com,Stylist,,Fashion
Analyse Garment Construction,https://www.udemy.com/course/analyse-garment-construction-z/,udemy.com,Garment Technologist,,Fashion
marvelous designer 6.5 basic,https://www.udemy.com/course/marvelousdesigner-65-basic/,udemy.com,Garment Technologist,,Fashion
Marvelous Designer 7.5 Upgrade,https://www.udemy.com/course/marvelous-designer-7_5-upgrade/,udemy.com,Garment Technologist,,Fashion
Designing and Creating Skirts,https://www.edx.org/course/designing-and-creating-skirts,edx.org,Garment Technologist,,Fashion
Designing and Creating Trousers,https://www.edx.org/course/designing-and-creating-trousers,edx.org,Garment Technologist,,Fashion
Garments Technical Chart | Illustrator Tech Pack Design |Garments Measurement Sheet | T-Shirt Design,https://www.youtube.com/watch?v=rgQrC6B1arY,youtube.com,Garment Technologist,,Fashion
"Fashion Buyer and What is a Trend Forecaster | S1, E4 | Future of Fashion | British Vogue",https://www.youtube.com/watch?v=CQcOmHphL-4,youtube.com,Fashion Buyer,,Fashion
How to Become a Buyer for a Clothing Company,https://study.com/articles/How_to_Become_a_Buyer_for_a_Clothing_Company.html,study.com,Fashion Buyer,,Fashion
Fashion Buying and Brand Management,https://www.ravensbourne.ac.uk/study-here/undergraduate/design-school/department-of-fashion/ba-hons-fashion-buying-and-brand-management/,ravensbourne.ac.uk,Fashion Buyer,,Fashion
,,,Fashion Buyer,,Fashion
Fashion Illustration: Digital Drawing with Attitude,https://www.skillshare.com/classes/Fashion-Illustration-Digital-Drawing-with-Attitude/1440060062?via=browse-trending-fashion-illustration-layout-grid,skillshare.com,Illustrator,,Fashion
Creating a Striking Fashion Illustration,https://www.skillshare.com/classes/Creating-a-Striking-Fashion-Illustration/1406382292?via=browse-trending-fashion-illustration-layout-grid,skillshare.com,Illustrator,,Fashion
Transparency in Adobe Illustrator,https://www.skillshare.com/classes/Transparency-in-Adobe-Illustrator/1360543552?via=browse-trending-fashion-illustration-layout-grid,skillshare.com,Illustrator,,Fashion
Fashion Illustration - Editorial Swimwear,https://www.skillshare.com/classes/Fashion-Illustration-Editorial-Swimwear/2076488026?via=browse-trending-fashion-illustration-layout-grid,skillshare.com,Illustrator,,Fashion
Sketch Footwear Design,https://www.udemy.com/course/sketch-footwear-design/,udemy.com,Illustrator,,Fashion
Basic Fashion Flat Drawing on Adobe Illustrator for Fashion Designers,https://www.youtube.com/watch?v=X3fZwMFbXpw,youtube.com,Illustrator,,Fashion
ADVANCE FASHION FLAT ON ILLUSTRATOR,https://www.youtube.com/watch?v=RXobG6TA-Os,youtube.com,Illustrator,,Fashion
,,,Illustrator,,Fashion
How to get into Fashion Journalism with Alexa Chung | Future of Fashion | British Vogue,https://www.youtube.com/watch?v=ohKzpZLj6yM,youtube.com,Fashion Writer,,Fashion
Vlogging a Busy Week + How To Get a Job at Vogue! | NYC Vlog,https://www.youtube.com/watch?v=OmG5PNm-oH8,youtube.com,Fashion Writer,,Fashion
How To Become A Fashion Writer w/Dhani Mau,https://www.youtube.com/watch?v=73DTmyPdZo8,youtube.com,Fashion Writer,,Fashion
HOW TO BECOME A FASHION JOURNALIST | TIPS & TRICKS,https://www.youtube.com/watch?v=ba5U9rjlb4U,youtube.com,Fashion Writer,,Fashion
,,,Fashion Writer,,Fashion
Introductory Photography Course,https://www.udemy.com/course/free-photography-course-for-beginners/,udemy.com,Commercial Photographer,,Fashion
Natural Light Fashion / Beauty Photography,https://www.udemy.com/course/natural-light-fashion-beauty-photography/,udemy.com,Commercial Photographer,,Fashion
Creating Black & White Photos in Lightroom,https://www.udemy.com/course/creating-black-white-photos-in-lightroom/,udemy.com,Commercial Photographer,,Fashion
Photography: Ditch Auto - Start Shooting in Manual,https://www.udemy.com/course/ditch-auto-start-shooting-in-manual/,udemy.com,Commercial Photographer,,Fashion
Photography for beginners and professionals: from smartphones to SLR cameras,https://www.coursera.org/specializations/photography-basics,coursera.org,Commercial Photographer,,Fashion
Seeing Through Photographs,https://www.coursera.org/learn/photography,coursera.org,Commercial Photographer,,Fashion
"Cameras, Exposure, and Photography",https://www.coursera.org/learn/exposure-photography,coursera.org,Commercial Photographer,,Fashion
"Photography Techniques: Light, Content, and Sharing",https://www.coursera.org/learn/photography-techniques,coursera.org,Commercial Photographer,,Fashion
Basics of Digital Video and Image Processing,https://www.coursera.org/learn/digital,coursera.org,Commercial Photographer,,Fashion
Free Fashion Photography Tutorial with Post Production,https://www.youtube.com/watch?v=kawGx1_1RsI,youtube.com,Commercial Photographer,,Fashion
,,,Commercial Photographer,,Fashion
"Jewelry Making, Embroidered Brooch, Christmas DIY Gift",https://www.udemy.com/course/jewelry-making-embroidered-brooch-christmas-diy-gift/,udemy.com,Jewelry Designer,,Fashion
How to Dropship Luxury Designer Handbags & Make Big Profits,https://www.udemy.com/course/how-to-dropship-luxury-designer-handbags-make-big-profits/,udemy.com,Jewelry Designer,,Fashion
Make Your Own Jewelry: How To Make A Wirework Necklace,https://www.skillshare.com/classes/Make-Your-Own-Jewelry-How-To-Make-A-Wirework-Necklace/1193520585?via=browse-trending-jewelry-making-layout-grid,skillshare.com,Jewelry Designer,,Fashion
Leather Craft: Recycle Your Rubbish and Turn It into a Luxury Bracelet,https://www.skillshare.com/classes/Leather-Craft-Recycle-Your-Rubbish-and-Turn-It-into-a-Luxury-Bracelet/1772186374?via=browse-trending-jewelry-making-layout-grid,skillshare.com,Jewelry Designer,,Fashion
Making A Yellow Diamond Engagement Ring with Bobby White,https://www.youtube.com/watch?v=0HFIilnlms8,youtube.com,Jewelry Designer,,Fashion
DIY Crafts TV: Youtube channel about bag design,https://www.youtube.com/channel/UCv7tyVGWpJMiPIQXBHQ308Q/videos,youtube.com,Bag Designer,,Fashion
"Сraftsmangus: Channel about bag making and design
",https://www.youtube.com/user/craftsmangus/videos,youtube.com,Bag Designer,,Fashion
ChrisW Designs: Youtube channel about bag design ,https://www.youtube.com/channel/UCj4xEbluFFh_j-1ON1kORFA,youtube.com,Bag Designer,,Fashion
"Fashion as Design
",https://www.coursera.org/learn/fashion-design#syllabus,coursera.org,Bag Designer,,Fashion
,,,Bag Designer,,Fashion
Sketch Footwear Design,https://www.udemy.com/course/sketch-footwear-design/,udemy.com,Shoes Designer,,Fashion
Identify Footwear Component and Construction,https://www.udemy.com/course/fw-component-and-construction/,udemy.com,Shoes Designer,,Fashion
Identify And Analyse Leather And Materials For Footwear,https://www.udemy.com/course/identify-and-analyse-leather-and-materials/,udemy.com,Shoes Designer,,Fashion
Seth Fowler :  Industrial Designer and Sneaker Enthusiast,https://www.youtube.com/channel/UCgtHJiyE6ZwaJO65tdudDfw/featured,youtube.com,Shoes Designer,,Fashion
,,,Shoes Designer,,Fashion
Online Fashion Marketing by Fashionablyin,https://www.udemy.com/course/onlinefashionmarketing/,udemy.com,Fashion PR specialist/Fashion Marketing specialist/Fashion Management,,Fashion
Management of Fashion and Luxury Companies,https://www.coursera.org/learn/mafash,coursera.org,Fashion PR specialist/Fashion Marketing specialist/Fashion Management,,Fashion
Sustainable Fashion,https://www.coursera.org/learn/sustainable-fashion#syllabus,coursera.org,Fashion PR specialist/Fashion Marketing specialist/Fashion Management,,Fashion
Public Library Marketing and Public Relations,https://www.edx.org/course/public-library-marketing-and-public-relations,edx.org,Fashion PR specialist/Fashion Marketing specialist/Fashion Management,,Fashion
Introduction to Personal Branding,https://www.coursera.org/learn/personal-branding,coursera.org,Fashion PR specialist/Fashion Marketing specialist/Fashion Management,,Fashion
"Integrated Marketing Communications: Advertising, Public Relations, Digital Marketing and more",https://www.coursera.org/learn/integrated-marketing-communications,coursera.org,Fashion PR specialist/Fashion Marketing specialist/Fashion Management,,Fashion
"Alexa Chung: How PR Works & Normcore | S2, E2 | Future of Fashion | British Vogue",https://www.youtube.com/watch?v=xtaaPlgt-QI,youtube.com,Fashion PR specialist/Fashion Marketing specialist/Fashion Management,,Fashion
"Public Relations Week in my Life Vlog | TV Shoot, Fashion Show, Events",https://www.youtube.com/watch?v=WcycnC6FnHA,youtube.com,Fashion PR specialist/Fashion Marketing specialist/Fashion Management,,Fashion
,,,Fashion PR specialist/Fashion Marketing specialist/Fashion Management,,Fashion
