courses,link,origin_site,profession,subscription,scope
Finance Fundamentals: Financial Services after the Banking Crisis,https://www.futurelearn.com/courses/financial-services-after-the-banking-crisis,futurelearn.com,Financial Planner/manager,free,Finance
Finance Fundamentals: Financial Planning and Budgeting,https://www.futurelearn.com/courses/personal-financial-planning-and-budgeting,futurelearn.com,Financial Planner/manager,free,Finance
Finance Fundamentals: Managing the Household Balance Sheet,https://www.futurelearn.com/courses/managing-the-household-balance-sheet,futurelearn.com,Financial Planner/manager,free,Finance
Build Your Own Financial Planning Spreadsheet,https://www.udemy.com/course/build-your-own-financial-planning-spreadsheet/,www.udemy.com,Financial Planner/manager,free,Finance
Financial Planning For Long-Term Care,https://www.udemy.com/course/financial-planning-for-long-term-care/,www.udemy.com,Financial Planner/manager,free,Finance
Financial Management for Beginner,https://www.udemy.com/course/financial-management-for-beginner/,www.udemy.com,Financial Planner/manager,free,Finance
Foundations of Modern Finance I,https://www.edx.org/course/foundations-of-modern-finance-i,edx.org,Financial Planner/manager,free / start 30.09.2020,Finance
Foundations of Modern Finance II,https://www.edx.org/course/foundations-of-modern-finance-ii,edx.org,Financial Planner/manager,free,Finance
Assessing Your Financial Fitness,https://www.udemy.com/course/assessing-your-financial-fitness/,www.udemy.com,Financial Planner/manager,free,Finance
Introduction to Financial Modeling,https://www.udemy.com/course/financial-modeling-asimplemodel/,www.udemy.com,Financial Planner/manager,free,Finance
Managing Your Personal Finances,https://www.udemy.com/course/managing-your-personal-finances/,www.udemy.com,Financial Planner/manager,free,Finance
The Hidden Truth behind Financial Advice,https://www.udemy.com/course/the-hidden-truth-behind-financial-advice/,www.udemy.com,Financial Planner/manager,free,Finance
Understanding Modern Finance Specialization,https://www.coursera.org/specializations/understanding-modern-finance,Coursera.org,Financial Planner/manager,free,Finance
Financial Independence Mastery Course,https://www.udemy.com/course/financial-independence-mastery-course/,www.udemy.com,Financial Planner/manager,free,Finance
Blockchain Revolution in Financial Services Specialization,https://www.coursera.org/specializations/blockchain-financial-services,Coursera.org,Blockchain expert,free,Finance
Introduction to Blockchain for Financial Services,https://www.coursera.org/learn/intro-blockchain-financial-services,Coursera.org,Blockchain expert,free,Finance
,,,Blockchain expert,,Finance
Wall street 101- Understanding Financial Services,https://www.udemy.com/course/wall-street-101-the-financial-services-landscape/,www.udemy.com,Financial Analyst/Financial service consultant/Financial service representative,free,Finance
Social Media for Financial Services,https://www.udemy.com/course/financial-services/,www.udemy.com,Financial Analyst/Financial service consultant/Financial service representative,free,Finance
FinTech and the Transformation in Financial Services,https://www.coursera.org/learn/fintech-transformation-financial-services,Coursera.org,Financial Analyst/Financial service consultant/Financial service representative,free,Finance
,,,Financial Analyst/Financial service consultant/Financial service representative,,Finance
Introduction to Financial Accounting,https://www.futurelearn.com/courses/introduction-to-financial-accounting-organizations-decisions-through-numbers,futurelearn.com,Financial Accounter,free,Finance
Financial Accounting,https://www.edx.org/course/finance-accounting,edx.org,Financial Accounter,free,Finance
Basic Accounting Skills for Business Owners,https://www.udemy.com/course/accounting-for-business-owners/,www.udemy.com,Financial Accounter,free,Finance
Financial Independence Mastery Course,https://www.udemy.com/course/financial-independence-mastery-course/,www.udemy.com,Financial Accounter,free,Finance
,,,Financial Accounter,,Finance
,,,Financial Accounter,,Finance
