courses,link,origin_site,profession,subscription,scope
Introduction to Hospitality and Tourism Industry,https://www.edx.org/course/introduction-to-hospitality-and-tourism-industry,edx.org,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Advanced Diploma in Tourism and Hospitality Management,https://alison.com/course/advanced-diploma-in-tourism-and-hospitality-management,alison.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Hospitality and Tourism Technology and Innovation,https://www.edx.org/course/hospitality-and-tourism-technology-and-innovatio-2,edx.org,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Hospitality & Tourism Management Training,https://study.com/academy/course/hospitality-tourism-management.html,Study.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Managing Human Resources in the Hospitality and Tourism Industry,https://www.edx.org/course/managing-human-resources-in-the-hospitality-and-2,edx.org,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Intro to Hotel Financial Statements - Free Version,https://www.udemy.com/course/hotel-financial-statement-fundamentals-free-version/,udemy.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
How your hotel can rank higher on TripAdvisor in 90 Days,https://www.udemy.com/course/how-your-hotel-can-rank-higher-on-tripadvisor-in-90-days/,udemy.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
The fundamentals of hotel distribution,https://www.coursera.org/learn/hotel-distribution,Coursera.org,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Hotel Management Course (Short Course),https://www.bolc.co.uk/free-hotel-management-courses.html,bolc.co.uk,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Diploma in Hospitality Management - Revised 2017,https://alison.com/course/diploma-in-hospitality-management---1259,alison.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Hotel Management (Short Course),https://www.oxfordhomestudy.com/courses/hospitality-management-courses-online/free-hospitality-courses,oxfordhomestudy.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Hospitality Management Studies - Hotel Operations - Revised,https://alison.com/course/hospitality-management-studies-hotel-operations-revised,alison.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Introduction to Hospitality Management Studies - Revised,https://alison.com/course/introduction-to-hospitality-management-studies-revised,alison.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Introduction to Hospitality Management Studies - Revised,https://alison.com/course/introduction-to-hospitality-management-studies-revised,alison.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Hospitality Management Studies - Hotel Operations - Revised,https://alison.com/course/hospitality-management-studies-hotel-operations-revised,alison.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
ElektraWeb Hotel Management System,https://www.udemy.com/course/elektraweb-en/,udemy.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Luxury Management,https://www.edx.org/course/luxury-management-2,edx.org,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Introduction to the Travel & Tourism Industry: Passport to the World,https://www.futurelearn.com/courses/passport,Futurelearn.com,Hospitality & Tourism Manager,free,Hospitality _ Tourism_
Managing Marketing in the Hospitality and Tourism Industry,https://www.edx.org/course/managing-marketing-in-the-hospitality-and-touris-2,edx.org,Hospitality & Tourism Marketing Manager,free,Hospitality _ Tourism_
Hospitality Inbound Marketing Fundamentals and practices,https://www.udemy.com/course/hospitality-inbound-marketing-fundamentals/,udemy.com,Hospitality & Tourism Marketing Manager,free,Hospitality _ Tourism_
International Hospitality & Healthcare Services Marketing,https://www.coursera.org/learn/healthcare-marketing-hospitality-management,Coursera.org,Hospitality & Tourism Marketing Manager,free,Hospitality _ Tourism_
ODOO Restaurant Management,https://www.udemy.com/course/odoo-restaurant-management/,udemy.com,Restautant Manager,free,Hospitality _ Tourism_
Hospitality Management Studies - Food and Beverage Services - Revised,https://alison.com/course/hospitality-management-studies-food-and-beverage-services-revised,alison.com,Restautant Manager,free,Hospitality _ Tourism_
Hospitality Management - Health and Safety in Food Service - Revised,https://alison.com/course/hospitality-management-health-and-safety-in-food-service-revised,alison.com,Restautant Manager,free,Hospitality _ Tourism_
Hospitality Management - How to Analyse and Maximize Your Restaurant's Profitability,https://alison.com/course/hospitality-management-how-to-analyse-and-maximize-your-restaurant-s-profitability,alison.com,Restautant Manager,free,Hospitality _ Tourism_
Vocabulary And Useful Expression In Restaurant,https://www.udemy.com/course/eating-out/,udemy.com,Restautant Manager,free,Hospitality _ Tourism_
Food Safety Training - Safe Practices and Procedures - Revised,https://alison.com/course/food-safety-training-safe-practices-and-procedures-revised,alison.com,Restautant Manager,free,Hospitality _ Tourism_
Food Safety Knowledge - Basic Level Requirements - Revised,https://alison.com/course/food-safety-knowledge-basic-level-requirements-revised,alison.com,Restautant Manager,free,Hospitality _ Tourism_
Diploma in Food Safety - Revised 2017,https://alison.com/course/diploma-in-food-safety-revised-2017,alison.com,Restautant Manager,free,Hospitality _ Tourism_
Food & Beverage Management,https://www.coursera.org/learn/food-beverage-management,Coursera.org,Food & Beverage Manager,free,Hospitality _ Tourism_
Instagram Food Blogger Mastery,https://www.udemy.com/course/instagram-food-blogger-mastery/,udemy.com,Food & Beverage Manager,free,Hospitality _ Tourism_
Wine Tasting: Sensory Techniques for Wine Analysis,https://www.coursera.org/learn/wine,Coursera.org,Food & Beverage Manager,free,Hospitality _ Tourism_
Culture of Services: Paradox of Customer Relations,https://www.edx.org/course/culture-of-services-paradox-of-customer-relations,edx.org,Customer Relations Manager,free,Hospitality _ Tourism_
Culture of Services: New Perspective on Customer Relations,https://www.edx.org/course/culture-of-services-new-perspective-on-customer-re,edx.org,Customer Relations Manager,free,Hospitality _ Tourism_
