courses,link,origin_site,profession,subscription,scope
,,,,,Humanities
"The Modern World, Part One: Global History from 1760 to 1910",https://www.coursera.org/learn/modern-world?action=enroll,coursera.org,Historian,free,Humanities
"The Modern World, Part Two: Global History since 1910",https://www.coursera.org/learn/modern-world-2,coursera.org,Historian,free,Humanities
Big History - From the Big Bang until Today,https://www.coursera.org/learn/bighistory?action=enroll,coursera.org,Greeks,free,Humanities
The Cosmopolitan Medieval Arabic World,https://www.coursera.org/learn/medieval-arabia,coursera.org,Greeks,free,Humanities
"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World",https://www.coursera.org/learn/holocaust-introduction-1,coursera.org,Greeks,free,Humanities
Greek and Roman Mythology,https://www.coursera.org/learn/mythology,coursera.org,Egypt,free,Humanities
Antisemitism: From Its Origins to the Present,https://www.coursera.org/learn/antisemitism,coursera.org,Egypt,free,Humanities
A Brief History of Human Spaceflight,https://www.coursera.org/learn/human-spaceflight,coursera.org,Egypt,free,Humanities
"Internet History, Technology, and Security",https://www.coursera.org/learn/internet-history,coursera.org,Egypt,free,Humanities
Global History Lab,https://www.edx.org/course/global-history-lab,edx.org,Israel,free,Humanities
"Women Making History: Ten Objects, Many Stories",https://www.edx.org/course/women-making-history-ten-objects-many-stories,edx.org,Israel,free,Humanities
Arab-Islamic History: From Tribes to Empires,https://www.edx.org/course/arab-islamic-history-from-tribes-to-empires,edx.org,Israel,free,Humanities
"Contemporary China: The People's Republic, Taiwan, and Hong Kong",https://www.edx.org/course/contemporary-china-the-peoples-republic-taiwan-and,edx.org,Israel,free,Humanities
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",https://www.edx.org/course/us-political-institutions-congress-presidency-cour,edx.org,Israel,free,Humanities
Globalization: Past and Future,https://www.edx.org/course/globalization-past-and-future,edx.org,Israel,free,Humanities
Global History of Capitalism,https://www.edx.org/course/global-history-of-capitalism,edx.org,Israel,free,Humanities
Hernando Cortes and the Aztec Civilization,https://www.udemy.com/course/hernando-cortes/,www.udemy.com,Germany,free,Humanities
Rome: A Virtual Tour of the Ancient City,https://www.futurelearn.com/courses/rome,futurelearn.com,Brazil,free,Humanities
Health and Wellbeing in the Ancient World,https://www.futurelearn.com/courses/ancient-health,futurelearn.com,Brazil,free,Humanities
