courses,link,origin_site,profession,subscription,scope
"The Modern Judiciary: Who They Are, What They Do and Why it Matters",https://www.futurelearn.com/courses/the-modern-judiciary,futurelearn.com,Lawyer,free,Law
Comparative Equality and Anti-Discrimination Law,https://www.edx.org/course/comparative-equality-and-anti-discrimination-law-2,edx.org,Lawyer,free,Law
"Health Law, Policy, and Advocacy",https://www.edx.org/course/health-law-policy-and-advocacy,edx.org,Lawyer,free,Law
Culture and Law: The East Asian Perspective,https://www.edx.org/course/culture-and-law-the-east-asian-perspective,edx.org,Lawyer,free,Law
The Sharia and Islamic Law: An Introduction,https://www.futurelearn.com/courses/an-introduction-to-the-sharia-and-islamic-law,futurelearn.com,Lawyer,free,Law
Media Law,https://www.edx.org/course/media-law,edx.org,Lawyer,free,Law
Citizenship and the Rule of Law,https://www.coursera.org/learn/citizenship-rule-of-law,coursera.org,Lawyer,free,Law
International Humanitarian Law in Theory and Practice,https://www.coursera.org/learn/international-humanitarian-law,coursera.org,Lawyer,free,Law
An Introduction to American Law,https://www.coursera.org/learn/american-law,coursera.org,Lawyer,free,Law
Introduction to English Common Law,https://www.coursera.org/learn/intro-common-law,coursera.org,Lawyer,free,Law
Healthcare Law Specialization,https://www.coursera.org/specializations/healthcare-law,coursera.org,Lawyer,free,Law
Genomics for Law,https://www.coursera.org/learn/genomics-for-law,coursera.org,Lawyer,free,Law
CYBER SECURITY LAW BY DR. PAVAN DUGGAL - CYBERLAW UNIVERSITY,https://www.udemy.com/course/cyber-security-law/,udemy.com,Lawyer,free,Law
Launching a Successful 21st Century Law Practice,https://www.udemy.com/course/launching-a-successful-21st-century-law-practice/,udemy.com,Lawyer,free,Law
Alternative dispute resolution,https://alison.com/courses/introduction-to-alternative-dispute-resolution-revised/content?event=login,alison.com,Lawyer,free,Law
The Psychology of Criminal Justice,https://www.edx.org/course/the-psychology-of-criminal-justice,edx.org,Criminal Lawyer,free,Law
Criminal Justice,https://www.udemy.com/course/criminal-justice/,www.udemy.com,Criminal Lawyer,free,Law
Incarceration: Are prisons a suitable punishment?,https://www.futurelearn.com/courses/incarceration-prisons-suitable-punishment,futurelearn.com,Criminal Lawyer,free,Law
Prison Health: Managing Outbreaks of Tuberculosis in Prisons,https://www.futurelearn.com/courses/tb-in-a-prison-setting,futurelearn.com,Criminal Lawyer,free,Law
Fraud Investigation: Making a Difference,https://www.futurelearn.com/courses/fraud-investigation-making-a-difference,futurelearn.com,Criminal Lawyer,free,Law
,,,Criminal Lawyer,,Law
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,coursera.org,International Lawyer,free,Law
International Law,https://www.edx.org/course/international-law,edx.org,International Lawyer,free,Law
Introduction to International Criminal Law,https://www.coursera.org/learn/international-criminal-law,coursera.org,International Lawyer,free,Law
International Investment Law,https://www.edx.org/course/international-investment-law,edx.org,International Lawyer,free,Law
International Humanitarian Law,https://www.edx.org/course/international-humanitarian-law,edx.org,International Lawyer,free,Law
International Human Rights Law,https://www.edx.org/course/international-human-rights-law,edx.org,International Lawyer,free,Law
International Climate Change Law and Policy,https://www.edx.org/course/international-climate-change-law-and-policy-2,edx.org,International Lawyer,free,Law
Human Rights and International Criminal Law: An Introduction,https://www.futurelearn.com/courses/human-rights-and-international-criminal-law,futurelearn.com,International Lawyer,free,Law
Basic Concepts of International Nuclear Law,https://www.edx.org/course/basic-concepts-of-international-nuclear-law,edx.org,International Lawyer,free,Law
International Humanitarian Law in Theory and Practice,https://www.coursera.org/learn/international-humanitarian-law,coursera.org,International Lawyer,free,Law
International Law In Action: Investigating and Prosecuting International Crimes,https://www.coursera.org/learn/international-law-in-action-2,coursera.org,International Lawyer,free,Law
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,https://www.coursera.org/learn/international-law-in-action-2,coursera.org,International Lawyer,free,Law
,,,International Lawyer,,Law
