courses,link,origin_site,profession,subscription,scope
Career Management for Early Career Academic Researchers ,"https://www.futurelearn.com/courses/career-management
 ",Futurelearn.com,Marketing Research Analyst / Marketing Researcher,,Marketing
Effective Small Business Marketing,https://www.udemy.com/course/how-to-get-10-new-customers-in-the-next-30-days/,udemy.com,Marketing Research Analyst / Marketing Researcher,,Marketing
Stock Market Investing for Beginners,https://www.udemy.com/course/the-beginners-guide-to-the-stock-market/,udemy.com,Marketing Research Analyst / Marketing Researcher,,Marketing
SMstudy® Marketing Research Associate Certification Course,https://www.udemy.com/course/smstudy-marketing-research-associate-certification-course/,udemy.com,Marketing Research Analyst / Marketing Researcher,,Marketing
Amazon FBA - Product Research in 2019 - Advanced Tactics,https://www.udemy.com/course/amazon-fba-beginner-to-advanced-course/,udemy.com,Marketing Research Analyst / Marketing Researcher,,Marketing
Achieving Research Impact,https://www.udemy.com/course/achieving-research-impact/,udemy.com,Marketing Research Analyst / Marketing Researcher,,Marketing
Find the right markets for your innovation - A tool for entrepreneurs and innovators for choosing which markets to play in.,https://www.edx.org/course/find-the-right-markets-for-your-innovation-a-tool,edx.org,Marketing Research Analyst / Marketing Researcher,,Marketing
"
marketing research for beginners, understanding marketing research fundamentals",https://www.youtube.com/watch?v=apm0wH9HU0Y,www.youtube.com,Marketing Research Analyst / Marketing Researcher,,Marketing
How to Do Market Research!,https://www.youtube.com/watch?v=b-hDg7699S0,www.youtube.com,Marketing Research Analyst / Marketing Researcher,,Marketing
EXACTLY how I do market research for new products,https://www.youtube.com/watch?v=S4mLTKvvqdo,www.youtube.com,Marketing Research Analyst / Marketing Researcher,,Marketing
Types of market research,https://www.youtube.com/watch?v=F1Y0CYOIWIQ,www.youtube.com,Marketing Research Analyst / Marketing Researcher,,Marketing
"Introduction to Marketing Research

(акцент препода-)",https://www.youtube.com/watch?v=ABLHV5Ce6TI,www.youtube.com,Marketing Research Analyst / Marketing Researcher,,Marketing
,,,Marketing Research Analyst / Marketing Researcher,,Marketing
Marketing Analytics,https://www.coursera.org/learn/uva-darden-market-analytics?edocomorp=free-courses-college-students&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-ROhHNLL7umOhwmBM6GO.lw&siteID=SAyYsTvLiGQ-ROhHNLL7umOhwmBM6GO.lw&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,Coursera.org,Marketing Analyst,,Marketing
"Google Analytics Course Zero To Hero

","https://www.udemy.com/course/google-analytics-course-beginner-website-business-marketing-report/


",Coursera.org,Marketing Analyst,,Marketing
Google Analytics Essential Training,"
https://www.udemy.com/course/google-analytics-essential-training-v/",udemy.com,Marketing Analyst,,Marketing
Ultimate Marketing and Selling Course,https://www.udemy.com/course/ultimate-marketing-and-selling-course/,udemy.com,Marketing Analyst,,Marketing
Business Requirements Document for Beginner Business Analyst,https://www.udemy.com/course/business-requirements-document-for-beginner-business-analyst/,udemy.com,Marketing Analyst,,Marketing
Become a Stronger and More Productive Business Analyst,https://www.udemy.com/course/business-analysis-essential-skills-training/,udemy.com,Operations Research Analyst,,Marketing
Marketing Analytics: Price and Promotion Analytics,https://www.edx.org/course/marketing-analytics-price-and-promotion-analytics,edx.org,Operations Research Analyst,,Marketing
Introduction to Data Analysis for Government,https://www.udemy.com/course/introduction-to-data-analysis-for-government/,udemy.com,Data Quality Analyst,,Marketing
Fundamentals Data Analysis & Decision Making Models - Theory,https://www.udemy.com/course/data-analysis-decision-making-model-dashboards-using-excel/,udemy.com,Data Quality Analyst,,Marketing
Analyzing and Visualizing Data with Power BI,https://www.edx.org/course/data-analysis-in-power-bi,edx.org,Data Quality Analyst,,Marketing
Startup Selling: Sell More Stuff,https://www.udemy.com/course/startup-selling-sell-more-stuff-free-version/,udemy.com,Sales Operations Analyst,,Marketing
Sales and Marketing For Online Businesses,https://www.udemy.com/course/sales-and-marketing-for-online-businesses/,udemy.com,Sales Operations Analyst,,Marketing
The Art Of Sales: Sell Anything to Anyone,https://www.udemy.com/course/selling-skills-by-david-thabet/,udemy.com,Sales Operations Analyst,,Marketing
SMstudy®Corporate Sales Associate Certification Course,https://www.udemy.com/course/smstudy-corporate-sales-basics/,udemy.com,Sales Operations Analyst,,Marketing
Sales Enablement & Analytics,https://www.edx.org/course/sales-enablement-analytics,edx.org,Sales Operations Analyst,,Marketing
How to Use Big Data to Improve Your Sales Operations,https://www.youtube.com/watch?v=_9NDvRj2DMA,www.youtube.com,Sales Operations Analyst,,Marketing
Excel Data Visualization for Business Analysts,https://www.udemy.com/course/excel-data-visualization-for-business-analysts/,udemy.com,Data Analyst,,Marketing
Data Analysis with Microsoft Excel and Google Sheets,https://www.udemy.com/course/data-analysis-with-microsoft-excel-and-google-sheets/,udemy.com,Data Analyst,,Marketing
Introduction to Data Analysis for Government,https://www.udemy.com/course/introduction-to-data-analysis-for-government/,udemy.com,Data Analyst,,Marketing
Big Data Analytics in Healthcare,https://www.udacity.com/course/big-data-analytics-in-healthcare--ud758,udemy.com,Data Analyst,,Marketing
"Android Basics: Data Storage
byGoogle",https://www.udacity.com/course/android-basics-data-storage--ud845,udemy.com,Data Analyst,,Marketing
Introduction to Data Science,https://www.edx.org/course/intro-to-data-science,edx.org,Data Analyst,,Marketing
Analyzing Data with Python,https://www.edx.org/course/analyzing-data-with-python,edx.org,Data Analyst,,Marketing
How to Become a Data Analyst in 2020,https://www.youtube.com/watch?v=5HlbV1wKBmo,www.youtube.com,Data Analyst,,Marketing
Introduction to Software Testing or Software QA,https://www.udemy.com/course/introduction-to-software-testing-or-software-qa/,udemy.com,Quality Assurance Analyst,,Marketing
who is a Quality Assurance Analyst?,https://www.youtube.com/watch?v=MFHbKILH_Ak,www.youtube.com,Quality Assurance Analyst,,Marketing
,,,Quality Assurance Analyst,,Marketing
Ten Excel Features Every Analyst Should Know,https://www.udemy.com/course/ten-excel-features-every-analyst-should-know/,udemy.com,Decision Support Analyst,,Marketing
Customer Support Skills,https://www.udemy.com/course/customer-support-skills/,udemy.com,Decision Support Analyst,,Marketing
Viral Marketing and How to Craft Contagious Content,https://www.coursera.org/learn/wharton-contagious-viral-marketing,Coursera.org,Actuarial Analyst,,Marketing
"Маркетинговая аналитика
","https://www.coursera.org/learn/uva-darden-market-analytics
",Coursera.org,Actuarial Analyst,,Marketing
"Brand Management: Aligning Business, Brand and Behaviour",https://www.coursera.org/learn/brand,Coursera.org,Actuarial Analyst,,Marketing
The Strategy of Content Marketing,"
https://www.coursera.org/learn/content-marketing?edocomorp=free-courses-college-students&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-wz4a76efHWqN7acCocjhqQ&siteID=SAyYsTvLiGQ-wz4a76efHWqN7acCocjhqQ&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ",,Actuarial Analyst,free certificate till 31.07,Marketing
Digital Marketing Fundamentals with Live Projects,https://www.udemy.com/course/digital-marketing-foundation/,udemy.com,Digital Marketing Analyst,,Marketing
Social Media Marketing - Free Training For Beginners,https://www.udemy.com/course/social-media-marketing-for-beginners/,udemy.com,Digital Marketing Analyst,,Marketing
Understand and Evaluate Digital Marketing Channels,https://www.udemy.com/course/smstudy-understand-and-evaluate-digital-marketing-channels/,udemy.com,Digital Marketing Analyst,,Marketing
"Digital Marketing Strategy
",https://www.udemy.com/course/digital-marketing-strategy-101/,udemy.com,Digital Marketing Analyst,,Marketing
Digital Transformation: Business Development and Marketing,https://www.edx.org/course/digital-transformation-business-development-and-ma,edx.org,Digital Marketing Analyst,,Marketing
Marketing Digital: Content & Community Manager,https://www.edx.org/course/marketing-digital-content-community-manager,edx.org,Digital Marketing Analyst,,Marketing
Digital Analytics Fundamentals | Web Analytics For Beginners | Digital Marketing | Simplilearn,https://www.youtube.com/watch?v=WaDjcajOmUo,www.youtube.com,Digital Marketing Analyst,,Marketing
Digital Marketing Analytics – Why It Is Important To Understand Your Metrics,https://www.youtube.com/watch?v=PN7KfMfj__o&t=36s,www.youtube.com,Digital Marketing Analyst,,Marketing
Day in the Life of a Digital Marketing Manager 👩🏻‍💻 | Working From Home,https://www.youtube.com/watch?v=uUsv-ZPhea4,www.youtube.com,Digital Marketing Analyst,,Marketing
The Strategy of Content Marketing,"https://www.coursera.org/learn/content-marketing

",Coursera.org,E-Commerce Analyst,,Marketing
Ten Excel Features Every Analyst Should Know,https://www.udemy.com/course/ten-excel-features-every-analyst-should-know/,udemy.com,E-Commerce Analyst,,Marketing
Ecommerce 101 + How to be Successful Dropshipping on Shopify,https://www.udemy.com/course/building-a-sustainable-ecommerce-business-and-brand/,udemy.com,E-Commerce Analyst,,Marketing
"Business Plan : Outlines , Templates & Case Study",https://www.udemy.com/course/quality_business_plan/,udemy.com,Operations Analyst,,Marketing
Become a Stronger and More Productive Business Analyst,https://www.udemy.com/course/business-analysis-essential-skills-training/,udemy.com,Operations Analyst,,Marketing
Business Requirements Document for Beginner Business Analyst,https://www.udemy.com/course/business-requirements-document-for-beginner-business-analyst/,udemy.com,Operations Analyst,,Marketing
SEO Tutorial for Beginners,https://www.udemy.com/course/seo-tutorial/,udemy.com,SEO Analyst,,Marketing
SEO Training Course by Moz,https://www.udemy.com/course/whiteboard-seo/,udemy.com,SEO Analyst,,Marketing
What Is SEO? Learn SEO Basics & Optimize Your Website,https://www.udemy.com/course/what-is-seo/,udemy.com,SEO Analyst,,Marketing
What Does an SEO Do In Their Day-to-Day Work? - Whiteboard Friday,https://www.youtube.com/watch?v=4Fcwewshxo0,www.youtube.com,SEO Analyst,,Marketing
,,,SEO Analyst,,Marketing
"The Strategy of Content Marketing

","
https://ru.coursera.org/browse/business/marketing?facets=skillNameMultiTag%2CjobTitleMultiTag%3ABrand+Manager%2CdifficultyLevelTag%2Clanguages%3AEnglish%2CentityTypeTag%2CpartnerMultiTag%2CcategoryMultiTag%2CsubcategoryMultiTag%3Amarketing&sortField=",Coursera.org,SEO Analyst,,Marketing
Archetypal Branding: The Secrets of building a Premium Brand,https://www.udemy.com/course/archetypal-branding/,udemy.com,SEO Analyst,,Marketing
Brand Manager - FMCG | Job Snapshot,https://www.youtube.com/watch?v=fa7lngHWbnk,www.youtube.com,SEO Analyst,,Marketing
"Brand Management: Aligning Business, Brand and Behaviour","
https://www.coursera.org/learn/brand
",Coursera.org,Brand Manager,,Marketing
Online Reputation Management: Full Tutorial of Google Alerts,https://www.udemy.com/course/reputation-management-full-tutorial-of-google-alerts/,udemy.com,Brand Manager,,Marketing
“Lessons in Building and Managing Strong Brands.” – Kevin Lane Keller of Dartmouth College,https://www.youtube.com/watch?v=Sgppn5vuaU8,www.youtube.com,Brand Manager,,Marketing
The Serial Entrepreneur's Guide To Startup Brands,https://www.udemy.com/course/how-i-create-10mm-startup-brands/,udemy.com,Brand Manager,,Marketing
What is BRAND MANAGEMENT? What does BRAND MANAGEMENT mean? BRAND MANAGEMENT meaning,https://www.youtube.com/watch?v=hIM8lbsje_8,www.youtube.com,Brand Manager,,Marketing
Introduction to Product Management,https://www.udemy.com/course/product-management/,udemy.com,Product Manager,,Marketing
Fundamental Steps of Product Management,https://www.udemy.com/course/productmgt/,udemy.com,Product Manager,,Marketing
Intro to Product Management,https://www.udemy.com/course/intro-to-product-management/,udemy.com,Product Manager,,Marketing
What do product managers do? - Agile Coach,https://www.youtube.com/watch?v=yUOC-Y0f5ZQ,www.youtube.com,Product Manager,,Marketing
What Are the Basics of a Product Manager Role by Google PM,https://www.youtube.com/watch?v=ntzB9pGsD3E,www.youtube.com,Product Manager,,Marketing
Product Manager Roles | Product Management | Career Insights | upGrad,https://www.youtube.com/watch?v=2dczveSrsv8,www.youtube.com,Product Manager,,Marketing
,,,Product Manager,,Marketing
Write Your Own Social Media Strategy,https://www.udemy.com/course/write-your-own-social-media-strategy/,udemy.com,Media Relations manager,,Marketing
"Getting Social With Buffer
",https://www.udemy.com/course/getting-social-with-buffer/,udemy.com,Media Relations manager,,Marketing
Understanding Hashtags in Social Media,https://www.udemy.com/course/understanding-hashtags-in-social-media/,udemy.com,Media Relations manager,,Marketing
PR Academy - How to improve your media relations,https://www.youtube.com/watch?v=nMPbjxwagT8,www.youtube.com,Media Relations manager,,Marketing
Media Relations 101 - Tips from an Ex-TV News Producer + Journalist,https://www.youtube.com/watch?v=cJwf-tbeHhk,www.youtube.com,Media Relations manager,,Marketing
Day in the life | Media Relations Manager,https://www.youtube.com/watch?v=X9Bs8_aD5jo,www.youtube.com,Media Relations manager,,Marketing
Modern PR — How To Get Press Coverage For Your Business,https://www.udemy.com/course/pr-secrets/,udemy.com,PR manager,,Marketing
Building a Content Marketing Team,https://www.udemy.com/course/building-a-content-marketing-team/,udemy.com,PR manager,,Marketing
Businesses: How to Use Twitter for PR and Media Coverage,https://www.udemy.com/course/businesses-how-to-use-twitter-for-pr-and-media-coverage/,udemy.com,PR manager,,Marketing
What is Public Relations?,https://www.youtube.com/watch?v=7ptiYPcIeM8,www.youtube.com,PR manager,,Marketing
"How to Get a PR Job in 2019 | Salary, Influencers, My Story",https://www.youtube.com/watch?v=pFci9VMSFQM,www.youtube.com,PR manager,,Marketing
,,,PR manager,,Marketing
,,,PR manager,,Marketing
,,,PR manager,,Marketing
,,,PR manager,,Marketing
,,,PR manager,,Marketing
Digital Marketing Fundamentals with Live Projects,https://www.udemy.com/course/digital-marketing-foundation/,udemy.com,Digital Marketing Analyst,,Marketing
Social Media Marketing - Free Training For Beginners,https://www.udemy.com/course/social-media-marketing-for-beginners/,udemy.com,Digital Marketing Analyst,,Marketing
Understand and Evaluate Digital Marketing Channels,https://www.udemy.com/course/smstudy-understand-and-evaluate-digital-marketing-channels/,udemy.com,Digital Marketing Analyst,,Marketing
"Digital Marketing Strategy
",https://www.udemy.com/course/digital-marketing-strategy-101/,udemy.com,Digital Marketing Analyst,,Marketing
Digital Transformation: Business Development and Marketing,https://www.edx.org/course/digital-transformation-business-development-and-ma,edx.org,Digital Marketing Analyst,,Marketing
Marketing Digital: Content & Community Manager,https://www.edx.org/course/marketing-digital-content-community-manager,edx.org,Digital Marketing Analyst,,Marketing
Digital Analytics Fundamentals | Web Analytics For Beginners | Digital Marketing | Simplilearn,https://www.youtube.com/watch?v=WaDjcajOmUo,www.youtube.com,Digital Marketing Analyst,,Marketing
Digital Marketing Analytics – Why It Is Important To Understand Your Metrics,https://www.youtube.com/watch?v=PN7KfMfj__o&t=36s,www.youtube.com,Digital Marketing Analyst,,Marketing
