courses,link,origin_site,profession,subscription,scope
Media ethics & governance,https://www.coursera.org/learn/media-ethics-governance,Coursera.org,Journalist,free,Media _ Communications
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",https://www.coursera.org/learn/transmedia-storytelling,Coursera.org,Journalist,free,Media _ Communications
Write Your First Novel,https://www.coursera.org/learn/write-your-first-novel,Coursera.org,Journalist,free,Media _ Communications
Transmedia Writing,https://www.coursera.org/learn/transmedia-writing,Coursera.org,Journalist,free,Media _ Communications
Writing in the Sciences,https://www.coursera.org/learn/sciwrite,Coursera.org,Journalist,free,Media _ Communications
Journalism Skills for Engaged Citizens,https://www.coursera.org/learn/journalism-skills,Coursera.org,Journalist,free,Media _ Communications
Better Business Writing in English,https://www.coursera.org/learn/business-writing-english,Coursera.org,Journalist,free,Media _ Communications
Making Sense of the News: News Literacy Lessons for Digital Citizens,https://www.coursera.org/learn/news-literacy,Coursera.org,Journalist,free,Media _ Communications
Visualization for Data Journalism,https://www.coursera.org/learn/visualization-for-data-journalism,Coursera.org,Journalist,free,Media _ Communications
Digital Media and Marketing Strategies,https://www.coursera.org/learn/marketing-plan,Coursera.org,Journalist,free,Media _ Communications
The Strategy of Content Marketing,https://www.coursera.org/learn/content-marketing,Coursera.org,Journalist,free,Media _ Communications
"Instructional Design: Digital Media, New Tools and Technology",https://www.edx.org/course/instructional-design-digital-media-new-tools-and-2,edx.org,Journalist,free,Media _ Communications
Activism and Citizen Journalism through Media,https://www.edx.org/course/activism-and-citizen-journalism-through-media,edx.org,Journalist,free,Media _ Communications
"Global Media, War, and Technology",https://www.edx.org/course/global-media-war-and-technology,edx.org,Journalist,free,Media _ Communications
Theories of Media and Technology,https://www.edx.org/course/theories-of-media-and-technology,edx.org,Journalist,free,Media _ Communications
Storytelling in the Workplace,https://www.edx.org/course/storytelling-in-the-workplace,edx.org,Journalist,free,Media _ Communications
Journalism for Social Change,https://www.edx.org/course/journalism-for-social-change-2,edx.org,Journalist,free,Media _ Communications
Freedom of Expression and Information in the Time of Globalization: Foundational Course,https://www.edx.org/course/freedom-of-expression-in-the-age-of-globalization,edx.org,Journalist,free,Media _ Communications
The Story of Fake News,https://www.edx.org/course/the-story-of-fake-news,edx.org,Journalist,free,Media _ Communications
Making Sense of News,https://www.edx.org/course/making-sense-of-news,edx.org,Journalist,free,Media _ Communications
"Fake News, Facts, and Alternative Facts",https://www.edx.org/course/fake-news-facts-and-alternative-facts,edx.org,Journalist,free,Media _ Communications
Media LIT: Overcoming Information Overload,https://www.edx.org/course/media-lit-overcoming-information-overload,edx.org,Journalist,free,Media _ Communications
Global Muckraking: Investigative Journalism and Global Media,https://www.edx.org/course/global-muckraking-investigative-journalism-and-glo?source=aw&awc=6798_1584632294_d5d7f60fd0336a9b7f6d36da9311fa4d&utm_source=aw&utm_medium=affiliate_partner&utm_content=text-link&utm_term=425997_CoToNet%2C+Unip.+Lda,edx.org,Journalist,free,Media _ Communications
Academic writing for clarity and meaning,https://www.edx.org/course/academic-writing-for-clarity-and-meaning-2?source=aw&awc=6798_1584631096_4e669968a221dd9d065b6fa608727310&utm_source=aw&utm_medium=affiliate_partner&utm_content=text-link&utm_term=428885_Open+Culture%2C+LLC,edx.org,Journalist,free,Media _ Communications
A Beginner's Guide to Writing in English for University Study,https://www.futurelearn.com/courses/english-for-study?utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=1950132:Daniel+Colman&utm_content=10:1&utm_term=USNetwork&ranMID=44015&ranEAID=Cu8bOePBZBg&ranSiteID=Cu8bOePBZBg-8.AJd.q80us7b9iZPbjbLg,futurelearn.com,Journalist,free,Media _ Communications
Understanding Media: Introduction to Media Literacy and Representation,https://www.futurelearn.com/courses/media-literacy-representation,futurelearn.com,Journalist,free,Media _ Communications
Start Writing Fiction,https://www.futurelearn.com/courses/start-writing-fiction,futurelearn.com,Journalist,free,Media _ Communications
Research Writing: How to Do a Literature Review,https://www.futurelearn.com/courses/research-writing,futurelearn.com,Journalist,free,Media _ Communications
Discovering Science: Science Writing,https://www.futurelearn.com/courses/discovering-science-science-writing,futurelearn.com,Journalist,free,Media _ Communications
Making Sense of Data in the Media,https://www.futurelearn.com/courses/media-data,futurelearn.com,Journalist,free,Media _ Communications
Get that article published,https://www.udemy.com/course/get-that-article-published/,udemy.com,Journalist,free,Media _ Communications
Essentials of Writing Content,https://www.udemy.com/course/essentials-of-writing-content/,udemy.com,Journalist,free,Media _ Communications
Copywriting Quick Start: Top FREE Writing Tools & Hacks,https://www.udemy.com/course/copywritingquickstart/,udemy.com,Journalist,free,Media _ Communications
Short story masterclass: learn from a prizewinning author!,https://www.udemy.com/course/short-story-workshop-learn-from-a-prizewinning-writer/,udemy.com,Journalist,free,Media _ Communications
On Writing,https://www.udemy.com/course/on-writing-and-stories/,udemy.com,Journalist,free,Media _ Communications
Professional Writing : build a freelance business.,https://www.udemy.com/course/upwork-and-fiverr-for-writers/,udemy.com,Journalist,free,Media _ Communications
Creative Writing - Writer's Block Workbook Volume 1 Month 1,https://www.udemy.com/course/creative-writing-writers-block-workbook-volume-1-month-1/,udemy.com,Journalist,free,Media _ Communications
Copywriting that sells for ambitious people,https://www.udemy.com/course/copywriting-that-sells-for-ambitious-people/,udemy.com,Journalist,free,Media _ Communications
Getting started as a sports writer,https://www.udemy.com/course/getting-started-sports-writer/,udemy.com,Journalist,free,Media _ Communications
Introduction to LibreOffice Writer - Tutorials for Beginners,https://www.udemy.com/course/introduction-to-libreoffice-tutorials-for-beginners/,udemy.com,Journalist,free,Media _ Communications
Secret Sauce of Great Writing,https://www.udemy.com/course/secret-sauce-of-great-writing/,udemy.com,Journalist,free,Media _ Communications
155 Years of Copywriting Insights Taught In 1.5 Hour Course!,https://www.udemy.com/course/copywriter/,udemy.com,Journalist,free,Media _ Communications
Copywriting: Fundamentals For Beginners,https://www.udemy.com/course/copywriting-fundamentals-for-beginners/,udemy.com,Journalist,free,Media _ Communications
Copywriting that sells for ambitious people,https://www.udemy.com/course/copywriting-that-sells-for-ambitious-people/,udemy.com,Journalist,free,Media _ Communications
Media Writing and Editing,https://www.canvas.net/browse/osu/global-one-health/courses/media-writing-and-editing,canvas.net,Journalist,free,Media _ Communications
Trust and verification in an age of misinformation,https://journalismcourses.org/trust&verification.html,journalismcourses.org,Journalist,free,Media _ Communications
Intro to R for Journalists: How to Find Great Stories in Data,https://journalismcourses.org/intro-r.html,journalismcourses.org,Journalist,free,Media _ Communications
Intro to Mapping and GIS for Journalists,https://journalismcourses.org/mapping.html,journalismcourses.org,Journalist,free,Media _ Communications
News Algorithms: The Impact of Automation and AI on Journalism,https://www.classcentral.com/course/independent-news-algorithms-the-impact-of-automation-and-ai-on-journalism-13404,journalismcourses.org,Journalist,free,Media _ Communications
Write Your First Novel,https://www.coursera.org/learn/write-your-first-novel,Coursera.org,Copywriter,free,Media _ Communications
Transmedia Writing,https://www.coursera.org/learn/transmedia-writing,Coursera.org,Copywriter,free,Media _ Communications
Better Business Writing in English,https://www.coursera.org/learn/business-writing-english,Coursera.org,Copywriter,free,Media _ Communications
Academic writing for clarity and meaning,https://www.edx.org/course/academic-writing-for-clarity-and-meaning-2?source=aw&awc=6798_1584631096_4e669968a221dd9d065b6fa608727310&utm_source=aw&utm_medium=affiliate_partner&utm_content=text-link&utm_term=428885_Open+Culture%2C+LLC,edx.org,Copywriter,free,Media _ Communications
A Beginner's Guide to Writing in English for University Study,https://www.futurelearn.com/courses/english-for-study?utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=1950132:Daniel+Colman&utm_content=10:1&utm_term=USNetwork&ranMID=44015&ranEAID=Cu8bOePBZBg&ranSiteID=Cu8bOePBZBg-8.AJd.q80us7b9iZPbjbLg,futurelearn.com,Copywriter,free,Media _ Communications
Writing for Social Media,https://www.edx.org/course/writing-for-social-media,edx.org,Copywriter,free,Media _ Communications
Short story masterclass: learn from a prizewinning author!,https://www.udemy.com/course/short-story-workshop-learn-from-a-prizewinning-writer/,udemy.com,Copywriter,free,Media _ Communications
Professional Writing : build a freelance business.,https://www.udemy.com/course/upwork-and-fiverr-for-writers/,udemy.com,Copywriter,free,Media _ Communications
On Writing,https://www.udemy.com/course/on-writing-and-stories/,udemy.com,Copywriter,free,Media _ Communications
Essentials of Writing Content,https://www.udemy.com/course/essentials-of-writing-content/,udemy.com,Copywriter,free,Media _ Communications
Secret Sauce of Great Writing,https://www.udemy.com/course/secret-sauce-of-great-writing/,udemy.com,Copywriter,free,Media _ Communications
Copywriting Quick Start: Top FREE Writing Tools & Hacks,https://www.udemy.com/course/copywritingquickstart/,udemy.com,Copywriter,free,Media _ Communications
Copywriting that sells for ambitious people,https://www.udemy.com/course/copywriting-that-sells-for-ambitious-people/,udemy.com,Copywriter,free,Media _ Communications
Copywriting: Fundamentals For Beginners,https://www.udemy.com/course/copywriting-fundamentals-for-beginners/,udemy.com,Copywriter,free,Media _ Communications
Copywriting that sells for ambitious people,https://www.udemy.com/course/copywriting-that-sells-for-ambitious-people/,udemy.com,Copywriter,free,Media _ Communications
,,,Copywriter,,Media _ Communications
How to Write a Novel: Writing the Draft,https://www.edx.org/course/how-to-write-a-novel-writing-the-draft,edx.org,Creative Writer,free,Media _ Communications
How to Write a Novel: Edit & Revise,https://www.edx.org/course/how-to-write-a-novel-edit-revise,edx.org,Creative Writer,free,Media _ Communications
How to Write a Novel: Structure & Outline,https://www.edx.org/course/how-to-write-a-novel-structure-outline,edx.org,Creative Writer,free,Media _ Communications
"Fairy Tales: Meanings, Messages, and Morals",https://www.edx.org/course/fairy-tales-meanings-messages-and-morals,edx.org,Creative Writer,free,Media _ Communications
Write Your First Novel,https://www.coursera.org/learn/write-your-first-novel,Coursera.org,News writer,free,Media _ Communications
Transmedia Writing,https://www.coursera.org/learn/transmedia-writing,Coursera.org,News writer,free,Media _ Communications
Better Business Writing in English,https://www.coursera.org/learn/business-writing-english,Coursera.org,News writer,free,Media _ Communications
The Story of Fake News,https://www.edx.org/course/the-story-of-fake-news,edx.org,News writer,free,Media _ Communications
Making Sense of News,https://www.edx.org/course/making-sense-of-news,edx.org,News writer,free,Media _ Communications
"Fake News, Facts, and Alternative Facts",https://www.edx.org/course/fake-news-facts-and-alternative-facts,edx.org,News writer,free,Media _ Communications
Academic writing for clarity and meaning,https://www.edx.org/course/academic-writing-for-clarity-and-meaning-2?source=aw&awc=6798_1584631096_4e669968a221dd9d065b6fa608727310&utm_source=aw&utm_medium=affiliate_partner&utm_content=text-link&utm_term=428885_Open+Culture%2C+LLC,edx.org,News writer,free,Media _ Communications
A Beginner's Guide to Writing in English for University Study,https://www.futurelearn.com/courses/english-for-study?utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=1950132:Daniel+Colman&utm_content=10:1&utm_term=USNetwork&ranMID=44015&ranEAID=Cu8bOePBZBg&ranSiteID=Cu8bOePBZBg-8.AJd.q80us7b9iZPbjbLg,futurelearn.com,News writer,free,Media _ Communications
Start Writing Fiction,https://www.futurelearn.com/courses/start-writing-fiction,futurelearn.com,News writer,free,Media _ Communications
Short story masterclass: learn from a prizewinning author!,https://www.udemy.com/course/short-story-workshop-learn-from-a-prizewinning-writer/,udemy.com,News writer,free,Media _ Communications
On Writing,https://www.udemy.com/course/on-writing-and-stories/,udemy.com,News writer,free,Media _ Communications
Essentials of Writing Content,https://www.udemy.com/course/essentials-of-writing-content/,udemy.com,News writer,free,Media _ Communications
Secret Sauce of Great Writing,https://www.udemy.com/course/secret-sauce-of-great-writing/,udemy.com,News writer,free,Media _ Communications
Media Writing and Editing,https://www.canvas.net/browse/osu/global-one-health/courses/media-writing-and-editing,canvas.net,News writer,free,Media _ Communications
Trust and verification in an age of misinformation,https://journalismcourses.org/trust&verification.html,journalismcourses.org,News writer,free,Media _ Communications
News Algorithms: The Impact of Automation and AI on Journalism,https://www.classcentral.com/course/independent-news-algorithms-the-impact-of-automation-and-ai-on-journalism-13404,journalismcourses.org,News writer,free,Media _ Communications
Academic writing for clarity and meaning,https://www.edx.org/course/academic-writing-for-clarity-and-meaning-2?source=aw&awc=6798_1584631096_4e669968a221dd9d065b6fa608727310&utm_source=aw&utm_medium=affiliate_partner&utm_content=text-link&utm_term=428885_Open+Culture%2C+LLC,edx.org,"Editor
",free,Media _ Communications
A Beginner's Guide to Writing in English for University Study,https://www.futurelearn.com/courses/english-for-study?utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=1950132:Daniel+Colman&utm_content=10:1&utm_term=USNetwork&ranMID=44015&ranEAID=Cu8bOePBZBg&ranSiteID=Cu8bOePBZBg-8.AJd.q80us7b9iZPbjbLg,futurelearn.com,"Editor
",free,Media _ Communications
Research Writing: How to Do a Literature Review,https://www.futurelearn.com/courses/research-writing,futurelearn.com,"Editor
",free,Media _ Communications
Essentials of Writing Content,https://www.udemy.com/course/essentials-of-writing-content/,udemy.com,"Editor
",free,Media _ Communications
Introduction to LibreOffice Writer - Tutorials for Beginners,https://www.udemy.com/course/introduction-to-libreoffice-tutorials-for-beginners/,udemy.com,"Editor
",free,Media _ Communications
Media Writing and Editing,https://www.canvas.net/browse/osu/global-one-health/courses/media-writing-and-editing,canvas.net,"Editor
",free,Media _ Communications
Editor Talk: How to Become an Editor!,https://www.youtube.com/watch?v=SrriVbFPifs,youtube.com,"Editor
",free,Media _ Communications
"Job Roles For Content Writer – Technical writer,editors,professional writing",https://www.youtube.com/watch?v=kfiYXowNzdg,youtube.com,"Editor
",free,Media _ Communications
Editors Career Video,https://www.youtube.com/watch?v=GHRV97JDJbw,youtube.com,"Editor
",free,Media _ Communications
,,,"Editor
",,Media _ Communications
Transmedia Writing,https://www.coursera.org/learn/transmedia-writing,Coursera.org,TV writer,free,Media _ Communications
Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),https://www.coursera.org/learn/script-writing,Coursera.org,TV writer,free,Media _ Communications
Understanding Media: Introduction to Media Literacy and Representation,https://www.futurelearn.com/courses/media-literacy-representation,futurelearn.com,TV writer,free,Media _ Communications
An Introduction to Screenwriting,https://www.futurelearn.com/courses/screenwriting,futurelearn.com,TV writer,free,Media _ Communications
Essentials of Writing Content,https://www.udemy.com/course/essentials-of-writing-content/,udemy.com,TV writer,free,Media _ Communications
Secret Sauce of Great Writing,https://www.udemy.com/course/secret-sauce-of-great-writing/,udemy.com,TV writer,free,Media _ Communications
Media Writing and Editing,https://www.canvas.net/browse/osu/global-one-health/courses/media-writing-and-editing,canvas.net,TV writer,free,Media _ Communications
How To Get a TV Writer Job - What is a Spec,https://www.youtube.com/watch?v=cT9lqd482m0,youtube.com,TV writer,free,Media _ Communications
What Writers Really Need To Know About Writing For Television by Lee Jessup,https://www.youtube.com/watch?v=VUHvKkw-tpw,youtube.com,TV writer,free,Media _ Communications
How To Get A TV Writer Job - The Elevator Speech,https://www.youtube.com/watch?v=bhktCok3Bjg,youtube.com,TV writer,free,Media _ Communications
How A Writer Got His First Paying Job In Television by Gary Goldstein,https://www.youtube.com/watch?v=rLTGzUOWse0,youtube.com,TV writer,free,Media _ Communications
Rhetoric: The Art of Persuasive Writing and Public Speaking,https://www.edx.org/course/rhetoric-the-art-of-persuasive-writing-and-public?source=aw&awc=6798_1584632165_0fd9cb514377b6bc5f8749d6663c3809&utm_source=aw&utm_medium=affiliate_partner&utm_content=text-link&utm_term=428885_Open+Culture%2C+LLC,edx.org,TV host,free,Media _ Communications
How to Become TV Presenter,https://www.udemy.com/course/become-a-tv-presenter-good-voice-speech/,udemy.com,TV host,free,Media _ Communications
Camera Confidence Mini-Course: Be Better On Camera,https://www.udemy.com/course/camera-confidence-mini-course-be-better-on-camera/,udemy.com,TV host,free,Media _ Communications
Be A TV Presenter | Get My Job,https://www.youtube.com/watch?v=MNH65csLqao,youtube.com,TV host,free,Media _ Communications
I’m a Talk Show Host | My Life ★ Glam.com,https://www.youtube.com/watch?v=Cyzmla9naEQ,youtube.com,TV host,free,Media _ Communications
How To Be A TV Host (Oprah Winfrey),https://www.youtube.com/watch?v=0jVICB4X0hI,youtube.com,TV host,free,Media _ Communications
TV Presenting Tips - Be yourself,https://www.youtube.com/watch?v=6FJAgf4Q_ao,youtube.com,TV host,free,Media _ Communications
On camera hosting tips,https://www.youtube.com/watch?v=dvbD0kpT-aE,youtube.com,TV host,free,Media _ Communications
How To Get Comfortable on Camera and Use Your Body Language,https://www.youtube.com/watch?v=srrxAlgMIUI,youtube.com,TV host,free,Media _ Communications
The Story of Fake News,https://www.edx.org/course/the-story-of-fake-news,edx.org,News anchor,free,Media _ Communications
Making Sense of News,https://www.edx.org/course/making-sense-of-news,edx.org,News anchor,free,Media _ Communications
"Fake News, Facts, and Alternative Facts",https://www.edx.org/course/fake-news-facts-and-alternative-facts,edx.org,News anchor,free,Media _ Communications
Rhetoric: The Art of Persuasive Writing and Public Speaking,https://www.edx.org/course/rhetoric-the-art-of-persuasive-writing-and-public?source=aw&awc=6798_1584632165_0fd9cb514377b6bc5f8749d6663c3809&utm_source=aw&utm_medium=affiliate_partner&utm_content=text-link&utm_term=428885_Open+Culture%2C+LLC,edx.org,News anchor,free,Media _ Communications
Freedom of Expression and Information in the Time of Globalization: Foundational Course,https://www.edx.org/course/freedom-of-expression-in-the-age-of-globalization,edx.org,News anchor,free,Media _ Communications
News Algorithms: The Impact of Automation and AI on Journalism,https://www.classcentral.com/course/independent-news-algorithms-the-impact-of-automation-and-ai-on-journalism-13404,journalismcourses.org,News anchor,free,Media _ Communications
I’m a TV News Anchor | My Life ★ Glam.com,https://www.youtube.com/watch?v=zt5KBsCsUNg,youtube.com,News anchor,free,Media _ Communications
"360- 11PM Newscast Studio ""Behind The Scenes""",https://www.youtube.com/watch?v=vfvn_6ewTaE,youtube.com,News anchor,free,Media _ Communications
A day in the life | CNN Anchor and Carolina alum Brooke Baldwin,https://www.youtube.com/watch?v=GBYDJO5-4EY,youtube.com,News anchor,free,Media _ Communications
A Day in the Life of a Local News Reporter,https://www.youtube.com/watch?v=189m-tUz_4k,youtube.com,News anchor,free,Media _ Communications
Video Production,https://www.udemy.com/course/video-production/,udemy.com,Operator,free,Media _ Communications
PTZOptics Camera Line Training,https://www.udemy.com/course/live-streaming-cameras/,udemy.com,Operator,free,Media _ Communications
vMix Master Class - Video Production & Live Streaming,https://www.udemy.com/course/vmix-live-streaming/,udemy.com,Operator,free,Media _ Communications
360 Video Creation Fundamentals,https://www.udemy.com/course/360-video-production-masterclass-filmmaking/,udemy.com,Operator,free,Media _ Communications
How to Record & Edit Video Content for Beginners,https://www.udemy.com/course/how-to-record-edit-video-content/,udemy.com,Operator,free,Media _ Communications
The BeLive Studio2 Course for Live Broadcasters,https://www.udemy.com/course/the-belive-studio2-course-for-live-broadcasters/,udemy.com,Operator,free,Media _ Communications
Job profile: Camera Operator in BBC Northern Ireland,https://www.youtube.com/watch?v=ViUMsSLUNzQ,youtube.com,Operator,free,Media _ Communications
A Day in the Life of an AC (Camera Assistant),https://www.youtube.com/watch?v=wyBSZ_d-fN4,youtube.com,Operator,free,Media _ Communications
Camera Operators | What they are and what they do,https://www.youtube.com/watch?v=Y_iBlpM6Rec,youtube.com,Operator,free,Media _ Communications
Career Day 2015 - A Day in the Life of a TV Producer,https://www.youtube.com/watch?v=kRJhZihRYd0,youtube.com,Producer,free,Media _ Communications
TV Producer: Why Should Girls Consider A Career in Filmmaking - Kai Bowe Career Girls Role Model,https://www.youtube.com/watch?v=LomDGDuicB4,youtube.com,Producer,free,Media _ Communications
How to Make a TV Show,https://www.youtube.com/watch?v=gV5V2-tG9y4,youtube.com,Producer,free,Media _ Communications
How a TV show gets made,https://www.youtube.com/watch?v=P8aW1Ae6gcI,youtube.com,Producer,free,Media _ Communications
How To Become a TV Producer,https://www.youtube.com/watch?v=QVZtJ0NCAsU,youtube.com,Producer,free,Media _ Communications
Ashley Gordon – TV News Producer,https://www.youtube.com/watch?v=IMddNWz_ztY,youtube.com,Producer,free,Media _ Communications
What Is a Line Producer? [The Key Role of Line Producers],https://www.youtube.com/watch?v=jmb_NGFDjSU,youtube.com,Producer,free,Media _ Communications
STRANGER THINGS Casting Director Carmen Cuba Gives Casting Points For Auditioning,https://www.youtube.com/watch?v=n_VQIdCBq5g&t=17s,youtube.com,Casting director,free,Media _ Communications
what does a casting director do? - arvold ASK,https://www.youtube.com/watch?v=oOiMJGGjQ8k,youtube.com,Casting director,free,Media _ Communications
Casting Director,https://www.youtube.com/watch?v=6ZgL7SzfXAM,youtube.com,Casting director,free,Media _ Communications
how an actor can stand out to the casting director - arvold ASK,https://www.youtube.com/watch?v=Mk2rHrFKmmk,youtube.com,Casting director,free,Media _ Communications
Casting Directors,https://www.youtube.com/watch?v=KRCopDeoK4o,youtube.com,Casting director,free,Media _ Communications
Crew Call: EMPIRE Costume Designer Rita McGhee Talks About Her Craft,https://www.youtube.com/watch?v=JtuYxJzeElM,youtube.com,Costume designer,free,Media _ Communications
American Horror Story: Hotel' ­Costume Designer Lou Eyrich ­- Variety Artisans,https://www.youtube.com/watch?v=Rl2YHNPfUT4,youtube.com,Costume designer,free,Media _ Communications
The Costumes of 'Crimson Peak' with Designer Kate Hawley ­- Variety Artisans,https://www.youtube.com/watch?v=zedEsVWTkjo,youtube.com,Costume designer,free,Media _ Communications
Variety Artisans: Sandy Powell and the Costumes of 'Cinderella',https://www.youtube.com/watch?v=1o-FrEoEq90,youtube.com,Costume designer,free,Media _ Communications
What a Costume Designer Pulls for a Big TV Pilot,https://www.youtube.com/watch?v=KpAYASEPxM8,youtube.com,Costume designer,free,Media _ Communications
How a Costume Designer Creates an Iconic Look | Crew Spotlight,https://www.youtube.com/watch?v=48mrV0VZsWc,youtube.com,Costume designer,free,Media _ Communications
American Hustle' Costumes | Carpetbagger | The New York Times,https://www.youtube.com/watch?v=D1Ev9dc5OUw,youtube.com,Costume designer,free,Media _ Communications
Most Important Part Of A Costume Designer’s Job On A Movie by Jacqueline West,https://www.youtube.com/watch?v=Grrh_fHF52s,youtube.com,Costume designer,free,Media _ Communications
VideoX: Creating Video for the edX Platform,https://www.edx.org/course/videox-creating-video-for-the-edx-platform,edx.org,Video editor,free,Media _ Communications
Create Stunning Promo Videos in 30 Minutes or Less,https://www.udemy.com/course/create-stunning-promo-videos-in-30-minutes-or-less/,udemy.com,Video editor,free,Media _ Communications
Cinematic VR Crash Course - Produce Virtual Reality Films,https://www.udemy.com/course/cinematic-vr-crash-course-produce-virtual-reality-films/,udemy.com,Video editor,free,Media _ Communications
Mobile Video Workshop with ex BBC ITV reporter,https://www.udemy.com/course/mobilevideoworkshop/,udemy.com,Video editor,free,Media _ Communications
Day In The Life Of A Videographer/Video Editor (VLOG),https://www.youtube.com/watch?v=nmm6GlRsVLY,youtube.com,Video editor,free,Media _ Communications
9 Cuts Every Video Editor Should Know | Filmmaking Tips,https://www.youtube.com/watch?v=Wv3Hmf2Dxlo,youtube.com,Video editor,free,Media _ Communications
FULL Day as a VIDEOGRAPHER,https://www.youtube.com/watch?v=1KkJRXcm5NQ,youtube.com,Video editor,free,Media _ Communications
How To Become A Professional Videographer In 90 Days,https://www.youtube.com/watch?v=JxLzbr0afhg,youtube.com,Video editor,free,Media _ Communications
The Life of a Video Editor,https://www.youtube.com/watch?v=rB2_KSKVzko,youtube.com,Video editor,free,Media _ Communications
Explore Animation,https://www.futurelearn.com/courses/explore-animation,futurelearn.com,Animator,free,Media _ Communications
