courses,link,origin_site,profession,subscription,scope
Bacteria and Chronic Infections,https://www.coursera.org/learn/bacterial-infections,Coursera.org,Diseases,free,Medicine _ Health
Introduction to Hearing Loss,https://www.coursera.org/learn/hearing-loss,Coursera.org,Chinese Medicine,free,Medicine _ Health
Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.,https://www.coursera.org/learn/abdomen-anatomy,Coursera.org,Chinese Medicine,free,Medicine _ Health
"Big Data, Genes, and Medicine",https://www.coursera.org/learn/data-genes-medicine,Coursera.org,Chinese Medicine,free,Medicine _ Health
Chemicals and Health,https://www.coursera.org/learn/chemicals-health,Coursera.org,Chinese Medicine,free,Medicine _ Health
Understanding Clinical Research: Behind the Statistics,https://www.coursera.org/learn/clinical-research,Coursera.org,Chinese Medicine,free,Medicine _ Health
Fundamental Neuroscience for Neuroimaging,https://www.coursera.org/learn/neuroscience-neuroimaging,Coursera.org,Training,free,Medicine _ Health
Introduction to Biomedical Imaging,https://www.edx.org/course/introduction-to-biomedical-imaging,edx.org,Training,free,Medicine _ Health
Vital Signs: Understanding What the Body Is Telling Us,https://www.coursera.org/learn/vital-signs,Coursera.org,Osteoarchaeology,free,Medicine _ Health
Medical Neuroscience,https://www.coursera.org/learn/medical-neuroscience,Coursera.org,Osteoarchaeology,free,Medicine _ Health
Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health,Coursera.org,Sleep,free,Medicine _ Health
Data Science in Stratified Healthcare and Precision Medicine,https://www.coursera.org/learn/datascimed,Coursera.org,Sleep,free,Medicine _ Health
The Data Science of Health Informatics,https://www.coursera.org/learn/the-data-science-of-health-informatics,Coursera.org,Sleep,free,Medicine _ Health
General Pathophysiology,https://www.coursera.org/learn/pathophysiology,Coursera.org,Sleep,free,Medicine _ Health
The Oral Cavity: Portal to Health and Disease,https://www.coursera.org/learn/oralcavity,Coursera.org,Diseases,free,Medicine _ Health
Health Care IT: Challenges and Opportunities,https://www.coursera.org/learn/healthcare-it,Coursera.org,Diseases,free,Medicine _ Health
Global Health: An Interdisciplinary Overview,https://www.coursera.org/learn/global-health-overview,Coursera.org,Diseases,free,Medicine _ Health
Genetics and Society: A Course for Educators,https://www.coursera.org/learn/genetics-society,Coursera.org,Diseases,free,Medicine _ Health
Population Health: Fundamentals of Population Health Management,https://www.coursera.org/learn/fundamentals-population-health-management,Coursera.org,Diseases,free,Medicine _ Health
Engineering Health: Introduction to Yoga and Physiology,https://www.coursera.org/learn/engineering-health-yoga-physiology,Coursera.org,Diseases,free,Medicine _ Health
"Evolutionary Medicine: Microbes, Medicine, and Humanity's Quest for Survival",https://www.edx.org/course/evolutionary-medicine-microbes-medicine-and-humanitys-quest-for-survival,edx.org,Brain,free,Medicine _ Health
Applied anatomy of the locomotor system,https://www.edx.org/course/applied-anatomy-of-the-locomotor-system,edx.org,Brain,free,Medicine _ Health
System Dynamics for Health Sciences,https://www.edx.org/course/system-dynamics-for-health-sciences,edx.org,Brain,free,Medicine _ Health
Epidemics I,https://www.edx.org/course/epidemics-i,edx.org,Biochemistry,free,Medicine _ Health
Epidemics II,https://www.edx.org/course/epidemics-ii,edx.org,Biochemistry,free,Medicine _ Health
Introduction to Urology,https://www.edx.org/course/introduction-to-urology-2,edx.org,Biochemistry,free,Medicine _ Health
Health Informatics Technology in Population Healthcare Analytics,https://www.edx.org/course/health-informatics-technology-in-population-health,edx.org,Biochemistry,free,Medicine _ Health
Strategic Leadership in Healthcare,https://www.edx.org/course/strategic-leadership-in-healthcare,edx.org,Epidemics,free,Medicine _ Health
Data Analytics and Visualization in Health Care,https://www.edx.org/course/data-analytics-and-visualization-in-health-care,edx.org,Epidemics,free,Medicine _ Health
Partnering with the Public and Patients in Medical Research,https://www.edx.org/course/partnering-with-the-public-and-patients-in-medical-research,edx.org,Epidemics,free,Medicine _ Health
Healthcare Finance,https://www.edx.org/course/healthcare-finance,edx.org,Epidemics,free,Medicine _ Health
Health Informatics and Technology in Decision Making,https://www.edx.org/course/health-informatics-and-technology-in-decision-maki,edx.org,Epidemics,free,Medicine _ Health
Learning the business side of medicine,https://www.udemy.com/course/business-of-medicine/,udemy.com,Global Health,free,Medicine _ Health
3D for Medicine and Orthopedic Surgery,https://www.udemy.com/course/3d_medicine_orthopedic/,udemy.com,Global Health,free,Medicine _ Health
Obesity Medicine Talks: The Basics,https://www.udemy.com/course/obesity-medicine-talks-the-basics/,udemy.com,Global Health,free,Medicine _ Health
Applied prophetic medicine course,https://www.udemy.com/course/applied-prophetic-medicine-course/,udemy.com,Global Health,free,Medicine _ Health
"Easy Little Habits, Great Health Benefits",https://www.udemy.com/course/easy-little-habits-great-health-benefits/,udemy.com,Global Health,free,Medicine _ Health
Social Media for Healthcare Providers,https://www.udemy.com/course/hipaa-compliance/,udemy.com,Global Health,free,Medicine _ Health
Principles of integrated and value-based healthcare,https://www.udemy.com/course/principles-of-integrated-and-value-based-healthcare/,udemy.com,Global Health,free,Medicine _ Health
Systems Science and Obesity,https://www.coursera.org/learn/systems-science-obesity,Coursera.org,Diseases,free,Medicine _ Health
MRI Fundamentals,https://www.coursera.org/learn/mri-fundamentals,Coursera.org,Diseases,free,Medicine _ Health
Health Care Innovation,https://www.coursera.org/learn/wo-pmo-healthcareinnovation,Coursera.org,Dermatology,free,Medicine _ Health
Pharmaceutical and Medical Device Innovations,https://www.coursera.org/learn/pharma-medical-device-innovations,Coursera.org,Pharmacy,free,Medicine _ Health
Health and healthcare in transition: dilemmas of governance,https://www.coursera.org/learn/health-dilemmas-of-governance,Coursera.org,History,free,Medicine _ Health
Medicine and the Arts: Humanising Healthcare,https://www.futurelearn.com/courses/medicine-and-the-arts,Futurelearn.com,History,free,Medicine _ Health
Medical Cannabis for Pain Control,https://www.coursera.org/learn/medical-cannabis-pain-control,Coursera.org,Addiction,free,Medicine _ Health
What is Health Research?,https://www.futurelearn.com/courses/what-is-health-research,Futurelearn.com,Addiction,free,Medicine _ Health
Occupational Health in Developing Countries,https://www.futurelearn.com/courses/occupational-health-developing-countries,Futurelearn.com,Addiction,free,Medicine _ Health
Digital Biomaterials,https://www.edx.org/course/digital-biomaterials,edx.org,Diseases,free,Medicine _ Health
Statistical Shape Modelling: Computing the Human Anatomy,https://www.futurelearn.com/courses/statistical-shape-modelling,Futurelearn.com,Diseases,free,Medicine _ Health
Discovering Science: Medicinal Chemistry,https://www.futurelearn.com/courses/discovering-science-medicinal-chemistry,Futurelearn.com,Diseases,free,Medicine _ Health
Acute and Chronic Rhinosinusitis: A Comprehensive Review,https://www.coursera.org/learn/icahn-school-of-medicine-at-mount-sinai-acute-and-chronic-rhinosinusitis,Coursera.org,Transplantation,free,Medicine _ Health
Clinical Epidemiology,https://www.coursera.org/learn/clinical-epidemiology,Coursera.org,Transplantation,free,Medicine _ Health
Medicinal Chemistry: The Molecular Basis of Drug Discovery,https://www.edx.org/course/medicinal-chemistry-the-molecular-basis-of-drug-di,edx.org,Transplantation,free,Medicine _ Health
,,,Herbal Medicine,,Medicine _ Health
Introduction to Dental Medicine,https://www.coursera.org/learn/dental-medicine-penn,Coursera.org,Dentist,free,Medicine _ Health
Discover Dentistry,https://www.futurelearn.com/courses/discover-dentistry,Futurelearn.com,Dentist,free,Medicine _ Health
Implant Dentistry,https://ru.coursera.org/learn/implant-dentistry,Coursera.org,Dentist,free,Medicine _ Health
Materials in Oral Health,https://www.coursera.org/learn/materials-oral-health,Coursera.org,Dentist,free,Medicine _ Health
The Oral Cavity: Portal to Health and Disease,https://www.coursera.org/learn/oralcavity,Coursera.org,Dentist,free,Medicine _ Health
Dentistry 101,https://www.coursera.org/learn/dentistry101,Coursera.org,Dentist,free,Medicine _ Health
specialization: Healthcare Organization Operations,https://www.coursera.org/specializations/healthcare-organization-operations,Coursera.org,Dentist,free,Medicine _ Health
specialization: School Health for Children and Adolescents,https://www.coursera.org/specializations/school-health-for-children-and-adolescents,Coursera.org,Dentist,free,Medicine _ Health
,,,Dentist,,Medicine _ Health
Language Testing During Awake Brain Surgery,https://www.futurelearn.com/courses/awake-brain-surgery,Futurelearn.com,surgeon,free,Medicine _ Health
The Basics of Trauma Surgery,https://www.coursera.org/learn/trauma-surgery-basics,Coursera.org,surgeon,free,Medicine _ Health
cataract surgery,https://www.coursera.org/learn/cataract-surgery,Coursera.org,surgeon,free,Medicine _ Health
