courses,link,origin_site,profession,subscription,scope
Songwriting: Writing the Lyrics,https://www.coursera.org/learn/songwriting-lyrics,coursera.org,Songwriter,free,Music
Arranging for Songwriters,https://www.coursera.org/learn/arranging-for-songwriters,coursera.org,Songwriter,free,Music
Developing Your Musicianship,https://www.coursera.org/learn/develop-your-musicianship,coursera.org,Songwriter,free,Music
Songwriting for Everyone,https://www.udemy.com/course/songwriting-for-everyone/,www.udemy.com,Songwriter,free,Music
Songwriting: Get Started With Writing Songs,https://www.udemy.com/course/songwriting-get-started-with-writing-songs/,www.udemy.com,Songwriter,free,Music
GarageBand 101- Learn How To Write & Record Your First Song!,https://www.udemy.com/course/garageband-101-learn-how-to-write-record-your-first-song/,www.udemy.com,Songwriter,free,Music
Play all instruments sing and write songs,https://www.udemy.com/course/play-all-instruments-sing-and-write-songs/,www.udemy.com,Songwriter,free,Music
How to Write Your First Song,https://www.futurelearn.com/courses/songwriting,futurelearn.com,Songwriter,free,Music
Songwriting: Creative Lyric Writing Approaches,https://www.udemy.com/course/creative-lyric-writing-approaches/,www.udemy.com,Songwriter,free,Music
Approaching Music Theory: Melodic Forms and Simple Harmony,https://www.coursera.org/learn/melodic-forms-simple-harmony,coursera.org,Composer,free,Music
"Musicianship: Chord Charts, Diatonic Chords, and Minor Keys",https://www.coursera.org/learn/musicianship-chords,coursera.org,Composer,free,Music
"Musicianship: Tensions, Harmonic Function, and Modal Interchange",https://www.coursera.org/learn/musicianship-harmony,coursera.org,Composer,free,Music
"Music Composition 101: Fundamentals, Principles, and Myths",https://www.udemy.com/course/music-composition-101-fundamentals-principals-and-myths/,www.udemy.com,Composer,free,Music
,,,Composer,,Music
how to sing very well - beta version,https://www.udemy.com/course/how-to-sing-very-well/,www.udemy.com,Singer,free,Music
Rock Vocal Warm Up,https://www.udemy.com/course/rock-vocal-warm-up/,www.udemy.com,Singer,free,Music
Sing Like A Pro: The Free Mini Course,https://www.udemy.com/course/sing-like-a-pro-the-free-mini-course/,www.udemy.com,Singer,free,Music
Learn how to become a great DJ and be the life of the party!,https://www.udemy.com/course/learn-how-to-become-a-great-dj-and-be-the-life-of-the-party/,www.udemy.com,DJ,free,Music
How to DJ with the Pioneer DDJ-SB2,https://www.udemy.com/course/how-to-dj-with-the-pioneer-ddj-sb2/,www.udemy.com,DJ,free,Music
"Beginner DJ for Pioneer XDJ-RX, XDJ-RX2, XDJ-RR",https://www.udemy.com/course/beginnerdj/,www.udemy.com,DJ,free,Music
High Performance Intro - DJ Course,https://www.udemy.com/course/free-high-performance-intro-dj-course/,www.udemy.com,DJ,free,Music
DJ Techniques With Ableton Live: Introductory Class,https://www.udemy.com/course/how-to-dj-dj-techniques-clear-and-simple-intro-class/,www.udemy.com,DJ,free,Music
How you can be a good DJ with MonsterGODJ,https://www.udemy.com/course/lets-go-dj-you-can-be-a-dj-in-30-days/,www.udemy.com,DJ,free,Music
How to DJ Using Your Laptop Computer,https://www.udemy.com/course/how-to-dj-using-your-laptop-computer/,www.udemy.com,DJ,free,Music
Producing & Mixing Urban music in Logic pro X,https://www.udemy.com/course/producing-mixing-urban-music-in-logic-pro-x/,www.udemy.com,DJ,free,Music
Creating Sounds for Electronic Music,https://www.coursera.org/learn/music-synthesizer,coursera.org,DJ,free,Music
Electronic Music Primer,https://www.udemy.com/course/electronic-music-primer/,www.udemy.com,DJ,free,Music
Learn Monster GODJ,https://www.udemy.com/course/learn-monster-godj/,www.udemy.com,DJ,free,Music
,,,DJ,,Music
Music Production Specialization,https://www.coursera.org/specializations/music-production,coursera.org,Music Producer/Sound Engineer,free,Music
Electronic Music Production Specialization,https://www.coursera.org/specializations/electronic-music-production,coursera.org,Music Producer/Sound Engineer,free,Music
The Art of Music Production,https://www.coursera.org/learn/producing-music,coursera.org,Music Producer/Sound Engineer,free,Music
Creativity And Entrepreneurship,https://www.coursera.org/learn/creativity-entrepreneurship,coursera.org,Music Producer/Sound Engineer,free,Music
The Technology of Music Production,https://www.coursera.org/learn/technology-of-music-production,coursera.org,Music Producer/Sound Engineer,free,Music
The DIY Musician Specialization,https://www.coursera.org/specializations/diy-musician,coursera.org,Music Producer/Sound Engineer,free,Music
The Art of Vocal Production,https://www.coursera.org/learn/vocal-production,coursera.org,Music Producer/Sound Engineer,free,Music
Music Production Capstone,https://www.coursera.org/learn/music-production-capstone,coursera.org,Music Producer/Sound Engineer,free,Music
Music Production - Intro to Presonus Studio One ,https://www.udemy.com/course/taking-a-peek-at-producing-a-song-with-studio-one/,www.udemy.com,Music Producer/Sound Engineer,free,Music
EDM Production Guide 2020,https://www.udemy.com/course/edm-production-guide-2020/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Compression for Music Producers,https://www.udemy.com/course/andi-vax-compression/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Music Theory for Electronic Producers - The Beginners Guide!,https://www.udemy.com/course/beginnerselectronicmusictheory/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Electronic Music Production: Finish More Music Fast,https://www.udemy.com/course/finish-more-music/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Make Your First EDM Track - No Experience Required!,https://www.udemy.com/course/firstedmtrack/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Music Production in Ableton Live 9 - The Beginners Guide!,https://www.udemy.com/course/abletonlivebeginner/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Music Production - 7 Essentials in Ableton Live 9!,https://www.udemy.com/course/abletonliveessentials/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Producing Drums with Ableton Live and Drum Rack,https://www.udemy.com/course/producing-drums-with-ableton-live/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Logic Pro X Drummer Tutorial,https://www.udemy.com/course/logic-pro-x-drummer-for-music-production/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Electronic Music Production in Ableton Live (Level I),https://www.udemy.com/course/electronic-music-production-in-ableton-live-level-1/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Learn Ableton Live 10 Lite - Quick Start | Beginners Course,https://www.udemy.com/course/learn-ableton-live-10-lite-free-quick-start-beginners-course/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Ableton Live 10: What's New in Live 10,https://www.udemy.com/course/whats-new-in-live-10/,www.udemy.com,Music Producer/Sound Engineer,free,Music
FL Studio Sytrus Sound Design Course,https://www.udemy.com/course/free-fl-studio-sytrus-sound-design-course/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Compression for Music Producers,https://www.udemy.com/course/andi-vax-compression/,www.udemy.com,Music Producer/Sound Engineer,free,Music
From Cubase to CuPro: Getting Started on Cubase 10,https://www.udemy.com/course/from-cubase-to-cupro-getting-started-on-cubase-10/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Mixing with FabFilter: Compression with FabFilter Pro-C2,https://www.udemy.com/course/mixing-with-fabfilter-compression-with-fabfilter-pro-c2/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Sound Design 101: Using Sampling for Music Production -Intro,https://www.udemy.com/course/sampling-using-sampling-for-production-intro/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Record & Edit Your Podcast In Less Than An Hour,https://www.udemy.com/course/learn-podcasting/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Music Production 101: Build Your Home Studio,https://www.udemy.com/course/music-production-101-build-your-home-studio/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Make your first House Dance track. Your music starts here !,https://www.udemy.com/course/make-your-first-house-dance-track-your-music-starts-here/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Music Production in Logic Pro X : The Beginner's Workshop!,https://www.udemy.com/course/logic-pro-x-beginners-workshop/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Logic Pro For Beginners,https://www.udemy.com/course/logicpro/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Ultimate Beginner's Guide to Logic Pro,https://www.udemy.com/course/ultimate-beginners-guide-to-logic-pro/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Create a Music Production Template in Logic Pro X,https://www.udemy.com/course/music-production-template-in-logic-pro-x/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Produce Music in 5 Minutes,https://www.udemy.com/course/produce-music-in-5-minutes/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Maximize Your Desktop & Laptops Performance (for your DAW),https://www.udemy.com/course/maximize-your-desktop-laptops-performance/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Making music with the Arturia Memory Brigade Delay,https://www.udemy.com/course/the-complete-guide-to-arturia-memory-brigade-delay/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Making music with the Arturia TAPE-201 Delay,https://www.udemy.com/course/the-complete-guide-to-arturia-tape-201-delay/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Ableton Live Introduction,https://www.udemy.com/course/ableton-live-introduction/,www.udemy.com,Music Producer/Sound Engineer,free,Music
Make Your First Melody/Jingle - No Music Experience Needed!,https://www.udemy.com/course/makeamelody/,udemy.com,Music Producer/Sound Engineer,free,Music
Vocal Recording Technology,https://www.edx.org/course/berkleex-vocal-recording-technology,edx.org,Audio engineer,free,Music
Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,https://www.coursera.org/learn/audio-engineering,coursera.org,Audio engineer,free,Music
Audio Signal Processing for Music Applications,https://www.coursera.org/learn/audio-signal-processing,coursera.org,Audio engineer,free,Music
Start a Creative Career in Audio as a Sound Engineer,https://www.udemy.com/course/start-creative-career-in-audio-as-a-sound-engineer/,www.udemy.com,Audio engineer,free,Music
Audio Engineering: Signal Flow,https://www.udemy.com/course/audio-engineering-101-signal-flow/,www.udemy.com,Audio engineer,free,Music
Audio Engineering: How to prepare and share sessions & files,https://www.udemy.com/course/how-to-properly-prepare-export-and-share-your-files/,www.udemy.com,Audio engineer,free,Music
audio engineering: EQ and Compression for beginners,https://www.udemy.com/course/audio-engineering-eq-and-compression-for-beginners/,www.udemy.com,Audio engineer,free,Music
Audio Editing Basics with Reaper,https://www.udemy.com/course/audio-editing-basics-with-reaper/,www.udemy.com,Audio engineer,free,Music
Learn Audio Editing for Beginners,https://www.udemy.com/course/audioediting/,www.udemy.com,Audio engineer,free,Music
Equalization Deconstructed: Four Methods to Better Sound,https://www.udemy.com/course/equalization/,www.udemy.com,Audio engineer,free,Music
Start Learning Audacity...For Free!,https://www.udemy.com/course/start-learning-audacity-for-free/,www.udemy.com,Audio engineer,free,Music
Equalization Deconstructed: Four Methods to Better Sound,https://www.udemy.com/course/equalization/,www.udemy.com,Audio engineer,free,Music
Mastering Melodyne (How To Tune Your Vocals),https://www.udemy.com/course/mastering-melodyne/,www.udemy.com,Audio engineer,free,Music
,,,Audio engineer,,Music
Music Theory Classes,https://www.udemy.com/course/music-theory-classes/,www.udemy.com,Musician/Music Teacher/Orchestra Musician,free,Music
Fundamentals of Music Theory,https://www.coursera.org/learn/edinburgh-music-theory,coursera.org,Musician/Music Teacher/Orchestra Musician,free,Music
Getting Started With Music Theory,https://www.coursera.org/learn/music-theory?edocomorp=free-courses-high-school&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-P8eV2w1ZhguvBiVUXi6qPw&siteID=SAyYsTvLiGQ-P8eV2w1ZhguvBiVUXi6qPw&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,coursera.org,Musician/Music Teacher/Orchestra Musician,free+certificate till 31.07,Music
Teaching Popular Music in the Classroom,https://www.coursera.org/learn/teaching-popular-music,coursera.org,Musician/Music Teacher/Orchestra Musician,free,Music
Introduction To Music Theory,https://www.edx.org/course/introduction-to-music-theory-2,edx.org,Musician/Music Teacher/Orchestra Musician,free,Music
