courses,link,origin_site,profession,subscription,scope
Career 911: Your Future Job in Medicine and Healthcare,https://www.coursera.org/learn/healthcarejobs,coursera.org,Introduction,free,Nursing _ Care
Essential Competencies for Nurse Preceptors,https://www.edx.org/course/essential-competencies-for-nurse-preceptors,edx.org,Introduction,free,Nursing _ Care
Clinical Reasoning Process,https://www.edx.org/course/clinical-reasoning-process,edx.org,Introduction,free,Nursing _ Care
Medical Terminology,https://www.edx.org/course/medical-terminology,edx.org,Introduction,free,Nursing _ Care
Pediatric HIV Nursing,https://www.edx.org/course/pediatric-hiv-nursing,edx.org,Introduction,free,Nursing _ Care
Nursing and Long-term Conditions: An Introduction,https://www.futurelearn.com/courses/introduction-to-long-term-conditions,futurelearn.com,Introduction,free,Nursing _ Care
Diploma in Nursing and Patient Care - Revised 2017,https://alison.com/course/diploma-in-nursing-and-patient-care-revised-2017,alison.com,Introduction,free,Nursing _ Care
Nursing Studies - Patient Care and Hygiene - Revised 2018,https://alison.com/course/nursing-studies-patient-care-and-hygiene-revised-2018,alison.com,Introduction,free,Nursing _ Care
Diploma in Nursing Leadership and Care Management - Revised,https://alison.com/course/diploma-in-nursing-leadership-and-care-management-revised,alison.com,Introduction,free,Nursing _ Care
Nursing Studies - The Physical Examination - Revised 2018,https://alison.com/course/nursing-studies-the-physical-examination-revised-2018,alison.com,Introduction,free,Nursing _ Care
Nursing Studies - Role of Nurse in Surgical Care - Revised,https://alison.com/course/nursing-studies-role-of-nurse-in-surgical-care-revised,alison.com,Introduction,free,Nursing _ Care
Infection Prevention in Nursing Homes,https://www.coursera.org/learn/infection-prevention?edocomorp=public-health-free-courses&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-j7lMK4s5WrHqpiCBHMi8Ow&siteID=SAyYsTvLiGQ-j7lMK4s5WrHqpiCBHMi8Ow&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,coursera.org,Introduction,free+certificate till 31.07,Nursing _ Care
Ageing Well: Falls,https://www.futurelearn.com/courses/falls,futurelearn.com,Introduction,free,Nursing _ Care
Care Home Nursing: Changing Perceptions,https://www.futurelearn.com/courses/nursing-care-homes,futurelearn.com,Introduction,free,Nursing _ Care
Antimicrobial Stewardship in Wound Management,https://www.futurelearn.com/courses/antimicrobial-stewardship-in-wound-management,futurelearn.com,Vaccines,free,Nursing _ Care
CARE: Promotion of Healthy Ageing,https://www.edx.org/course/care-promotion-of-healthy-ageing,edx.org,Older People,free,Nursing _ Care
CARE: Age related diseases and disorders,https://www.edx.org/course/care-age-related-diseases-and-disorders,edx.org,Older People,free,Nursing _ Care
Foundational Skills for Communicating About Health,https://www.coursera.org/learn/foundational-skills-communicating-health,coursera.org,Older People,free,Nursing _ Care
Non-Invasive Prenatal Testing (NIPT): An Introduction for Healthcare Professionals,https://www.futurelearn.com/courses/non-invasive-prenatal-testing,futurelearn.com,Cancer,free,Nursing _ Care
Addressing Violence Through Patient Care,https://www.futurelearn.com/courses/addressing-violence-patient-care,futurelearn.com,Cancer,free,Nursing _ Care
Airway Matters,https://www.futurelearn.com/courses/airway-matters,futurelearn.com,Home Care,free,Nursing _ Care
