courses,link,origin_site,profession,subscription,scope
The Science of Medicines,https://www.futurelearn.com/courses/the-science-of-medicines,futurelearn.com,healthcare scientist,free,Pharmacy
Discovering Science: Medicinal Chemistry,https://www.futurelearn.com/courses/discovering-science-medicinal-chemistry,futurelearn.com,healthcare scientist,free,Pharmacy
Introduction to Translational Research: Connecting Scientists and Medical Doctors,https://www.futurelearn.com/courses/translational-research,futurelearn.com,healthcare scientist,free,Pharmacy
,,,healthcare scientist,,Pharmacy
,,,healthcare scientist,,Pharmacy
,,,healthcare scientist,,Pharmacy
Antimicrobial Stewardship: Improving Clinical Outcomes By Optimization of Antibiotic Practices,https://www.edx.org/course/antimicrobial-stewardship-improving-clinical-outcomes-by-optimization-of-antibiotic-practices,edx.org,Drugs,free,Pharmacy
MedTech: Orthopaedic Implants and Regenerative Medicine,https://www.futurelearn.com/courses/medtech-orthopaedic-implants,futurelearn.com,Drugs,free,Pharmacy
Genomic Medicine and Research: A Community Approach,https://www.futurelearn.com/courses/community-genetics,futurelearn.com,Drugs,free,Pharmacy
Exploring Cancer Medicines,https://www.futurelearn.com/courses/exploring-cancer-medicines,futurelearn.com,Drugs,free,Pharmacy
Industrial Biotechnology,https://www.coursera.org/learn/industrial-biotech,coursera.org,Drugs,free,Pharmacy
Pharmaceutical and Medical Device Innovations,https://www.coursera.org/learn/pharma-medical-device-innovations,coursera.org,Drugs,free,Pharmacy
Health Care Innovation,https://www.coursera.org/learn/wo-pmo-healthcareinnovation,coursera.org,Drugs,free,Pharmacy
Practical Improvement Science in Health Care: A Roadmap for Getting Results,https://www.edx.org/course/practical-improvement-science-in-health-care-a-roa,edx.org,Drugs,free,Pharmacy
Introduction to Health Technology Assessment,https://www.futurelearn.com/courses/health-technology-assessment,futurelearn.com,Midwifery,free,Pharmacy
Understanding Medications and Therapeutics,https://www.udemy.com/course/understanding-medications-and-therapeutics/,udemy.com,Midwifery,free,Pharmacy
Become a Pharmacy Preceptor,https://www.futurelearn.com/courses/pharmacy-preceptor,futurelearn.com,Midwifery,free,Pharmacy
Medicine Administration for Carers,https://www.futurelearn.com/courses/medicine-administration-for-carers,futurelearn.com,Midwifery,free,Pharmacy
Bacteria and Chronic Infections,https://www.coursera.org/learn/bacterial-infections,coursera.org,Midwifery,free,Pharmacy
Career 911: Your Future Job in Medicine and Healthcare,https://www.coursera.org/learn/healthcarejobs,coursera.org,Midwifery,free,Pharmacy
Epidemics - the Dynamics of Infectious Diseases,https://www.coursera.org/learn/epidemics,coursera.org,Midwifery,free,Pharmacy
Healthcare Marketplace Specialization,https://www.coursera.org/specializations/healthcare-marketplace,coursera.org,Midwifery,free,Pharmacy
Diabetes - a Global Challenge,https://www.coursera.org/learn/diabetes,coursera.org,Midwifery,free,Pharmacy
Herbal Medicine,https://www.coursera.org/learn/herbalmedicine,coursera.org,Midwifery,free,Pharmacy
The Business of Health Care Specialization,https://www.coursera.org/specializations/healthcare-administration-management,coursera.org,Midwifery,free,Pharmacy
Healthcare Trends for Business Professionals Specialization,https://www.coursera.org/specializations/healthcare-trends-business-professionals,coursera.org,Midwifery,free,Pharmacy
Healthcare Marketplace,https://www.coursera.org/learn/healthcare-marketplace,coursera.org,Midwifery,free,Pharmacy
Health Concepts in Chinese Medicine,https://www.coursera.org/learn/health-concepts-chinese-medicine,coursera.org,Midwifery,free,Pharmacy
Diploma in Pharmacy Technician,https://alison.com/course/diploma-in-pharmacy-technician,alison.com,Midwifery,free,Pharmacy
Introduction to pharmacy practice,https://alison.com/courses/introduction-to-pharmacy-practice/content?event=login,alison.com,Midwifery,free,Pharmacy
Health Informatics Specialization,https://www.coursera.org/specializations/health-informatics,coursera.org,Midwifery,free,Pharmacy
The Data Science of Health Informatics,https://www.coursera.org/learn/the-data-science-of-health-informatics,coursera.org,Midwifery,free,Pharmacy
,,,Brain,,Pharmacy
Case Studies in Personalized Medicine,https://www.coursera.org/learn/personalizedmed,coursera.org,Nurse,free,Pharmacy
Patient Safety Specialization,https://www.coursera.org/specializations/patient-safety,coursera.org,Nurse,free,Pharmacy
Genomic Medicine: Transforming Patient Care in Diabetes,https://www.futurelearn.com/courses/diabetes-genomic-medicine,futurelearn.com,Nurse,free,Pharmacy
Introduction to Critical Care Medicine,https://www.futurelearn.com/courses/critical-care,futurelearn.com,Nurse,free,Pharmacy
,,,Nurse,,Pharmacy
Clinical Reasoning Process,https://www.edx.org/course/clinical-reasoning-process,edx.org,Clinical worker,free,Pharmacy
Essentials of Good Pharmacy Practice: The Basics,https://www.futurelearn.com/courses/good-pharmacy-practice,futurelearn.com,Clinical worker,free,Pharmacy
Clinical Pharmacokinetics: Dosing and Monitoring,https://www.futurelearn.com/courses/clinical-pharmacokinetic,futurelearn.com,Clinical worker,free,Pharmacy
Evidence-Based Medicine in Clinical Pharmacy Practice,https://www.futurelearn.com/courses/principles-of-evidence-based-medicine-in-clinical-pharmacy,futurelearn.com,Clinical worker,free,Pharmacy
Data Management for Clinical Research,https://www.coursera.org/learn/clinical-data-management,coursera.org,Clinical worker,free,Pharmacy
ICH-GCP : Good Clinical Practice,https://www.udemy.com/course/ich-gcp-good-clinical-practice/,udemy.com,Clinical worker,free,Pharmacy
,,,Clinical worker,,Pharmacy
,,,Clinical worker,,Pharmacy
,,,Clinical worker,,Pharmacy
