courses,link,origin_site,profession,subscription,scope
,,,,,Physical Sciences
Understanding Nuclear Energy,https://www.edx.org/course/understanding-nuclear-energy,edx.org,Nuclear Physicist/Nuclear engineer,free,Physical Sciences
Nuclear Reactor Physics Basics,https://www.edx.org/course/nuclear-reactor-physics-basics,edx.org,Nuclear Physicist/Nuclear engineer,free,Physical Sciences
Basic Concepts of International Nuclear Law,https://www.edx.org/course/basic-concepts-of-international-nuclear-law,edx.org,Nuclear Physicist/Nuclear engineer,free,Physical Sciences
Nuclear Facilities: Regulations and Licensing,https://www.edx.org/course/nuclear-facilities-regulations-and-licensing,edx.org,Nuclear Physicist/Nuclear engineer,free,Physical Sciences
Plasma Physics: Applications,https://www.edx.org/course/plasma-physics-applications,edx.org,Nuclear Physicist/Nuclear engineer,free,Physical Sciences
Plasma Physics: Introduction,https://www.edx.org/course/plasma-physics-introduction,edx.org,Nuclear Physicist/Nuclear engineer,free,Physical Sciences
Nuclear Reactor Physics Basics,https://www.coursera.org/learn/nuclear-reactor-physics-basics,coursera.org,Nuclear Physicist/Nuclear engineer,free,Physical Sciences
The Science of Nuclear Energy,https://www.futurelearn.com/courses/the-science-of-nuclear-energy,futurelearn.com,Nuclear Physicist/Nuclear engineer,,Physical Sciences
,,,Nuclear Physicist/Nuclear engineer,,Physical Sciences
The Quantum Internet and Quantum Computers: How Will They Change the World?,https://www.edx.org/course/the-quantum-internet-and-quantum-computers-how-w-2,edx.org,Quantum physicists,free,Physical Sciences
The Hardware of a Quantum Computer,https://www.edx.org/course/hardware-of-quantum-computer,edx.org,Quantum physicists,free,Physical Sciences
"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",https://www.edx.org/course/architecture-algorithms-quantum-computer-internet,edx.org,Quantum physicists,free,Physical Sciences
Quantum Mechanics of Molecular Structures,https://www.edx.org/course/quantum-mechanics-of-molecular-structures,edx.org,Quantum physicists,free,Physical Sciences
Topology in Condensed Matter: Tying Quantum Knots,https://www.edx.org/course/topology-in-condensed-matter-tying-quantum-knots,edx.org,Quantum physicists,free,Physical Sciences
Mastering Quantum Mechanics Part 1: Wave Mechanics,https://www.edx.org/course/mastering-quantum-mechanics-part-1-wave-mechanics,edx.org,Quantum physicists,free,Physical Sciences
Mastering Quantum Mechanics Part 2: Quantum Dynamics,https://www.edx.org/course/mastering-quantum-mechanics-part-2-quantum-dynamic,edx.org,Quantum physicists,free,Physical Sciences
Mastering Quantum Mechanics Part 3: Entanglement and Angular Momentum,https://www.edx.org/course/mastering-quantum-mechanics-part-3-entanglement-an,edx.org,Quantum physicists,free,Physical Sciences
Atomic and Optical Physics: Quantum States and Dynamics of Photons,https://www.edx.org/course/atomic-and-optical-physics-quantum-states-and-dyna,edx.org,Quantum physicists,free,Physical Sciences
Atomic and Optical Physics: Atom-photon interactions,https://www.edx.org/course/atomic-and-optical-physics-atom-photon-interaction,edx.org,Quantum physicists,free,Physical Sciences
Atomic and Optical Physics: Optical Bloch Equations and Open System Dynamics,https://www.edx.org/course/atomic-and-optical-physics-optical-bloch-equations,edx.org,Quantum physicists,free,Physical Sciences
Quantum Mechanics for Everyone,https://www.edx.org/course/quantum-mechanics-for-everyone,edx.org,Quantum physicists,free,Physical Sciences
Applications of Quantum Mechanics,https://www.edx.org/course/applications-of-quantum-mechanics,edx.org,Quantum physicists,free,Physical Sciences
Quantum Mechanics: 1D Scattering and Central Potentials,https://www.edx.org/course/quantum-mechanics-1d-scattering-and-central-potent,edx.org,Quantum physicists,free,Physical Sciences
Quantum Mechanics: Quantum physics in 1D Potentials,https://www.edx.org/course/quantum-mechanics-quantum-physics-in-1d-potentials,edx.org,Quantum physicists,free,Physical Sciences
"Quantum Mechanics: Wavefunctions, Operators, and Expectation Values",https://www.edx.org/course/quantum-mechanics-wavefunctions-operators-and-expe,edx.org,Quantum physicists,free,Physical Sciences
"Quantum Information Science II: Quantum states, noise and error correction",https://www.edx.org/course/quantum-information-science-ii-quantum-states-nois,edx.org,Quantum physicists,free,Physical Sciences
Quantum Information Science II: Efficient Quantum Computing - fault tolerance and complexity,https://www.edx.org/course/quantum-information-science-ii-efficient-quantum-c,edx.org,Quantum physicists,free,Physical Sciences
Quantum Information Science II: Advanced quantum algorithms and information theory,https://www.edx.org/course/quantum-information-science-ii-advanced-quantum-al,edx.org,Quantum physicists,free,Physical Sciences
"Quantum Information Science I, Part 2",https://www.edx.org/course/quantum-information-science-i-part-2,edx.org,Quantum physicists,free,Physical Sciences
"Quantum Information Science I, Part 3",https://www.edx.org/course/quantum-information-science-i-part-3,edx.org,Quantum physicists,free,Physical Sciences
