courses,link,origin_site,profession,subscription,scope
Psychological First Aid,https://www.coursera.org/learn/psychological-first-aid?edocomorp=wellness-free-courses&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-9q2LLzAMEiJQqgQ3HKPjRw&siteID=SAyYsTvLiGQ-9q2LLzAMEiJQqgQ3HKPjRw&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,coursera.org,psychologist,free+certificate till 31.07,Psychology
Introductory Human Physiology,https://www.coursera.org/learn/physiology?edocomorp=free-courses-high-school&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-orJAxwPYw3nYyhVYbgttTg&siteID=SAyYsTvLiGQ-orJAxwPYw3nYyhVYbgttTg&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,coursera.org,psychologist,free+certificate till 31.07,Psychology
,https://www.coursera.org/learn/introduction-psych,https://www.coursera.org,psychologist,,Psychology
,https://www.udacity.com/course/intro-to-psychology--ps001,https://www.udacity.com,psychologist,,Psychology
,,,Engineering psychologist,,Psychology
,https://www.youtube.com/watch?v=QUrY-Qc5BdA,https://www.youtube.com,Cyberpsychologist,,Psychology
,https://www.youtube.com/watch?v=RsNX7WggKBk,https://www.youtube.com,Cyberpsychologist,,Psychology
,https://www.youtube.com/watch?v=_qNxrjAcRrY,https://www.youtube.com,Clinical psychologist,,Psychology
,https://www.youtube.com/watch?v=d8VmSgGs3KM,https://www.youtube.com,Clinical psychologist,,Psychology
,https://www.youtube.com/watch?v=ybcxmuOGM2g,https://www.youtube.com,Clinical psychologist,,Psychology
Introduction to Clinical Psychology,https://www.edx.org/course/introduction-to-clinical-psychology,edx.org,Clinical psychologist,,Psychology
,https://www.youtube.com/watch?v=4rFauloKUMg,https://www.youtube.com,Cognitive psychologist,,Psychology
,https://www.youtube.com/watch?v=g7B3n9jobus,https://www.youtube.com,Cognitive psychologist,,Psychology
,https://www.edx.org/course/cognitive-neuroscience-robotics-part-a,https://www.edx.org,Cognitive psychologist,,Psychology
