courses,link,origin_site,profession,subscription,scope
Public Economics,https://www.coursera.org/learn/public-economics,Coursera.org,Negotiation ,free,Public Service
Local Economic Development,https://www.coursera.org/learn/local-economic-development,Coursera.org,Negotiation ,free,Public Service
Introduction to Data Analysis for Government,https://www.udemy.com/course/introduction-to-data-analysis-for-government/,www.udemy.com,Negotiation ,free,Public Service
"Connecting to Community, Health, and Governmental Services",https://www.udemy.com/course/vpcmodule9b/,www.udemy.com,Negotiation ,free,Public Service
Open and Smart Government,https://www.edx.org/course/open-and-smart-government,edx.org,Finance,free,Public Service
Public Sector Debt Statistics,https://www.edx.org/course/public-sector-debt-statistics,edx.org,Finance,free,Public Service
Making Government Work in Hard Places,https://www.edx.org/course/making-government-work-in-hard-places,edx.org,Public Speaking,free,Public Service
,,,Energy,,Public Service
Tools for Academic Engagement in Public Policy,https://www.edx.org/course/tools-for-academic-engagement-in-public-policy,edx.org,U.S. ,free,Public Service
Solving Public Policy Problems: UC Berkeley’s Eightfold Path,https://www.edx.org/course/solving-public-policy-problems-uc-berkeleys-eightf,edx.org,U.S. ,free,Public Service
Public Policy Challenges in the 21st Century,https://www.coursera.org/learn/public-policy,Coursera.org,U.S. ,free,Public Service
Cultural Diplomacy,https://www.futurelearn.com/courses/cultural-diplomacy,Futurelearn.com,U.S. ,free,Public Service
,,,U.S. ,,Public Service
Moral Foundations of Politics,https://www.coursera.org/learn/moral-politics,Coursera.org,U.S. ,free,Public Service
Global Politics,https://www.edx.org/course/global-politics,edx.org,U.S. ,free,Public Service
Understanding Political Concepts,https://www.edx.org/course/understanding-political-concepts,edx.org,U.S. ,free,Public Service
Comparative Political Systems,https://www.edx.org/course/comparative-political-systems,edx.org,U.S. ,free,Public Service
"Contemporary Issues in World Politics
",https://www.edx.org/course/contemporary-issues-in-world-politics,edx.org,U.S. ,free,Public Service
Politics Level 1: Rise to Power,https://www.udemy.com/course/politics/,www.udemy.com,Korea,free,Public Service
,,,Korea,,Public Service
Global Diplomacy – Diplomacy in the Modern World,https://coursera.org/learn/global-diplomacy,Coursera.org,Lawyer,free,Public Service
Comparative Judicial Systems,https://www.edx.org/course/comparative-judicial-systems,edx.org,Lawyer,free,Public Service
Governing Religion: European Challenges and Asian Approaches,https://www.futurelearn.com/courses/governing-religion-european-challenges-and-asian-approaches,Futurelearn.com,U.S. ,free,Public Service
Organising for the Sustainable Development Goals (SDGs),https://www.futurelearn.com/courses/organising-for-sustainable-development-goals,Futurelearn.com," Latin America",free,Public Service
,,," Latin America",,Public Service
Economics: Macroeconomics 101 for Managers and Executives,https://www.udemy.com/course/advanced-management-training-macroeconomics-mba-udemy/,www.udemy.com,Economict,free,Public Service
,,,Economict,,Public Service
Strategic Planning for Public Libraries,https://www.edx.org/course/strategic-planning-for-public-libraries-2,edx.org,Librarian,free,Public Service
Infrastructure Management for Public Libraries,https://www.edx.org/course/infrastructure-management-for-public-libraries-2,edx.org,Librarian,free,Public Service
Budgeting and Finance for Public Libraries,https://www.edx.org/course/budgeting-and-finance-for-public-libraries-2,edx.org,Librarian,free,Public Service
Personnel Management for Public Libraries,https://www.edx.org/course/personnel-management-for-public-libraries,edx.org,Librarian,free,Public Service
,,,Librarian,,Public Service
,,,Librarian,,Public Service
