courses,link,origin_site,profession,subscription,scope
Preventing Chronic Pain: A Human Systems Approach,https://www.coursera.org/learn/chronic-pain,coursera.org,therapist/occupational therapist,free,Reabilitation _ Therapy
The Body Matters: Why Exercise Makes You Healthy and How to Stay Uninjured,https://www.edx.org/course/the-body-matters-why-exercise-makes-you-healthy-an,edx.org,therapist/occupational therapist,free,Reabilitation _ Therapy
Learn Self Massage Using a Tennis Ball,https://www.udemy.com/course/tennis-ball-self-massage/,www.udemy.com,therapist/occupational therapist,free,Reabilitation _ Therapy
Low Back Pain Relief Secrets,https://www.udemy.com/course/low-back-pain-relief-secrets/,www.udemy.com,therapist/occupational therapist,free,Reabilitation _ Therapy
FIX YOUR BACK,https://www.udemy.com/course/reachingbackhealth/,www.udemy.com,therapist/occupational therapist,free,Reabilitation _ Therapy
Basic Exercise Program for Low Back Pain Relief,https://www.udemy.com/course/basic-exercise-program-for-low-back-pain-relief/,www.udemy.com,therapist/occupational therapist,free,Reabilitation _ Therapy
Introduction to Integrative Therapies and Healing Practices,https://www.coursera.org/learn/integrative-therapies-and-healing-practices,coursera.org,Physical therapy,free,Reabilitation _ Therapy
Optimizing Antimicrobial Therapy with Timeouts,https://www.edx.org/course/optimizing-antimicrobial-therapy-with-timeouts,edx.org,Physical therapy,free,Reabilitation _ Therapy
Intro to Orofacial Myofunctional Therapy,https://www.udemy.com/course/orofacial-myofunctional-therapy/,www.udemy.com,Physical therapy,free,Reabilitation _ Therapy
Health and Wellness: Using CBT to Boost Self-confidence,https://www.udemy.com/course/health-and-wellness-using-cbt-to-boost-self-confidence/,www.udemy.com,Behaviour Therapy,free,Reabilitation _ Therapy
Intravenous to Oral Switch: Within Outpatient Parenteral Antibiotic Therapy (IVOST),https://www.futurelearn.com/courses/intravenous-oral-switch,futurelearn.com,Behaviour Therapy,free,Reabilitation _ Therapy
Diet Therapy,https://alison.com/courses/nursing-studies-diet-therapy-revised-2018/content?event=login,alison.com,Physical therapy,free,Reabilitation _ Therapy
,,,Physical therapy,,Reabilitation _ Therapy
Simple Stress and Anxiety Relief - Part 1,https://www.udemy.com/course/redirectanxiety/,www.udemy.com,Psychotherapists,,Reabilitation _ Therapy
10 STRESS REDUCTION TIPS FOR ANXIETY AND WORRY MANAGEMENT,https://www.udemy.com/course/10-easy-stress-management-tips-to-eliminate-anxiety-worry/,www.udemy.com,Psychotherapists,,Reabilitation _ Therapy
Success: Practical Thinking Skills,https://www.edx.org/course/practical-thinking-skills-for-a-successful-life-2,edx.org,Psychotherapists,free,Reabilitation _ Therapy
The Foundations of Happiness at Work,https://www.edx.org/course/the-foundations-of-happiness-at-work,edx.org,Psychotherapists,free,Reabilitation _ Therapy
Mindfulness and Resilience to Stress at Work,https://www.edx.org/course/mindfulness-and-resilience-to-stress-at-work,edx.org,Psychotherapists,free,Reabilitation _ Therapy
Empathy and Emotional Intelligence at Work,https://www.edx.org/course/empathy-and-emotional-intelligence-at-work,edx.org,Psychotherapists,free,Reabilitation _ Therapy
The Science of Happiness,https://www.edx.org/course/the-science-of-happiness-3,edx.org,Psychotherapists,free,Reabilitation _ Therapy
Positive Psychiatry and Mental Health,https://www.coursera.org/learn/positive-psychiatry,coursera.org,Psychotherapists,free,Reabilitation _ Therapy
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,coursera.org,Psychotherapists,free,Reabilitation _ Therapy
Mind Control: Managing Your Mental Health During COVID-19,https://www.coursera.org/learn/manage-health-covid-19,coursera.org,Psychotherapists,free,Reabilitation _ Therapy
Foundations of International Psychiatry,https://www.coursera.org/learn/international-psychiatry,coursera.org,Psychotherapists,free,Reabilitation _ Therapy
Drugs and the Brain,https://www.coursera.org/learn/drugs-and-brain,coursera.org,Psychotherapists,free,Reabilitation _ Therapy
The Addicted Brain,https://www.coursera.org/learn/addiction-and-the-brain,coursera.org,Psychotherapists,free,Reabilitation _ Therapy
Get The Anxiety Monkey Off Your Back: Natural Anxiety Relief,https://www.udemy.com/course/get-the-anxiety-monkey-off-your-back-natural-anxiety-relief/,www.udemy.com,Psychotherapists,,Reabilitation _ Therapy
Psychological First Aid,https://www.coursera.org/learn/psychological-first-aid,coursera.org,Psychotherapists,free,Reabilitation _ Therapy
,,,Psychotherapists,,Reabilitation _ Therapy
Powerful Self Healing in 5 Simple Steps - Self Help Course,https://www.udemy.com/course/self-help-course/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
The Art Of Meditation,https://www.udemy.com/course/the-art-of-meditation-mindfulness/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Everyday mindfulness,https://www.udemy.com/course/everydaymindfulness/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Run a meditation class in your community,https://www.udemy.com/course/run-a-meditation-class-in-your-community/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Mindfulness Meditation: The Science And Practice,https://www.udemy.com/course/mindfulness-meditation-science/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Yogananda Meditation For Deep Daily Practice,https://www.udemy.com/course/how-to-meditate-with-depth-create-a-solid-daily-practice/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Mind Masters - Calming Your Mind and Emotions,https://www.udemy.com/course/mind-masters-calming-your-mind-and-emotions/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Learn Meditation - Theory & Practice,https://www.udemy.com/course/learn-meditation-theory-practice/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Mindfulness | Meditation for Beginners (Seven Days Couse),https://www.udemy.com/course/learn-how-to-meditate-in-seven-days-free-mp3s/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Mindfulness Through Meditation- A Simple Beginners Guide.,https://www.udemy.com/course/mindfulness-through-meditation-a-simple-beginners-guide/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
"Meditation for Everyone: Calm, Balance, and Peace",https://www.udemy.com/course/meditation-for-everyone-with-brian-hyman/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Stress Relief Meditation Course.. for Relentless Relaxation!,https://www.udemy.com/course/stress-relief-meditation-course-for-relentless-relaxation/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Simple Stress and Anxiety Relief - Part 1,https://www.udemy.com/course/redirectanxiety/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Stress and Anxiety Relief for Women in the 21st Century,https://www.udemy.com/course/healing-yoga-and-meditation/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
10 STRESS REDUCTION TIPS FOR ANXIETY AND WORRY MANAGEMENT,https://www.udemy.com/course/10-easy-stress-management-tips-to-eliminate-anxiety-worry/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
Chakra Healing Meditation,https://www.udemy.com/course/chakra-healing-meditation/,www.udemy.com,Chinese ,free,Reabilitation _ Therapy
