courses,link,origin_site,profession,subscription,scope
,https://www.youtube.com/watch?v=TG55ErfdaeY,https://www.youtube.com,Christianity,,Religious Studies
,,,Regent,,Religious Studies
,,,Clergyman,,Religious Studies
,,,Religious scholar,,Religious Studies
,https://www.youtube.com/watch?v=woCgbVWFRIg,https://www.youtube.com,Theologian,,Religious Studies
,https://www.youtube.com/watch?v=9XCbt1jDMdk,https://www.youtube.com,Theologian,,Religious Studies
,https://www.youtube.com/watch?v=rC8C9e36MW4,https://www.youtube.com,bhikkhus,,Religious Studies
,https://www.youtube.com/watch?v=2KzqBzSzLek,https://www.youtube.com,bhikshuni,,Religious Studies
,,,bhikshuni,,Religious Studies
,,,protestantism,,Religious Studies
,https://www.youtube.com/watch?v=RNpMtz6_WSs,https://www.youtube.com,Pastor,,Religious Studies
,https://www.youtube.com/watch?v=YXCh6GTxBlo,https://www.youtube.com,Pastor,,Religious Studies
,,,Catholicism,,Religious Studies
,https://www.youtube.com/watch?v=cLir-Acn6Bw,https://www.youtube.com,Clergy,,Religious Studies
,https://www.youtube.com/watch?v=hk_k0wbe8F8,https://www.youtube.com,Pontiff,,Religious Studies
,,,Pontiff,,Religious Studies
,https://www.youtube.com/watch?v=i2tqxo9qgCk,https://www.youtube.com,Priest,,Religious Studies
,https://www.youtube.com/watch?v=ZsLtYfPtNG0,https://www.youtube.com,Priest,,Religious Studies
,https://www.youtube.com/watch?v=e6wNw-HM1zE,https://www.youtube.com,Deacon,,Religious Studies
,https://www.youtube.com/watch?v=w8dO2DghzwY,https://www.youtube.com,Deacon,,Religious Studies
,,,Deacon,,Religious Studies
,https://www.youtube.com/watch?v=-s-enJ3We5A,https://www.youtube.com,Church warden,,Religious Studies
,https://www.youtube.com/watch?v=TpcbfxtdoI8,https://www.youtube.com,Islam,,Religious Studies
,,,Mullah,,Religious Studies
The History of Medieval Medicine Through Jewish Manuscripts,https://www.edx.org/course/the-history-of-medieval-medicine-through-jewish-ma,edx.org," Jewish",,Religious Studies
Jewish Studies 101,https://www.udemy.com/course/jewishstudies101/,www.udemy.com," Jewish",,Religious Studies
,,," Jewish",,Religious Studies
,https://www.youtube.com/watch?v=OfXQODU-zUY,https://www.youtube.com,Lector,,Religious Studies
,https://www.youtube.com/watch?v=3j9v4x4_Dgs,https://www.youtube.com,Religion/Philosophy Professor/Researcher,,Religious Studies
,https://www.youtube.com/watch?v=WBMFDb1ZqJM,https://www.youtube.com,Religion/Philosophy Professor/Researcher,,Religious Studies
Spirituality and Sensuality: Sacred Objects in Religious Life,https://www.edx.org/course/spirituality-and-sensuality-sacred-objects-in-reli,edx.org,Religion/Philosophy Professor/Researcher,,Religious Studies
Religious Literacy: Traditions and Scriptures,https://www.edx.org/course/religious-literacy-traditions-and-scriptures,edx.org,Religion/Philosophy Professor/Researcher,,Religious Studies
"Religion, Conflict and Peace",https://www.edx.org/course/religion-conflict-and-peace,edx.org,Religion/Philosophy Professor/Researcher,,Religious Studies
Faith and Finance,https://www.edx.org/course/faith-and-finance,edx.org,Judaism ,,Religious Studies
Religion and Conflict,https://www.futurelearn.com/courses/religion-and-conflict,futurelearn.com,Sikhism,,Religious Studies
"Why Religion Matters: Religious Literacy, Culture and Diversity",https://www.futurelearn.com/courses/why-religion-matters,futurelearn.com,Sikhism,,Religious Studies
"Religion, Radicalisation, Resilience",https://www.futurelearn.com/courses/religion-radicalisation-resilience,futurelearn.com,Sikhism,,Religious Studies
Governing Religion: European Challenges and Asian Approaches,https://www.futurelearn.com/courses/governing-religion-european-challenges-and-asian-approaches,futurelearn.com,Sikhism,,Religious Studies
Understanding Diversity and Inclusion,https://www.futurelearn.com/courses/empire,futurelearn.com,Sikhism,,Religious Studies
Interfaith Dialogue for Combating Extremism among Young People,https://www.futurelearn.com/courses/interfaith-dialogue,futurelearn.com,Sikhism,,Religious Studies
Radical Spirituality: the Early History of the Quakers,https://www.futurelearn.com/courses/quakers,futurelearn.com,Sikhism,,Religious Studies
"Working Supportively With Refugees: Principles, Skills and Perspectives",https://www.futurelearn.com/courses/cultural-mediation,futurelearn.com,Sikhism,,Religious Studies
Antisemitism: From Its Origins to the Present,https://www.futurelearn.com/courses/antisemitism,futurelearn.com,Sikhism,,Religious Studies
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650),https://www.coursera.org/learn/western-christianity-200-1650,coursera.org,Sikhism,,Religious Studies
Science & Religion 101,https://www.coursera.org/learn/science-and-religion-101,coursera.org,Sikhism,,Religious Studies
History of the Black Church in America,https://www.udemy.com/course/history-of-the-black-church-in-america/,www.udemy.com,Sikhism,,Religious Studies
Ancient Non-Christian Witnesses about Jesus,https://www.udemy.com/course/ancient-non-christian-witnesses-about-jesus/,www.udemy.com,Sikhism,,Religious Studies
