courses,link,origin_site,profession,subscription,scope
,,,,,Research
Research Proposal: Initiating Research,https://www.coursera.org/learn/research-proposal-initiating-research,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Research for Impact,https://www.coursera.org/learn/research-for-impact,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Market Research Specialization,https://www.coursera.org/specializations/market-research,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Quantitative Research,https://www.coursera.org/learn/quantitative-research,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
User Experience Research and Design Specialization,https://www.coursera.org/specializations/michiganux,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
English for Research Publication Purposes Specialization,https://www.coursera.org/specializations/english-for-research-publication-purposes,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Research Data Management and Sharing,https://www.coursera.org/learn/data-management,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Market Research and Consumer Behavior,https://www.coursera.org/learn/market-research,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
"Statistics for Researchers: Understanding Mediation, Moderation and Beyond",https://www.coursera.org/learn/uva-darden-understanding-data-tools,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Studying Cities: Social Science Methods for Urban Research,https://www.coursera.org/learn/studying-cities-social-science-methods-for-urban-research,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Qualitative Research ,https://www.coursera.org/learn/qualitative-research,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Reproducible Research,https://www.coursera.org/learn/reproducible-research,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Introduction to Research for Essay Writing,https://www.coursera.org/learn/introduction-to-research-for-essay-writing,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Interview Research and Preparation,https://www.coursera.org/learn/interview-preparation,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
User Experience: Research & Prototyping,https://www.coursera.org/learn/user-research,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Research Report: Delivering Insights,https://www.coursera.org/learn/marketing-research-report,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
User Research and Design,https://www.coursera.org/learn/design-research,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
English for Research Publication Purposes: Capstone Project,https://www.coursera.org/learn/english-for-research-publication-purposes-capstone-project,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Project: Writing a Research Paper,https://www.coursera.org/learn/academic-writing-capstone,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
Social Work: Research,https://www.edx.org/course/social-work-research,edx.org,Researcher/Academic Researcher/Social Researcher,free,Research
Scientific Methods and Research,https://www.edx.org/course/scientific-methods-and-research,edx.org,Researcher/Academic Researcher/Social Researcher,free,Research
SMstudy® Marketing Research Associate Certification Course,https://www.udemy.com/course/smstudy-marketing-research-associate-certification-course/,udemy.com,Researcher/Academic Researcher/Social Researcher,free,Research
Cyber Security Threat Intelligence Researcher Preview,https://www.udemy.com/course/cyber-security-threat-intelligence-researcher-preview/,udemy.com,Researcher/Academic Researcher/Social Researcher,free,Research
Achieving Research Impact,https://www.udemy.com/course/achieving-research-impact/,udemy.com,Researcher/Academic Researcher/Social Researcher,free,Research
Introduction to Research Ethics: Working with People,https://www.futurelearn.com/courses/research-ethics-an-introduction,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Developing Your Research Project,https://www.futurelearn.com/courses/research-project,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Partnering for Change: Link Research to Societal Challenges,https://www.futurelearn.com/courses/partnering-for-change,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Learning Online: Researching Your Project,https://www.futurelearn.com/courses/searching-and-researching,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Research Impact: Making a Difference,https://www.futurelearn.com/courses/research-impact,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Research Writing: How to Do a Literature Review,https://www.futurelearn.com/courses/research-writing,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Learning from the Past: A Guide for the Curious Researcher,https://www.futurelearn.com/courses/learning-from-the-past,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Improving Healthcare Through Clinical Research,https://www.futurelearn.com/courses/clinical-research,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Delivering Research Data Management Services,https://www.futurelearn.com/courses/delivering-research-data-management-services,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
People Studying People: Research Ethics in Society,https://www.futurelearn.com/courses/ethical-research,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Healthcare Research: For Healthcare Professionals,https://www.futurelearn.com/courses/healthcare-research,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Community Based Research: Getting Started,https://www.futurelearn.com/courses/community-based-research,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Education Research that Matters: Applying Research to Your Teaching Practice,https://www.futurelearn.com/courses/finding-and-reading-research,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Research for Construction Management,https://www.futurelearn.com/courses/research-construction-management,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Career Management for Early Career Academic Researchers,https://www.futurelearn.com/courses/career-management,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Introduction to Translational Research: Connecting Scientists and Medical Doctors,https://www.futurelearn.com/courses/translational-research,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Why Experience Matters: Qualitative Research,https://www.futurelearn.com/courses/why-experience-matters,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
Why Ethics Matter: Ethical Research,https://www.futurelearn.com/courses/ethics-research,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
"Researching Risk, Disasters and Emergencies",https://www.futurelearn.com/courses/research-process,futurelearn.com,Researcher/Academic Researcher/Social Researcher,free,Research
,,,Researcher/Academic Researcher/Social Researcher,,Research
Understanding Research Methods,https://www.coursera.org/learn/research-methods,coursera.org,Researcher/Academic Researcher/Social Researcher,free,Research
