courses,link,origin_site,profession,subscription,scope
,,,,,Services
Google IT Support Professional Certificate,https://www.coursera.org/professional-certificates/google-it-support,coursera.org,Costumer service manager,free,Services
IBM Customer Engagement Specialist Professional Certificate,https://www.coursera.org/learn/ibm-customer-engagement-specialist,coursera.org,Costumer service manager,free,Services
Start Improving Customer Service,https://www.udemy.com/course/start-improving-customer-service/,www.udemy.com,Costumer service manager,free,Services
Perfect Customer Service Template: Easily Train Your Team,https://www.udemy.com/course/customer-service-template/,www.udemy.com,Costumer service manager,free,Services
Customer Centricity,https://www.udemy.com/course/customer-centricity/,www.udemy.com,Costumer service manager,free,Services
Customer | How to Manage Customer Feedback,https://www.udemy.com/course/customer-how-to-manage-customer-feedback/,www.udemy.com,Costumer service manager,free,Services
Consumer Behaviour and Psychology,https://www.futurelearn.com/courses/consumer-behaviour-and-psychology,futurelearn.com,Costumer service manager,free,Services
Principles of Service Management,https://www.futurelearn.com/courses/principles-of-service-management,futurelearn.com,Costumer service manager,free,Services
Effective Questioning for Call Handlers,https://www.futurelearn.com/courses/effective-questioning,futurelearn.com,Costumer service manager,free,Services
Design a Feminist Chatbot,https://www.futurelearn.com/courses/designing-a-feminist-chatbot,futurelearn.com,Costumer service manager,free,Services
Diploma in costumer service,https://alison.com/courses/diploma-in-customer-service-revised-2017/content?event=login,alison.com,Costumer service manager,free,Services
costumer service training,https://alison.com/courses/customer-service-training/content?event=login,alison.com,Costumer service manager,free,Services
outstanding costumer service,https://alison.com/courses/outstanding-customer-service-your-ultimate-guide/content?event=login,alison.com,Costumer service manager,free,Services
costumer service skills,https://alison.com/courses/customer-service-skills/content?event=login,alison.com,Costumer service manager,free,Services
Sales Techniques - Interacting with Customers - Revised,https://alison.com/course/sales-techniques-interacting-with-customers-revised,alison.com,Costumer service manager,,Services
,,,Costumer service manager,,Services
Food & Beverage Management,https://www.coursera.org/learn/food-beverage-management,coursera.org,Restaurant Manager/owner,free,Services
