courses,link,origin_site,profession,subscription,scope
Diploma in Plumbing Studies - Revised,https://alison.com/course/diploma-in-plumbing-studies-revised,alison.com,Plumber,free,Skilled Trades
Introduction to Plumbing - Revised,https://alison.com/course/introduction-to-plumbing-revised,alison.com,Plumber,free,Skilled Trades
Understanding Drainage and Water Distribution Systems - Revised,https://alison.com/course/understanding-drainage-and-water-distribution-systems-revised,alison.com,Plumber,free,Skilled Trades
Introduction to Plumbing Pipes and Fixtures - Revised,https://alison.com/course/introduction-to-plumbing-pipes-and-fixtures-revised,alison.com,Plumber,free,Skilled Trades
Introduction to Plumbing Tools and Drawings - Revised,https://alison.com/course/introduction-to-plumbing-tools-and-drawings-revised,alison.com,Plumber,free,Skilled Trades
PLUMBING SYSTEM DESIGN (MEP) BASICS BY SM TECHNO,https://www.udemy.com/course/smtmeppdb/,udemy.com,Plumber,free,Skilled Trades
CYPEPLUMBING Sanitary Systems,https://www.udemy.com/course/sanitary-english/,udemy.com,Plumber,free,Skilled Trades
,,,Plumber,,Skilled Trades
Introduction to Basic Electrical Drawings and Test Equipment - Revised,https://alison.com/course/introduction-to-basic-electrical-drawings-and-test-equipment-revised,alison.com,Electrician ,free,Skilled Trades
Introduction to Electrical Wiring Systems - Revised,https://alison.com/course/introduction-to-electrical-wiring-systems-revised,alison.com,Electrician ,free,Skilled Trades
Introduction to the Electrical Trade - Revised,https://alison.com/course/introduction-to-the-electrical-trade-revised,alison.com,Electrician ,free,Skilled Trades
Basics of Electrical Technology,https://alison.com/course/basics-of-electrical-technology,alison.com,Electrician ,free,Skilled Trades
Maintaining and Servicing Home Appliances,https://alison.com/course/maintaining-and-servicing-home-appliances,alison.com,Electrician ,free,Skilled Trades
Diploma in Electrical Studies - Revised 2017,https://alison.com/course/diploma-in-electrical-studies-revised-2017,alison.com,Electrician ,free,Skilled Trades
,,,Electrician ,,Skilled Trades
Diploma in Carpentry Studies - Revised,https://alison.com/course/diploma-in-carpentry-studies-revised,alison.com,Carpentry,free,Skilled Trades
Carpentry - Introduction to Construction Methods - Revised,https://alison.com/course/carpentry-introduction-to-construction-methods-revised,alison.com,Carpentry,free,Skilled Trades
Introduction to Carpentry - Revised,https://alison.com/course/introduction-to-carpentry-revised,alison.com,Carpentry,free,Skilled Trades
Carpentry - Introduction to Formwork and Joinery - Revised,https://alison.com/course/carpentry-introduction-to-formwork-and-joinery-revised,alison.com,Carpentry,free,Skilled Trades
Learn about the incredible discoveries at Star Carr,https://www.futurelearn.com/courses/exploring-stone-age-archaeology-the-mysteries-of-star-carr,futurelearn.com,Carpentry,free,Skilled Trades
,,,Carpentry,,Skilled Trades
NSDC Course: Machining Technician - Lathe,https://alison.com/course/nsdc-course-machining-technician-lathe,alison.com,masons/Masonry/construction/builder,free,Skilled Trades
Introduction to Masonry - Revised,https://alison.com/course/introduction-to-masonry-revised,alison.com,masons/Masonry/construction/builder,free,Skilled Trades
Introduction to Masonry,https://alison.com/course/introduction-to-masonry,alison.com,masons/Masonry/construction/builder,free,Skilled Trades
Construction Quality Management,https://www.futurelearn.com/courses/construction-quality,futurelearn.com,masons/Masonry/construction/builder,free,Skilled Trades
,,,masons/Masonry/construction/builder,,Skilled Trades
NSDC Course: Auto Service Technician,https://alison.com/course/nsdc-course-auto-service-technician,alison.com,auto service technician /Auto manufacturing,,Skilled Trades
Electric and Hydrogen Cars with sustainable Energy,https://www.udemy.com/course/sustainable-energy-and-mobility/,udemy.com,auto service technician /Auto manufacturing,free,Skilled Trades
,,,auto service technician /Auto manufacturing,,Skilled Trades
"The Book: Print and Manuscript in Western Europe, Asia and the Middle East (1450-1650)",https://www.edx.org/course/the-book-print-and-manuscript-in-western-europe-as,edx.org,Printing,free,Skilled Trades
Bioprinting: 3D Printing Body Parts,https://www.futurelearn.com/courses/bioprinting,futurelearn.com,Printing,free,Skilled Trades
3D Printing Basics,https://www.udemy.com/course/3d-printing-basics/,udemy.com,Printing,free,Skilled Trades
3D Printing - in a Nutshell,https://www.udemy.com/course/3d-printing-in-a-nutshell/,udemy.com,Printing,free,Skilled Trades
