courses,link,origin_site,profession,subscription,scope
Happiness Psychology: 5 Proven Tips,https://www.udemy.com/course/psychology-happiness/,www.udemy.com,Psychologist,free,Social Sciences
Persuasion Psychology: 5 Proven Tips,https://www.udemy.com/course/psychology-persuasion-influence/,www.udemy.com,Psychologist,free,Social Sciences
5 Amazing Psychology Experiments,https://www.udemy.com/course/5-amazing-psychology-experiments/,www.udemy.com,Psychologist,free,Social Sciences
Learning Behaviour Psychology Tips and Sentimental Sales,https://www.udemy.com/course/psychology-tips-sentimental-sales/,www.udemy.com,Psychologist,free,Social Sciences
Science of Long-term Well-Being,https://www.udemy.com/course/science-of-well-being/,www.udemy.com,Psychologist,free,Social Sciences
Learn Social Psychology Fundamentals,https://www.udemy.com/course/learn-social-psychology-fundamentals/,www.udemy.com,Psychologist,free,Social Sciences
Psychology of Personal Growth,https://www.edx.org/course/psychology-of-personal-growth,edx.org,Psychologist,free,Social Sciences
AP® Psychology - Course 1: What is Psychology?,https://www.edx.org/course/ap-psychology-course-1-what-is-psychology,edx.org,Psychologist,free,Social Sciences
AP® Psychology - Course 2: How the Brain Works,https://www.edx.org/course/ap-psychology-course-2-how-the-brain-works,edx.org,Psychologist,free,Social Sciences
AP® Psychology - Course 3: How the Mind Works,https://www.edx.org/course/ap-psychology-course-3-how-the-mind-works,edx.org,Psychologist,free,Social Sciences
AP® Psychology - Course 4: How Behavior Works,https://www.edx.org/course/ap-psychology-course-4-how-behavior-works,edx.org,Psychologist,free,Social Sciences
AP® Psychology - Course 5: Health and Behavior,https://www.edx.org/course/ap-psychology-course-5-health-and-behavior,edx.org,Psychologist,free,Social Sciences
AP® Psychology - Course 6: Exam Preparation & Review,https://www.edx.org/course/ap-psychology-course-6-exam-preparation-review,edx.org,Psychologist,free,Social Sciences
Introduction to Social Psychology,https://www.edx.org/course/introduction-to-social-psychology,edx.org,Psychologist,free,Social Sciences
Introduction to Clinical Psychology,https://www.edx.org/course/introduction-to-clinical-psychology,edx.org,Psychologist,free,Social Sciences
Psychological First Aid,https://www.coursera.org/learn/psychological-first-aid,coursera.org,Psychologist,free,Social Sciences
Buddhism and Modern Psychology,https://www.coursera.org/learn/science-of-meditation,coursera.org,Psychologist,free,Social Sciences
Foundations of Positive Psychology Specialization,https://www.coursera.org/specializations/positivepsychology,coursera.org,Psychologist,free,Social Sciences
Psychodiagnostics and Psychological Assessment,https://www.coursera.org/learn/psychodiagnostics,coursera.org,Psychologist,free,Social Sciences
