courses,link,origin_site,profession,subscription,scope
The Science of Training Young Athletes,https://www.coursera.org/learn/youth-sports?,Coursera.org,Sports coach/sports instructor/Fitness trainer,free,Sports_Athletics
Science of Training Young Athletes Part 2,https://www.coursera.org/learn/science-of-training-young-athletes-part-2,Coursera.org,Sports coach/sports instructor/Fitness trainer,free,Sports_Athletics
Sports and Society,https://www.coursera.org/learn/sports-society?,Coursera.org,Sports coach/sports instructor/Fitness trainer,free,Sports_Athletics
Michigan Sport-Related Concussion Training Certification,https://www.coursera.org/learn/michigan-sport-related-concussion-training-certification?,Coursera.org,Sports coach/sports instructor/Fitness trainer,free,Sports_Athletics
Sports Coaching: How effective are you?,https://www.olympic.org/athlete365/courses/sports-coaching-how-effective-are-you/,Olympic.org,Sports coach/sports instructor/Fitness trainer,free,Sports_Athletics
The Art and Science of Coaching,https://www.olympic.org/athlete365/?s=The+Art+and+Science+of+Coaching,Olympic.org,Sports coach/sports instructor/Fitness trainer,free,Sports_Athletics
Managing Your Health: The Role of Physical Therapy and Exercise,https://www.coursera.org/learn/physical-therapy-exercise,Coursera.org,Sports coach/sports instructor/Fitness trainer,free,Sports_Athletics
Science of Exercise,https://www.coursera.org/learn/science-exercise?edocomorp=wellness-free-courses&ranMID=40328&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-lB2vmgHm3PAwf1XtoDpyGQ&siteID=SAyYsTvLiGQ-lB2vmgHm3PAwf1XtoDpyGQ&utm_content=10&utm_medium=partners&utm_source=linkshare&utm_campaign=SAyYsTvLiGQ,Coursera.org,Sports coach/sports instructor/Fitness trainer,free+certificate till 31.07,Sports_Athletics
Hacking Exercise For Health. The surprising new science of fitness,https://www.coursera.org/learn/hacking-exercise-health?,Coursera.org,Sports coach/sports instructor/Fitness trainer,free,Sports_Athletics
The Body Matters: Why Exercise Makes You Healthy and How to Stay Uninjured,https://www.edx.org/course/the-body-matters-why-exercise-makes-you-healthy-an,edx.org,Sports coach/sports instructor/Fitness trainer,free,Sports_Athletics
Fitness Practitioner,https://www.udemy.com/course/fitness-practitioner-by-drzsu/,udemy.com,Sports coach/sports instructor/Fitness trainer,free,Sports_Athletics
