courses,link,origin_site,profession,subscription,scope
coursera.org,free,Ability to work under pressure,Supply Chain Manager/Logistics Engineer/International Logistics Manager/Logistics and Distribution Manager,Supply Chain Logistics,Supply Chain Management _ Transportation
coursera.org,free,Commercial awareness,Supply Chain Manager/Logistics Engineer/International Logistics Manager/Logistics and Distribution Manager,Supply Chain Principles,Supply Chain Management _ Transportation
coursera.org,free,Critical thinking,Supply Chain Manager/Logistics Engineer/International Logistics Manager/Logistics and Distribution Manager,Supply Chain Management Specialization,Supply Chain Management _ Transportation
coursera.org,free,Decision making,Supply Chain Manager/Logistics Engineer/International Logistics Manager/Logistics and Distribution Manager,Supply Chain Planning,Supply Chain Management _ Transportation
coursera.org,free,Flexibility,Supply Chain Manager/Logistics Engineer/International Logistics Manager/Logistics and Distribution Manager,Supply Chain Management: A Learning Perspective,Supply Chain Management _ Transportation
coursera.org,free,,Supply Chain Manager/Logistics Engineer/International Logistics Manager/Logistics and Distribution Manager,Supply Chain Analytics,Supply Chain Management _ Transportation
coursera.org,free,,Supply Chain Manager/Logistics Engineer/International Logistics Manager/Logistics and Distribution Manager,Supply chain management: Be global,Supply Chain Management _ Transportation
coursera.org,free,,Supply Chain Manager/Logistics Engineer/International Logistics Manager/Logistics and Distribution Manager,Supply Chain Analytics Essentials,Supply Chain Management _ Transportation
coursera.org,free,,Supply Chain Manager/Logistics Engineer/International Logistics Manager/Logistics and Distribution Manager,Cross-border road transport in EU law context,Supply Chain Management _ Transportation
edx.org,free,,Supply Chain Manager/Logistics Engineer/International Logistics Manager/Logistics and Distribution Manager,Supply Chain Fundamentals,Supply Chain Management _ Transportation
edx.org,free,,Urban,Intro to Traffic Flow Modeling and Intelligent Transport Systems,Supply Chain Management _ Transportation
edx.org,free,,Urban,Master Control in Supply Chain Management and Logistics,Supply Chain Management _ Transportation
edx.org,free,,Urban,System Design for Supply Chain Management and Logistics,Supply Chain Management _ Transportation
edx.org,free,,Urban,Supply Chain Design,Supply Chain Management _ Transportation
edx.org,free,,Urban,Supply Chain Dynamics,Supply Chain Management _ Transportation
edx.org,free,,Urban,Supply Chains for Manufacturing: Inventory Analytics,Supply Chain Management _ Transportation
edx.org,free,,Urban,Supply Chains for Manufacturing: Capacity Analytics,Supply Chain Management _ Transportation
edx.org,free,,Urban,Supply Chain Management: A Decision-Making Framework,Supply Chain Management _ Transportation
edx.org,free,,Urban,Master Control in Supply Chain Management and Logistics,Supply Chain Management _ Transportation
edx.org,free,,Urban,Supply Chain Technology and Systems,Supply Chain Management _ Transportation
edx.org,free,,Urban,Supply Chain Analytics,Supply Chain Management _ Transportation
edx.org,free,,Urban,Electric Cars: Technology,Supply Chain Management _ Transportation
edx.org,free,,Urban,"Electric Cars: Business
",Supply Chain Management _ Transportation
edx.org,free,,Urban,Electric Cars: Policy,Supply Chain Management _ Transportation
www.udemy.com/,free,,Urban,OSHA Safety Pro: Transport Safety. Part 396 of The FMCSA,Supply Chain Management _ Transportation
www.udemy.com/,free,,Urban,How To Become A Freight Consultant,Supply Chain Management _ Transportation
www.udemy.com/,free,,Urban,Impact of Social Media on the Logistics,Supply Chain Management _ Transportation
www.udemy.com/,free,,Urban,Introduction to Transportation Risk Analysis,Supply Chain Management _ Transportation
www.udemy.com/,free,,Urban,Operations Research - Assignment and Transportation Problem,Supply Chain Management _ Transportation
www.udemy.com/,free,,Urban,Supply Chain Planning that Delivers a Competitive Edge,Supply Chain Management _ Transportation
www.udemy.com/,free,,Urban,The Future is Here: Digital Supply Chain Planning,Supply Chain Management _ Transportation
futurelearn.com,free,,Urban,Transport Systems: Global Issues and Future Innovations,Supply Chain Management _ Transportation
futurelearn.com,free,,Urban,What is Economics in Global Logistics?,Supply Chain Management _ Transportation
futurelearn.com,free,,Urban,Sustainability and Green Logistics: An Introduction,Supply Chain Management _ Transportation
futurelearn.com,free,,Urban,Simulation for Logistics: An Introduction,Supply Chain Management _ Transportation
futurelearn.com,free,,Urban,Principles of Global Logistics Management,Supply Chain Management _ Transportation
futurelearn.com,free,,Urban,Supply Chain Innovation: How Technology Can Create a Sustainable Future,Supply Chain Management _ Transportation
futurelearn.com,free,,Urban,The Digital Economy: Effective Supply Chain Management,Supply Chain Management _ Transportation
